,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,861756000.0,320215000.0,620081000.0,582443000.0,
Repurchase Of Capital Stock,-60901000.0,-42720000.0,-4391000.0,-3864000.0,
Repayment Of Debt,,0.0,0.0,-13403000.0,-1250000000.0
Issuance Of Debt,,,0.0,0.0,1250000000.0
Issuance Of Capital Stock,,,0.0,0.0,145452000.0
Capital Expenditure,-127776000.0,-158630000.0,-102501000.0,-65850000.0,
End Cash Position,10234258000.0,8687276000.0,12028132000.0,16583000000.0,
Beginning Cash Position,8687276000.0,12028132000.0,16583000000.0,10288853000.0,
Changes In Cash,1546982000.0,-3340856000.0,-4554868000.0,6294147000.0,
Financing Cash Flow,738329000.0,-2876950000.0,2999880000.0,8170869000.0,
Cash Flow From Continuing Financing Activities,738329000.0,-2876950000.0,2999880000.0,8170869000.0,
Proceeds From Stock Option Exercised,22643000.0,9299000.0,16659000.0,54417000.0,
Cash Dividends Paid,-249121000.0,-238998000.0,-216455000.0,-195943000.0,
Preferred Stock Dividend Paid,-6675000.0,-6675000.0,-6675000.0,-7157000.0,
Common Stock Dividend Paid,-242446000.0,-232323000.0,-209780000.0,-188786000.0,
Net Preferred Stock Issuance,,,0.0,0.0,-4548000.0
Preferred Stock Payments,,,0.0,0.0,-150000000.0
Preferred Stock Issuance,,,0.0,0.0,145452000.0
Net Common Stock Issuance,-60901000.0,-42720000.0,-4391000.0,-3864000.0,
Common Stock Payments,-60901000.0,-42720000.0,-4391000.0,-3864000.0,
Net Issuance Payments Of Debt,223528000.0,-570903000.0,1945567000.0,636324000.0,
Net Short Term Debt Issuance,223528000.0,-570903000.0,1945567000.0,649727000.0,
Net Long Term Debt Issuance,,0.0,0.0,-13403000.0,0.0
Long Term Debt Payments,,0.0,0.0,-13403000.0,-1250000000.0
Long Term Debt Issuance,,,0.0,0.0,1250000000.0
Investing Cash Flow,-180879000.0,-942751000.0,-8277330000.0,-2525015000.0,
Cash Flow From Continuing Investing Activities,-180879000.0,-942751000.0,-8277330000.0,-2525015000.0,
Net Other Investing Changes,3727000.0,2520000.0,4632000.0,3116000.0,
Net Investment Purchase And Sale,1905933000.0,898121000.0,-7357868000.0,-3615249000.0,
Sale Of Investment,19805712000.0,21170081000.0,16244485000.0,20602592000.0,
Purchase Of Investment,-17899779000.0,-20271960000.0,-23602353000.0,-24217841000.0,
Net PPE Purchase And Sale,-127751000.0,-157348000.0,-102438000.0,-58806000.0,
Sale Of PPE,25000.0,1282000.0,63000.0,7044000.0,
Purchase Of PPE,-127776000.0,-158630000.0,-102501000.0,-65850000.0,
Operating Cash Flow,989532000.0,478845000.0,722582000.0,648293000.0,
Cash Flow From Continuing Operating Activities,989532000.0,478845000.0,722582000.0,648293000.0,
Change In Working Capital,229758000.0,-296305000.0,-31410000.0,15205000.0,
Change In Other Working Capital,-3644000.0,-2220000.0,-716000.0,-560000.0,
Change In Other Current Assets,25264000.0,23573000.0,24409000.0,23504000.0,
Change In Payables And Accrued Expense,-51004000.0,-84993000.0,61140000.0,38821000.0,
Change In Payable,-51004000.0,-84993000.0,61140000.0,38821000.0,
Change In Account Payable,-51004000.0,-84993000.0,61140000.0,38821000.0,
Change In Receivables,259142000.0,-232665000.0,-116243000.0,-46560000.0,
Changes In Account Receivables,259142000.0,-232665000.0,-116243000.0,-46560000.0,
Other Non Cash Items,-3745000.0,-2944000.0,-2096000.0,-2462000.0,
Excess Tax Benefit From Stock Based Compensation,3795000.0,894000.0,4602000.0,7877000.0,
Stock Based Compensation,19763000.0,24590000.0,18322000.0,12753000.0,
Deferred Tax,-11600000.0,-14829000.0,-4918000.0,7784000.0,
Deferred Income Tax,-11600000.0,-14829000.0,-4918000.0,7784000.0,
Depreciation Amortization Depletion,82817000.0,76442000.0,71344000.0,69289000.0,
Depreciation And Amortization,82817000.0,76442000.0,71344000.0,69289000.0,
Operating Gains Losses,-45000.0,836000.0,109000.0,-11647000.0,
Gain Loss On Investment Securities,96000.0,-66000.0,0.0,-69000.0,
Net Income From Continuing Operations,582542000.0,597973000.0,579150000.0,443079000.0,
