,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,160291000.0,-82910000.0,322261000.0,826452000.0
Repurchase Of Capital Stock,-20420000.0,-104499000.0,0.0,
Repayment Of Debt,-6803000.0,-6755000.0,-6476000.0,-333509000.0
Issuance Of Debt,,,0.0,250000000.0
Issuance Of Capital Stock,2058000.0,3484000.0,5037000.0,7793000.0
Capital Expenditure,-85306000.0,-80930000.0,-92500000.0,-103563000.0
End Cash Position,612941000.0,531916000.0,947230000.0,545180000.0
Other Cash Adjustment Outside Changein Cash,,,0.0,-188000.0
Beginning Cash Position,531916000.0,947230000.0,545180000.0,42717000.0
Changes In Cash,81025000.0,-415314000.0,402050000.0,502651000.0
Financing Cash Flow,-74282000.0,-157692000.0,-49137000.0,-123988000.0
Cash Flow From Continuing Financing Activities,-74282000.0,-157692000.0,-49137000.0,-123988000.0
Net Other Financing Charges,-4210000.0,-2255000.0,-2654000.0,
Interest Paid Cff,,,-2654000.0,-8515000.0
Cash Dividends Paid,-44907000.0,-47667000.0,-45044000.0,-39757000.0
Common Stock Dividend Paid,-44907000.0,-47667000.0,-45044000.0,-39757000.0
Net Common Stock Issuance,-18362000.0,-101015000.0,5037000.0,7793000.0
Common Stock Payments,-20420000.0,-104499000.0,0.0,
Common Stock Issuance,2058000.0,3484000.0,5037000.0,7793000.0
Net Issuance Payments Of Debt,-6803000.0,-6755000.0,-6476000.0,-83509000.0
Net Long Term Debt Issuance,-6803000.0,-6755000.0,-6476000.0,-83509000.0
Long Term Debt Payments,-6803000.0,-6755000.0,-6476000.0,-333509000.0
Long Term Debt Issuance,,,0.0,250000000.0
Investing Cash Flow,-90290000.0,-255642000.0,36426000.0,-303376000.0
Cash From Discontinued Investing Activities,,0.0,-96081000.0,-228741000.0
Cash Flow From Continuing Investing Activities,-90290000.0,-255642000.0,132507000.0,-74635000.0
Net Other Investing Changes,,,2848000.0,24556000.0
Net Investment Purchase And Sale,,,0.0,4372000.0
Sale Of Investment,,,0.0,4372000.0
Net Business Purchase And Sale,-6500000.0,-176737000.0,210291000.0,0.0
Sale Of Business,25000000.0,0.0,210291000.0,0.0
Purchase Of Business,-31500000.0,-176737000.0,0.0,
Net PPE Purchase And Sale,-83790000.0,-78905000.0,-80632000.0,-103563000.0
Sale Of PPE,1516000.0,2025000.0,11868000.0,0.0
Purchase Of PPE,-85306000.0,-80930000.0,-92500000.0,-103563000.0
Operating Cash Flow,245597000.0,-1980000.0,414761000.0,930015000.0
Cash From Discontinued Operating Activities,,0.0,143853000.0,657625000.0
Cash Flow From Continuing Operating Activities,245597000.0,-1980000.0,270908000.0,272390000.0
Taxes Refund Paid,-44201000.0,-55628000.0,-17182000.0,18490000.0
Change In Working Capital,43237000.0,-64032000.0,-12771000.0,22588000.0
Change In Other Current Assets,7173000.0,-134000.0,,
Change In Payables And Accrued Expense,-10931000.0,26152000.0,16550000.0,-12962000.0
Change In Payable,-10931000.0,26152000.0,16550000.0,-12962000.0
Change In Account Payable,-8578000.0,30955000.0,15058000.0,12777000.0
Change In Tax Payable,-2353000.0,-4803000.0,1492000.0,-25739000.0
Change In Income Tax Payable,-2353000.0,-4803000.0,1492000.0,-25739000.0
Change In Prepaid Assets,,-134000.0,-1402000.0,-212000.0
Change In Inventory,40229000.0,-76404000.0,-21399000.0,-10675000.0
Change In Receivables,6766000.0,-13646000.0,-6520000.0,46437000.0
Other Non Cash Items,55462000.0,-93271000.0,27463000.0,71481000.0
Stock Based Compensation,9997000.0,770000.0,1364000.0,20348000.0
Asset Impairment Charge,37776000.0,151185000.0,-160000000.0,13588000.0
Deferred Tax,94912000.0,32776000.0,-44015000.0,7709000.0
Deferred Income Tax,94912000.0,32776000.0,-44015000.0,7709000.0
Depreciation Amortization Depletion,129692000.0,103429000.0,126374000.0,102046000.0
Operating Gains Losses,,,-97274000.0,
Gain Loss On Sale Of Business,,0.0,-97274000.0,0.0
Net Income From Continuing Operations,-81278000.0,-77209000.0,446949000.0,16140000.0
