,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,230609000.0,14512000.0,75431000.0,305159000.0
Repurchase Of Capital Stock,-3993000.0,-28457000.0,-28439000.0,-27254000.0
Repayment Of Debt,-350408000.0,-332758000.0,-357500000.0,-725469000.0
Issuance Of Debt,251792000.0,372246000.0,419205000.0,527271000.0
Issuance Of Capital Stock,,0.0,0.0,50000000.0
End Cash Position,60447000.0,30506000.0,93074000.0,68419000.0
Beginning Cash Position,30506000.0,93074000.0,68419000.0,36751000.0
Changes In Cash,29941000.0,-62568000.0,24655000.0,31668000.0
Financing Cash Flow,-200668000.0,-77080000.0,-50776000.0,-273491000.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Cash Dividends Paid,-93023000.0,-86820000.0,-83660000.0,-96551000.0
Common Stock Dividend Paid,-93023000.0,-86820000.0,-83660000.0,-96551000.0
Net Preferred Stock Issuance,,0.0,0.0,50000000.0
Preferred Stock Issuance,,0.0,0.0,50000000.0
Net Common Stock Issuance,-3993000.0,-28457000.0,-28439000.0,-27254000.0
Common Stock Payments,-3993000.0,-28457000.0,-28439000.0,-27254000.0
Net Issuance Payments Of Debt,-98616000.0,39488000.0,61705000.0,-198198000.0
Net Long Term Debt Issuance,-98616000.0,39488000.0,61705000.0,-198198000.0
Long Term Debt Payments,-350408000.0,-332758000.0,-357500000.0,-725469000.0
Long Term Debt Issuance,251792000.0,372246000.0,419205000.0,527271000.0
Operating Cash Flow,230609000.0,14512000.0,75431000.0,305159000.0
Change In Working Capital,-6678000.0,2058000.0,-259000.0,-8316000.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Accrued Expense,-595000.0,480000.0,175000.0,1160000.0
Change In Payable,3508000.0,6373000.0,695000.0,-6004000.0
Change In Prepaid Assets,111000.0,-916000.0,-668000.0,-96000.0
Change In Receivables,-9702000.0,-3879000.0,-461000.0,-3376000.0
Other Non Cash Items,-28047000.0,-34631000.0,-17219000.0,-12198000.0
Gain Loss On Investment Securities,169517000.0,-32325000.0,-65661000.0,314995000.0
Net Foreign Currency Exchange Gain Loss,3537000.0,-6227000.0,-1783000.0,3849000.0
Net Income From Continuing Operations,92280000.0,85637000.0,160353000.0,6829000.0
