,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-285946000.0,-567997000.0,-593924000.0,-639870000.0,
Repayment Of Debt,-509779000.0,-118179000.0,-50763000.0,-15619000.0,
Issuance Of Debt,0.0,135160000.0,0.0,893160000.0,
Issuance Of Capital Stock,81063000.0,1049000.0,2700000.0,0.0,
Capital Expenditure,-3996000.0,-10451000.0,-48113000.0,-174141000.0,
Interest Paid Supplemental Data,98118000.0,131824000.0,119249000.0,25649000.0,
Income Tax Paid Supplemental Data,2082000.0,1184000.0,2641000.0,22769000.0,
End Cash Position,170300000.0,677007000.0,776005000.0,1154653000.0,
Beginning Cash Position,677007000.0,776005000.0,1154653000.0,1303176000.0,
Effect Of Exchange Rate Changes,-1292000.0,44863000.0,-18123000.0,-63458000.0,
Changes In Cash,-505415000.0,-143861000.0,-360525000.0,-85065000.0,
Financing Cash Flow,-465055000.0,-19694000.0,-45533000.0,1264769000.0,
Cash Flow From Continuing Financing Activities,-465055000.0,-19694000.0,-45533000.0,1264769000.0,
Net Other Financing Charges,-36339000.0,-38005000.0,-3037000.0,-14855000.0,
Proceeds From Stock Option Exercised,0.0,281000.0,5567000.0,402083000.0,
Net Common Stock Issuance,81063000.0,1049000.0,2700000.0,0.0,
Common Stock Issuance,81063000.0,1049000.0,2700000.0,0.0,
Net Issuance Payments Of Debt,-509779000.0,16981000.0,-50763000.0,877541000.0,
Net Long Term Debt Issuance,-509779000.0,16981000.0,-50763000.0,877541000.0,
Long Term Debt Payments,-509779000.0,-118179000.0,-50763000.0,-15619000.0,
Long Term Debt Issuance,0.0,135160000.0,0.0,893160000.0,
Investing Cash Flow,241590000.0,433379000.0,230819000.0,-884105000.0,
Cash From Discontinued Investing Activities,21992000.0,-24050000.0,-19000.0,,
Cash Flow From Continuing Investing Activities,219598000.0,457429000.0,230838000.0,-884105000.0,
Net Other Investing Changes,-7705000.0,3900000.0,-18126000.0,-226818000.0,
Net Investment Purchase And Sale,78202000.0,435439000.0,166596000.0,-554404000.0,
Sale Of Investment,78549000.0,502589000.0,546010000.0,,1427482000.0
Purchase Of Investment,-347000.0,-67150000.0,-379414000.0,-554404000.0,
Net Business Purchase And Sale,-955000.0,14932000.0,103202000.0,7000000.0,
Sale Of Business,,14932000.0,118149000.0,0.0,0.0
Purchase Of Business,-955000.0,0.0,-14947000.0,0.0,
Net Intangibles Purchase And Sale,-547000.0,-1337000.0,-11429000.0,8698000.0,
Sale Of Intangibles,,0.0,0.0,18337000.0,0.0
Purchase Of Intangibles,-547000.0,-1337000.0,-11429000.0,-9639000.0,
Net PPE Purchase And Sale,150603000.0,4495000.0,-9405000.0,-118581000.0,
Sale Of PPE,154052000.0,13609000.0,27279000.0,45921000.0,
Purchase Of PPE,-3449000.0,-9114000.0,-36684000.0,-164502000.0,
Operating Cash Flow,-281950000.0,-557546000.0,-545811000.0,-465729000.0,
Cash From Discontinued Operating Activities,-53529000.0,-163123000.0,-99527000.0,,
Cash Flow From Continuing Operating Activities,-228421000.0,-394423000.0,-446284000.0,-465729000.0,
Interest Paid Cfo,,,,-25649000.0,-25472000.0
Change In Working Capital,3967000.0,58970000.0,205004000.0,27732000.0,
Change In Payables And Accrued Expense,9115000.0,-28240000.0,-42962000.0,16542000.0,
Change In Prepaid Assets,-2433000.0,12530000.0,27594000.0,77000.0,
Change In Inventory,1034000.0,68438000.0,204219000.0,23107000.0,
Change In Receivables,-3749000.0,6242000.0,16153000.0,-11994000.0,
Other Non Cash Items,-42654000.0,2995000.0,-7367000.0,-89843000.0,
Stock Based Compensation,14180000.0,25322000.0,46686000.0,91149000.0,
Unrealized Gain Loss On Investment Securities,160468000.0,353827000.0,-866739000.0,380758000.0,
Provisionand Write Offof Assets,,0.0,0.0,109480000.0,0.0
Asset Impairment Charge,53797000.0,2170588000.0,332949000.0,519209000.0,
Deferred Tax,12327000.0,-5728000.0,-8948000.0,-13141000.0,
Deferred Income Tax,12327000.0,-5728000.0,-8948000.0,-13141000.0,
Depreciation Amortization Depletion,53176000.0,80033000.0,110941000.0,127118000.0,
Depreciation And Amortization,53176000.0,80033000.0,110941000.0,127118000.0,
Amortization Cash Flow,24800000.0,24458000.0,34805000.0,56204000.0,
Amortization Of Intangibles,24800000.0,24458000.0,34805000.0,56204000.0,
Depreciation,28376000.0,55575000.0,76136000.0,70914000.0,
Operating Gains Losses,,,100000.0,52629000.0,64420000.0
Earnings Losses From Equity Investments,0.0,0.0,100000.0,52629000.0,
Net Foreign Currency Exchange Gain Loss,,,,8138000.0,-2012000.0
Net Income From Continuing Operations,-483682000.0,-3080430000.0,-258910000.0,-1670820000.0,
