,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,89237465.0,86624643.0,86433432.0,83675856.0
Share Issued,89237465.0,86624643.0,86433432.0,83675856.0
Total Debt,1351000.0,1925000.0,2750000.0,3166000.0
Tangible Book Value,65559000.0,77680000.0,106693000.0,119782000.0
Invested Capital,65559000.0,77680000.0,106693000.0,119782000.0
Working Capital,88313000.0,74206000.0,106126000.0,118567000.0
Net Tangible Assets,65559000.0,77680000.0,106693000.0,119782000.0
Capital Lease Obligations,1351000.0,1925000.0,2750000.0,3166000.0
Common Stock Equity,65559000.0,77680000.0,106693000.0,119782000.0
Total Capitalization,65559000.0,77680000.0,106693000.0,119782000.0
Total Equity Gross Minority Interest,65559000.0,77680000.0,106693000.0,119782000.0
Stockholders Equity,65559000.0,77680000.0,106693000.0,119782000.0
Gains Losses Not Affecting Retained Earnings,2000.0,0.0,,
Other Equity Adjustments,2000.0,,,
Retained Earnings,-474527000.0,-455773000.0,-422079000.0,-387876000.0
Additional Paid In Capital,539837000.0,533213000.0,528533000.0,507427000.0
Capital Stock,247000.0,240000.0,239000.0,231000.0
Common Stock,247000.0,240000.0,239000.0,231000.0
Total Liabilities Net Minority Interest,55775000.0,16496000.0,25470000.0,18534000.0
Total Non Current Liabilities Net Minority Interest,29509000.0,4577000.0,8374000.0,8011000.0
Employee Benefits,3398000.0,3265000.0,3677000.0,3516000.0
Non Current Pension And Other Postretirement Benefit Plans,3398000.0,3265000.0,3677000.0,3516000.0
Non Current Deferred Liabilities,25392000.0,0.0,2715000.0,1968000.0
Non Current Deferred Revenue,25392000.0,0.0,,
Long Term Debt And Capital Lease Obligation,719000.0,1312000.0,1982000.0,2527000.0
Long Term Capital Lease Obligation,719000.0,1312000.0,1982000.0,2527000.0
Current Liabilities,26266000.0,11919000.0,17096000.0,10523000.0
Current Deferred Liabilities,11149000.0,325000.0,3629000.0,668000.0
Current Deferred Revenue,11149000.0,0.0,,
Current Debt And Capital Lease Obligation,632000.0,613000.0,768000.0,639000.0
Current Capital Lease Obligation,632000.0,613000.0,768000.0,639000.0
Pensionand Other Post Retirement Benefit Plans Current,3125000.0,2812000.0,3299000.0,2881000.0
Payables And Accrued Expenses,11360000.0,8169000.0,9400000.0,6335000.0
Current Accrued Expenses,7858000.0,6396000.0,4779000.0,4922000.0
Payables,3502000.0,1773000.0,4621000.0,1413000.0
Accounts Payable,3502000.0,1773000.0,4621000.0,1413000.0
Total Assets,121334000.0,94176000.0,132163000.0,138316000.0
Total Non Current Assets,6755000.0,8051000.0,8941000.0,9226000.0
Defined Pension Benefit,2977000.0,2794000.0,3125000.0,2863000.0
Non Current Prepaid Assets,1233000.0,1899000.0,1911000.0,1880000.0
Net PPE,2545000.0,3358000.0,3905000.0,4483000.0
Accumulated Depreciation,-5356000.0,-6230000.0,-5843000.0,-5408000.0
Gross PPE,7901000.0,9588000.0,9748000.0,9891000.0
Leases,2314000.0,2314000.0,2321000.0,2321000.0
Other Properties,1329000.0,1826000.0,2247000.0,2772000.0
Machinery Furniture Equipment,4258000.0,5448000.0,5180000.0,4798000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,114579000.0,86125000.0,123222000.0,129090000.0
Restricted Cash,365000.0,362000.0,713000.0,667000.0
Prepaid Assets,2211000.0,2100000.0,5272000.0,2482000.0
Receivables,61318000.0,317000.0,188000.0,2176000.0
Other Receivables,318000.0,317000.0,188000.0,176000.0
Accounts Receivable,61000000.0,0.0,0.0,2000000.0
Cash Cash Equivalents And Short Term Investments,50685000.0,83346000.0,117049000.0,123765000.0
Other Short Term Investments,36795000.0,72287000.0,109248000.0,116622000.0
Cash And Cash Equivalents,13890000.0,11059000.0,7801000.0,7143000.0
