,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,63482511.0,63482511.0,63482511.0
Share Issued,63482511.0,63482511.0,63482511.0
Total Debt,461000.0,15944000.0,15129000.0
Tangible Book Value,-123100000.0,-77693000.0,-42618000.0
Invested Capital,-123100000.0,-62195000.0,-27611000.0
Working Capital,179870000.0,131779000.0,52432000.0
Net Tangible Assets,184790000.0,125177000.0,40252000.0
Capital Lease Obligations,461000.0,446000.0,122000.0
Common Stock Equity,-123100000.0,-77693000.0,-42618000.0
Preferred Stock Equity,307890000.0,202870000.0,82870000.0
Total Capitalization,184790000.0,131709000.0,52316000.0
Total Equity Gross Minority Interest,184790000.0,125177000.0,40252000.0
Stockholders Equity,184790000.0,125177000.0,40252000.0
Retained Earnings,-129942000.0,-81335000.0,-45892000.0
Additional Paid In Capital,6842000.0,3642000.0,3274000.0
Capital Stock,307890000.0,202870000.0,82870000.0
Common Stock,0.0,0.0,0.0
Preferred Stock,307890000.0,202870000.0,82870000.0
Total Liabilities Net Minority Interest,14511000.0,22570000.0,18440000.0
Total Non Current Liabilities Net Minority Interest,257000.0,7141000.0,12465000.0
Other Non Current Liabilities,13000.0,352000.0,351000.0
Preferred Securities Outside Stock Equity,,202870000.0,82870000.0
Long Term Debt And Capital Lease Obligation,244000.0,6789000.0,12114000.0
Long Term Capital Lease Obligation,244000.0,257000.0,50000.0
Long Term Debt,,6532000.0,12064000.0
Current Liabilities,14254000.0,15429000.0,5975000.0
Other Current Liabilities,451000.0,173000.0,68000.0
Current Deferred Liabilities,1017000.0,0.0,
Current Debt And Capital Lease Obligation,217000.0,9155000.0,3015000.0
Current Capital Lease Obligation,217000.0,189000.0,72000.0
Current Debt,,8966000.0,2943000.0
Other Current Borrowings,,8966000.0,2943000.0
Pensionand Other Post Retirement Benefit Plans Current,2822000.0,1833000.0,1065000.0
Payables And Accrued Expenses,9747000.0,4268000.0,1827000.0
Current Accrued Expenses,6505000.0,3283000.0,824000.0
Payables,3242000.0,985000.0,1003000.0
Accounts Payable,3242000.0,985000.0,1003000.0
Total Assets,199301000.0,147747000.0,58692000.0
Total Non Current Assets,5177000.0,539000.0,285000.0
Other Non Current Assets,19000.0,33000.0,85000.0
Non Current Deferred Assets,4667000.0,0.0,
Net PPE,491000.0,506000.0,200000.0
Gross PPE,491000.0,506000.0,200000.0
Other Properties,491000.0,506000.0,200000.0
Current Assets,194124000.0,147208000.0,58407000.0
Other Current Assets,6358000.0,3424000.0,4798000.0
Receivables,92000.0,303000.0,2000.0
Other Receivables,92000.0,303000.0,2000.0
Cash Cash Equivalents And Short Term Investments,187674000.0,143481000.0,53607000.0
Other Short Term Investments,179408000.0,55338000.0,0.0
Cash And Cash Equivalents,8266000.0,88143000.0,53607000.0
