,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-55432000.0,-35231000.0,-12378000.0
Net Income From Continuing Operation Net Minority Interest,-48607000.0,-35443000.0,-12839000.0
Reconciled Depreciation,17000.0,15000.0,10000.0
EBITDA,-55432000.0,-35231000.0,-12378000.0
EBIT,-55449000.0,-35246000.0,-12388000.0
Net Interest Income,6904000.0,-1000.0,-451000.0
Interest Expense,,1000.0,451000.0
Normalized Income,-48607000.0,-35443000.0,-12839000.0
Net Income From Continuing And Discontinued Operation,-48607000.0,-35443000.0,-12839000.0
Total Expenses,55653000.0,35437000.0,22964000.0
Total Operating Income As Reported,-55449000.0,-35246000.0,-12606000.0
Diluted Average Shares,4330933.0,3740892.0,33699977.0
Basic Average Shares,4330933.0,3740892.0,33699977.0
Diluted EPS,-15.65,-11.71,-0.54549
Basic EPS,-15.65,-11.71,-0.54549
Diluted NI Availto Com Stockholders,-67798000.0,-43788000.0,-18383000.0
Net Income Common Stockholders,-67798000.0,-43788000.0,-18383000.0
Preferred Stock Dividends,19191000.0,8345000.0,5544000.0
Net Income,-48607000.0,-35443000.0,-12839000.0
Net Income Including Noncontrolling Interests,-48607000.0,-35443000.0,-12839000.0
Net Income Continuous Operations,-48607000.0,-35443000.0,-12839000.0
Pretax Income,-48607000.0,-35443000.0,-12839000.0
Other Income Expense,-62000.0,-196000.0,218000.0
Other Non Operating Income Expenses,-62000.0,-196000.0,218000.0
Net Non Operating Interest Income Expense,6904000.0,-1000.0,-451000.0
Total Other Finance Cost,-6904000.0,1000.0,
Interest Expense Non Operating,,1000.0,451000.0
Operating Income,-55449000.0,-35246000.0,-12606000.0
Operating Expense,55653000.0,35437000.0,22964000.0
Research And Development,45752000.0,29029000.0,18319000.0
Selling General And Administration,9901000.0,6408000.0,4645000.0
General And Administrative Expense,9901000.0,6408000.0,4645000.0
Other Gand A,4359000.0,3098000.0,2466000.0
Salaries And Wages,5542000.0,3310000.0,2179000.0
Total Revenue,204000.0,191000.0,10358000.0
Operating Revenue,204000.0,191000.0,10358000.0
