,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Free Cash Flow,-3542749.0,4870854.0,637345.0,-419279.0
Capital Expenditure,-18597.0,-3784.0,-17143.0,-2580.0
End Cash Position,443322.0,4305577.0,959300.0,297855.0
Beginning Cash Position,4305577.0,959300.0,297855.0,252698.0
Effect Of Exchange Rate Changes,-20182.0,21673.0,-20395.0,872.0
Changes In Cash,-3842073.0,3324604.0,681840.0,44285.0
Financing Cash Flow,-299324.0,-1546250.0,44495.0,368489.0
Cash Flow From Continuing Financing Activities,-299324.0,-1546250.0,44495.0,368489.0
Net Other Financing Charges,-299324.0,-1546250.0,44495.0,368489.0
Investing Cash Flow,-18597.0,-3784.0,-17143.0,92495.0
Cash Flow From Continuing Investing Activities,-18597.0,-3784.0,-17143.0,92495.0
Net Investment Purchase And Sale,,,0.0,95075.0
Sale Of Investment,,,0.0,2191518.0
Purchase Of Investment,,,0.0,-2096443.0
Net PPE Purchase And Sale,-18597.0,-3784.0,-17143.0,-2580.0
Purchase Of PPE,-18597.0,-3784.0,-17143.0,-2580.0
Operating Cash Flow,-3524152.0,4874638.0,654488.0,-416699.0
Cash Flow From Continuing Operating Activities,-3524152.0,4874638.0,654488.0,-416699.0
Change In Working Capital,-7888588.0,1712437.0,-2756397.0,-2815829.0
Change In Other Working Capital,-2176.0,-603.0,2082.0,183.0
Change In Other Current Liabilities,127165.0,0.0,0.0,
Change In Other Current Assets,-197565.0,0.0,0.0,
Change In Payables And Accrued Expense,540091.0,1092217.0,-948725.0,2050398.0
Change In Payable,540091.0,1092217.0,-948725.0,2050398.0
Change In Tax Payable,914775.0,673214.0,634526.0,445680.0
Change In Income Tax Payable,914775.0,673214.0,634526.0,445680.0
Change In Prepaid Assets,227252.0,2485935.0,-1001715.0,-2253445.0
Change In Inventory,1908309.0,-1865112.0,-808039.0,-2612965.0
Change In Receivables,-10491664.0,0.0,0.0,
Changes In Account Receivables,-10491664.0,0.0,0.0,
Depreciation Amortization Depletion,82068.0,6880.0,4087.0,1504.0
Depreciation And Amortization,82068.0,6880.0,4087.0,1504.0
Depreciation,82068.0,6880.0,4087.0,1504.0
Operating Gains Losses,,,,-95075.0
Gain Loss On Investment Securities,,,,-95075.0
Net Income From Continuing Operations,4282368.0,3155321.0,3406798.0,2492701.0
