,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,5218736.0,2927739.0,230310.0,174222.0
Ordinary Shares Number,16549980.0,18237051.0,20523483.0,20377987.0
Share Issued,21768716.0,21164790.0,20753793.0,20552209.0
Net Debt,591764000.0,607023000.0,621896000.0,701150000.0
Total Debt,813080000.0,862351000.0,952957000.0,1130305000.0
Tangible Book Value,-551047000.0,-514890000.0,-542798000.0,-572386000.0
Invested Capital,959006000.0,1122861000.0,1218421000.0,1370502000.0
Working Capital,143158000.0,199663000.0,266702000.0,373928000.0
Net Tangible Assets,-551047000.0,-514890000.0,-542798000.0,-572386000.0
Capital Lease Obligations,140656000.0,147895000.0,154033000.0,157394000.0
Common Stock Equity,286582000.0,408405000.0,419497000.0,397591000.0
Total Capitalization,959006000.0,1122861000.0,1218421000.0,1365252000.0
Total Equity Gross Minority Interest,286582000.0,408405000.0,419497000.0,397591000.0
Stockholders Equity,286582000.0,408405000.0,419497000.0,397591000.0
Treasury Stock,45747000.0,36533000.0,2977000.0,2414000.0
Retained Earnings,-21403000.0,96476000.0,80241000.0,62963000.0
Additional Paid In Capital,353732000.0,348462000.0,342233000.0,337042000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1153719000.0,1200626000.0,1297885000.0,1462147000.0
Total Non Current Liabilities Net Minority Interest,1009980000.0,1055018000.0,1158071000.0,1333111000.0
Other Non Current Liabilities,212090000.0,219984000.0,233509000.0,236177000.0
Non Current Deferred Liabilities,12325000.0,653000.0,0.0,0.0
Non Current Deferred Taxes Liabilities,12325000.0,653000.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,785565000.0,834381000.0,924562000.0,1096934000.0
Long Term Capital Lease Obligation,113141000.0,119925000.0,125638000.0,129273000.0
Long Term Debt,672424000.0,714456000.0,798924000.0,967661000.0
Current Liabilities,143739000.0,145608000.0,139814000.0,129036000.0
Other Current Liabilities,8401000.0,7242000.0,6157000.0,5157000.0
Current Debt And Capital Lease Obligation,27515000.0,27970000.0,28395000.0,33371000.0
Current Capital Lease Obligation,27515000.0,27970000.0,28395000.0,28121000.0
Current Debt,,,,5250000.0
Other Current Borrowings,,,,5250000.0
Pensionand Other Post Retirement Benefit Plans Current,,,,20638000.0
Payables And Accrued Expenses,107823000.0,110396000.0,105262000.0,90508000.0
Current Accrued Expenses,91932000.0,99433000.0,98621000.0,83721000.0
Interest Payable,14439000.0,13009000.0,1457000.0,
Payables,15891000.0,10963000.0,6641000.0,6787000.0
Other Payable,,,,5250000.0
Accounts Payable,15891000.0,10963000.0,6641000.0,6787000.0
Total Assets,1440301000.0,1609031000.0,1717382000.0,1859738000.0
Total Non Current Assets,1153404000.0,1263760000.0,1310866000.0,1356774000.0
Other Non Current Assets,16533000.0,9150000.0,7758000.0,12758000.0
Non Current Deferred Assets,0.0,5972000.0,6356000.0,7779000.0
Non Current Deferred Taxes Assets,0.0,5972000.0,6356000.0,7779000.0
Goodwill And Other Intangible Assets,837629000.0,923295000.0,962295000.0,969977000.0
Other Intangible Assets,837629000.0,923295000.0,962295000.0,969977000.0
Net PPE,299242000.0,325343000.0,334457000.0,366260000.0
Accumulated Depreciation,-127310000.0,-105348000.0,-96038000.0,-71183000.0
Gross PPE,426552000.0,430691000.0,430495000.0,437443000.0
Leases,25155000.0,32054000.0,27856000.0,28630000.0
Construction In Progress,5009000.0,15639000.0,17861000.0,10789000.0
Other Properties,259441000.0,263375000.0,252529000.0,258772000.0
Machinery Furniture Equipment,40552000.0,24495000.0,39612000.0,35949000.0
Buildings And Improvements,34061000.0,32643000.0,29988000.0,30052000.0
Land And Improvements,62334000.0,62485000.0,62649000.0,73251000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,286897000.0,345271000.0,406516000.0,502964000.0
Other Current Assets,24036000.0,25540000.0,30656000.0,27942000.0
Assets Held For Sale Current,,,,0.0
Restricted Cash,,,,0.0
Prepaid Assets,,,30656000.0,27942000.0
Receivables,182201000.0,212298000.0,198832000.0,203261000.0
Other Receivables,,,,201275000.0
Accounts Receivable,182201000.0,212298000.0,198832000.0,203261000.0
Allowance For Doubtful Accounts Receivable,-5983000.0,-5936000.0,-5816000.0,-6745000.0
Gross Accounts Receivable,188184000.0,218234000.0,204648000.0,210006000.0
Cash Cash Equivalents And Short Term Investments,80660000.0,107433000.0,177028000.0,271761000.0
Cash And Cash Equivalents,80660000.0,107433000.0,177028000.0,271761000.0
