,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,19415123.0,16446748.0,14929982.0,14929982.0
Share Issued,19415123.0,16446748.0,14929982.0,14929982.0
Net Debt,295260000.0,344354000.0,365585000.0,242465000.0
Total Debt,344644000.0,367608000.0,393357000.0,255887000.0
Tangible Book Value,-802360000.0,-892232000.0,-1015961000.0,-192554000.0
Invested Capital,-465884000.0,-534236000.0,-628432000.0,63333000.0
Working Capital,98467000.0,49752000.0,17755000.0,11873000.0
Net Tangible Assets,-802360000.0,-892232000.0,-1015961000.0,-192554000.0
Capital Lease Obligations,8168000.0,9612000.0,5828000.0,0.0
Common Stock Equity,-802360000.0,-892232000.0,-1015961000.0,-192554000.0
Total Capitalization,-476197000.0,-548608000.0,-640932000.0,39333000.0
Total Equity Gross Minority Interest,-205773000.0,-291998000.0,-407650000.0,-192554000.0
Minority Interest,596587000.0,600234000.0,608311000.0,0.0
Stockholders Equity,-802360000.0,-892232000.0,-1015961000.0,-192554000.0
Gains Losses Not Affecting Retained Earnings,4991000.0,8283000.0,0.0,
Other Equity Adjustments,4991000.0,8283000.0,,
Retained Earnings,-846825000.0,-924630000.0,-1028229000.0,-198708000.0
Additional Paid In Capital,39466000.0,24107000.0,12261000.0,6148000.0
Capital Stock,8000.0,8000.0,7000.0,6000.0
Common Stock,8000.0,8000.0,7000.0,6000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,406814000.0,454941000.0,539004000.0,273911000.0
Total Non Current Liabilities Net Minority Interest,365904000.0,407581000.0,478488000.0,232296000.0
Other Non Current Liabilities,24802000.0,39565000.0,62927000.0,409000.0
Derivative Product Liabilities,8719000.0,16626000.0,35823000.0,0.0
Long Term Debt And Capital Lease Obligation,332383000.0,351390000.0,379738000.0,231887000.0
Long Term Capital Lease Obligation,6220000.0,7766000.0,4709000.0,0.0
Long Term Debt,326163000.0,343624000.0,375029000.0,231887000.0
Current Liabilities,40910000.0,47360000.0,60516000.0,41615000.0
Other Current Liabilities,1425000.0,2367000.0,,
Current Debt And Capital Lease Obligation,12261000.0,16218000.0,13619000.0,24000000.0
Current Capital Lease Obligation,1948000.0,1846000.0,1119000.0,0.0
Current Debt,10313000.0,14372000.0,12500000.0,24000000.0
Other Current Borrowings,10313000.0,14372000.0,12500000.0,24000000.0
Payables And Accrued Expenses,27224000.0,28775000.0,46897000.0,17615000.0
Current Accrued Expenses,11986000.0,10154000.0,10131000.0,11556000.0
Payables,15238000.0,18621000.0,36766000.0,6059000.0
Other Payable,10045000.0,11494000.0,29708000.0,3638000.0
Accounts Payable,5193000.0,7127000.0,7058000.0,2421000.0
Total Assets,201041000.0,162943000.0,131354000.0,81357000.0
Total Non Current Assets,61664000.0,65831000.0,53083000.0,27869000.0
Other Non Current Assets,24000.0,24000.0,10000.0,10000.0
Non Current Prepaid Assets,24000.0,24000.0,10000.0,10000.0
Non Current Deferred Assets,23697000.0,25569000.0,25650000.0,0.0
Non Current Deferred Taxes Assets,23697000.0,25569000.0,25650000.0,0.0
Financial Assets,5258000.0,8651000.0,0.0,
Net PPE,32685000.0,31587000.0,27423000.0,27859000.0
Accumulated Depreciation,-71598000.0,-63211000.0,-54636000.0,-44208000.0
Gross PPE,104283000.0,94798000.0,82059000.0,72067000.0
Leases,14981000.0,11993000.0,11358000.0,10875000.0
Construction In Progress,4189000.0,4145000.0,985000.0,519000.0
Other Properties,7473000.0,8932000.0,5246000.0,
Machinery Furniture Equipment,77640000.0,69728000.0,64470000.0,60673000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,139377000.0,97112000.0,78271000.0,53488000.0
Other Current Assets,5133000.0,3824000.0,2596000.0,1077000.0
Prepaid Assets,,,2596000.0,1077000.0
Inventory,52540000.0,42374000.0,25806000.0,30197000.0
Inventories Adjustments Allowances,-3099000.0,-4281000.0,-2613000.0,-2013000.0
Other Inventories,,,,-1000.0
Finished Goods,662000.0,450000.0,363000.0,3998000.0
Work In Process,4110000.0,2892000.0,582000.0,1055000.0
Raw Materials,50867000.0,43313000.0,27474000.0,27157000.0
Receivables,40488000.0,37272000.0,27925000.0,8792000.0
Accounts Receivable,40488000.0,37272000.0,27925000.0,8792000.0
Cash Cash Equivalents And Short Term Investments,41216000.0,13642000.0,21944000.0,13422000.0
Cash And Cash Equivalents,41216000.0,13642000.0,21944000.0,13422000.0
