,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,93368000.0,83730000.0,73034000.0,79561000.0
Repayment Of Debt,-22810000.0,-31878000.0,-245000000.0,-10500000.0
Issuance Of Debt,0.0,0.0,377400000.0,137500000.0
Capital Expenditure,-10944000.0,-9053000.0,-4746000.0,-7501000.0
Interest Paid Supplemental Data,27247000.0,21379000.0,10101000.0,5317000.0
Income Tax Paid Supplemental Data,2760000.0,858000.0,0.0,
End Cash Position,41216000.0,13642000.0,21944000.0,13422000.0
Beginning Cash Position,13642000.0,21944000.0,13422000.0,26728000.0
Changes In Cash,27574000.0,-8302000.0,8522000.0,-13306000.0
Financing Cash Flow,-65794000.0,-92032000.0,-64512000.0,-92867000.0
Cash Flow From Continuing Financing Activities,-65794000.0,-92032000.0,-64512000.0,-92867000.0
Net Other Financing Charges,-5818000.0,-23943000.0,43722000.0,-3199000.0
Proceeds From Stock Option Exercised,1196000.0,82000.0,0.0,0.0
Cash Dividends Paid,-38362000.0,-36293000.0,-240634000.0,-216668000.0
Common Stock Dividend Paid,-38362000.0,-36293000.0,-240634000.0,-216668000.0
Net Issuance Payments Of Debt,-22810000.0,-31878000.0,132400000.0,127000000.0
Net Short Term Debt Issuance,0.0,-15000000.0,-5000000.0,20000000.0
Short Term Debt Payments,0.0,-15000000.0,-5000000.0,0.0
Short Term Debt Issuance,,,0.0,20000000.0
Net Long Term Debt Issuance,-22810000.0,-16878000.0,137400000.0,127000000.0
Long Term Debt Payments,-22810000.0,-16878000.0,-240000000.0,-10500000.0
Long Term Debt Issuance,0.0,0.0,377400000.0,137500000.0
Investing Cash Flow,-10944000.0,-9053000.0,-4746000.0,-7501000.0
Cash Flow From Continuing Investing Activities,-10944000.0,-9053000.0,-4746000.0,-7501000.0
Net PPE Purchase And Sale,-10944000.0,-9053000.0,-4746000.0,-7501000.0
Purchase Of PPE,-10944000.0,-9053000.0,-4746000.0,-7501000.0
Operating Cash Flow,104312000.0,92783000.0,77780000.0,87062000.0
Cash Flow From Continuing Operating Activities,104312000.0,92783000.0,77780000.0,87062000.0
Change In Working Capital,-15043000.0,-23745000.0,-10512000.0,-4516000.0
Change In Other Current Liabilities,-1433000.0,4990000.0,46000.0,-1681000.0
Change In Payables And Accrued Expense,-101000.0,91000.0,6302000.0,-124000.0
Change In Accrued Expense,1833000.0,23000.0,1665000.0,332000.0
Change In Payable,-1934000.0,68000.0,4637000.0,-456000.0
Change In Account Payable,-1934000.0,68000.0,4637000.0,-456000.0
Change In Prepaid Assets,-1309000.0,-1242000.0,-1519000.0,-94000.0
Change In Inventory,-8984000.0,-18237000.0,3792000.0,-12866000.0
Change In Receivables,-3216000.0,-9347000.0,-19133000.0,10249000.0
Changes In Account Receivables,-3216000.0,-9347000.0,-19133000.0,10249000.0
Other Non Cash Items,-12691000.0,-20992000.0,-7921000.0,842000.0
Stock Based Compensation,17562000.0,11465000.0,6113000.0,1848000.0
Provisionand Write Offof Assets,-1182000.0,1668000.0,600000.0,1157000.0
Deferred Tax,2667000.0,3193000.0,-857000.0,0.0
Deferred Income Tax,2667000.0,3193000.0,-857000.0,0.0
Depreciation Amortization Depletion,8387000.0,8575000.0,10428000.0,9916000.0
Depreciation And Amortization,8387000.0,8575000.0,10428000.0,9916000.0
Depreciation,8387000.0,8575000.0,10428000.0,9916000.0
Operating Gains Losses,-7908000.0,-19196000.0,-3485000.0,
Gain Loss On Investment Securities,-7908000.0,-19196000.0,-3485000.0,
Net Income From Continuing Operations,112520000.0,131815000.0,83414000.0,77815000.0
