,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-40648000.0,-34337000.0,-21234000.0,-26909000.0
Repayment Of Debt,,0.0,-9375000.0,-5625000.0
Issuance Of Capital Stock,3126000.0,76237000.0,128267000.0,60482000.0
Capital Expenditure,-30000.0,-212000.0,-1568000.0,-106000.0
Interest Paid Supplemental Data,,0.0,370000.0,854000.0
End Cash Position,24228000.0,34946000.0,144514000.0,47339000.0
Beginning Cash Position,34946000.0,144514000.0,47339000.0,25566000.0
Changes In Cash,-10718000.0,-109568000.0,97175000.0,21773000.0
Financing Cash Flow,2935000.0,75757000.0,118611000.0,48538000.0
Cash Flow From Continuing Financing Activities,2935000.0,75757000.0,118611000.0,48538000.0
Net Other Financing Charges,-253000.0,-495000.0,-281000.0,-6319000.0
Proceeds From Stock Option Exercised,62000.0,15000.0,0.0,
Net Common Stock Issuance,3126000.0,76237000.0,128267000.0,60482000.0
Common Stock Issuance,3126000.0,76237000.0,128267000.0,60482000.0
Net Issuance Payments Of Debt,,0.0,-9375000.0,-5625000.0
Net Long Term Debt Issuance,,0.0,-9375000.0,-5625000.0
Long Term Debt Payments,,0.0,-9375000.0,-5625000.0
Investing Cash Flow,26965000.0,-151200000.0,-1770000.0,38000.0
Cash Flow From Continuing Investing Activities,26965000.0,-151200000.0,-1770000.0,38000.0
Net Other Investing Changes,,,-318000.0,
Net Investment Purchase And Sale,26995000.0,-151164000.0,0.0,
Sale Of Investment,182413000.0,48955000.0,0.0,
Purchase Of Investment,-155418000.0,-200119000.0,0.0,
Net PPE Purchase And Sale,-30000.0,-36000.0,-1452000.0,38000.0
Sale Of PPE,0.0,176000.0,116000.0,144000.0
Purchase Of PPE,-30000.0,-212000.0,-1568000.0,-106000.0
Operating Cash Flow,-40618000.0,-34125000.0,-19666000.0,-26803000.0
Cash Flow From Continuing Operating Activities,-40618000.0,-34125000.0,-19666000.0,-26803000.0
Change In Working Capital,-2908000.0,-1263000.0,6245000.0,-3600000.0
Change In Other Working Capital,,,,-290000.0
Change In Other Current Liabilities,-1202000.0,-1102000.0,-1111000.0,0.0
Change In Other Current Assets,,,0.0,-290000.0
Change In Payables And Accrued Expense,-8468000.0,5430000.0,6822000.0,-1119000.0
Change In Accrued Expense,-9176000.0,2915000.0,7016000.0,-1551000.0
Change In Payable,708000.0,2515000.0,-194000.0,432000.0
Change In Account Payable,708000.0,2515000.0,-194000.0,432000.0
Change In Prepaid Assets,6762000.0,-5591000.0,534000.0,-2191000.0
Other Non Cash Items,,,41000.0,-960000.0
Stock Based Compensation,6120000.0,5330000.0,4029000.0,4016000.0
Asset Impairment Charge,,0.0,50618000.0,0.0
Amortization Of Securities,-3226000.0,-801000.0,0.0,
Depreciation Amortization Depletion,1890000.0,1904000.0,1624000.0,2404000.0
Depreciation And Amortization,1890000.0,1904000.0,1624000.0,2404000.0
Depreciation,1890000.0,1904000.0,1624000.0,2404000.0
Operating Gains Losses,,-70000.0,-42000.0,837000.0
Gain Loss On Investment Securities,,,,556000.0
Gain Loss On Sale Of PPE,0.0,-70000.0,-42000.0,281000.0
Net Income From Continuing Operations,-42494000.0,-39225000.0,-82181000.0,-29500000.0
