,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,49042000.0,519698000.0,-525599000.0,172367000.0
Repurchase Of Capital Stock,-60000000.0,-60095000.0,0.0,-1684000.0
Repayment Of Debt,-832168000.0,-984313000.0,-655400000.0,-451038000.0
Issuance Of Debt,576206000.0,1014284000.0,1225397000.0,285903000.0
Issuance Of Capital Stock,16163000.0,3750000.0,0.0,0.0
Capital Expenditure,-282326000.0,-61895000.0,-992093000.0,-101917000.0
Interest Paid Supplemental Data,152628000.0,100699000.0,71813000.0,63725000.0
End Cash Position,825204000.0,811558000.0,353528000.0,191896000.0
Beginning Cash Position,811558000.0,353528000.0,191896000.0,195871000.0
Changes In Cash,13646000.0,458030000.0,161632000.0,-3975000.0
Financing Cash Flow,-396815000.0,-166051000.0,482594000.0,-241862000.0
Cash Flow From Continuing Financing Activities,-396815000.0,-166051000.0,482594000.0,-241862000.0
Net Other Financing Charges,-25149000.0,-20129000.0,-16140000.0,-9573000.0
Cash Dividends Paid,-71867000.0,-119548000.0,-71263000.0,-65470000.0
Common Stock Dividend Paid,,,,-65470000.0
Net Preferred Stock Issuance,,0.0,0.0,-1684000.0
Preferred Stock Payments,,0.0,0.0,-1684000.0
Net Common Stock Issuance,-43837000.0,-56345000.0,0.0,0.0
Common Stock Payments,-60000000.0,-60095000.0,0.0,0.0
Common Stock Issuance,16163000.0,3750000.0,0.0,0.0
Net Issuance Payments Of Debt,-255962000.0,29971000.0,569997000.0,-165135000.0
Net Long Term Debt Issuance,-255962000.0,29971000.0,569997000.0,-165135000.0
Long Term Debt Payments,-832168000.0,-984313000.0,-655400000.0,-451038000.0
Long Term Debt Issuance,576206000.0,1014284000.0,1225397000.0,285903000.0
Investing Cash Flow,79093000.0,42488000.0,-787456000.0,-36397000.0
Cash Flow From Continuing Investing Activities,79093000.0,42488000.0,-787456000.0,-36397000.0
Net Other Investing Changes,7763000.0,2769000.0,1035000.0,2228000.0
Net Investment Purchase And Sale,106140000.0,-118718000.0,72146000.0,0.0
Sale Of Investment,305695000.0,60000000.0,72146000.0,0.0
Purchase Of Investment,-199555000.0,-178718000.0,0.0,0.0
Net Business Purchase And Sale,4449000.0,14000.0,8820000.0,32996000.0
Sale Of Business,5723000.0,14000.0,8820000.0,32996000.0
Purchase Of Business,-1274000.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-39259000.0,158423000.0,-869457000.0,-71621000.0
Sale Of PPE,243067000.0,220318000.0,122636000.0,30296000.0
Purchase Of PPE,-282326000.0,-61895000.0,-992093000.0,-101917000.0
Operating Cash Flow,331368000.0,581593000.0,466494000.0,274284000.0
Cash Flow From Continuing Operating Activities,331368000.0,581593000.0,466494000.0,274284000.0
Dividend Received Cfo,4002000.0,1114000.0,6370000.0,16653000.0
Change In Working Capital,-140036000.0,-41590000.0,-16810000.0,20487000.0
Change In Other Working Capital,-26042000.0,-40597000.0,-7535000.0,-13531000.0
Change In Other Current Liabilities,11140000.0,1039000.0,-599000.0,284000.0
Change In Payables And Accrued Expense,14426000.0,21831000.0,22792000.0,4945000.0
Change In Accrued Expense,-12542000.0,21903000.0,11892000.0,3619000.0
Change In Payable,26968000.0,-72000.0,10900000.0,1326000.0
Change In Account Payable,27896000.0,-710000.0,9639000.0,1367000.0
Change In Prepaid Assets,-59088000.0,-361000.0,3133000.0,-853000.0
Change In Inventory,-32975000.0,-6674000.0,-9917000.0,91000.0
Change In Receivables,-47497000.0,-16828000.0,-24684000.0,29551000.0
Changes In Account Receivables,-36619000.0,-6150000.0,-12828000.0,3852000.0
Other Non Cash Items,25082000.0,22445000.0,15857000.0,11768000.0
Stock Based Compensation,5850000.0,7089000.0,7414000.0,3655000.0
Provisionand Write Offof Assets,0.0,0.0,-324000.0,26000.0
Asset Impairment Charge,434000.0,1691000.0,0.0,31577000.0
Depreciation Amortization Depletion,166143000.0,166196000.0,136534000.0,108892000.0
Depreciation And Amortization,166143000.0,166196000.0,136534000.0,108892000.0
Amortization Cash Flow,-197000.0,198000.0,-424000.0,192000.0
Amortization Of Intangibles,-197000.0,198000.0,-424000.0,192000.0
Depreciation,166340000.0,165998000.0,136958000.0,108700000.0
Operating Gains Losses,-111126000.0,-130044000.0,-117668000.0,72349000.0
Earnings Losses From Equity Investments,-764000.0,-2296000.0,-12859000.0,-16195000.0
Gain Loss On Investment Securities,-447000.0,-1412000.0,-58915000.0,1759000.0
Gain Loss On Sale Of PPE,-109915000.0,-126336000.0,-45894000.0,86785000.0
Net Income From Continuing Operations,381019000.0,554692000.0,435121000.0,8877000.0
