,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,-67578000.0,-22744000.0,-17622000.0,-56675000.0,
Repayment Of Debt,-48800000.0,-1879000.0,-15000.0,-38000.0,
Issuance Of Debt,157140000.0,0.0,0.0,51500000.0,
Issuance Of Capital Stock,43200000.0,0.0,100000000.0,0.0,
Capital Expenditure,-13083000.0,-18311000.0,-19619000.0,-16037000.0,
Interest Paid Supplemental Data,18097000.0,11914000.0,4094000.0,5987000.0,
Income Tax Paid Supplemental Data,4877000.0,361000.0,2913000.0,,2875000.0
End Cash Position,32433000.0,18961000.0,21654000.0,30861000.0,
Beginning Cash Position,18961000.0,21654000.0,30861000.0,47878000.0,
Changes In Cash,13472000.0,-2693000.0,-9207000.0,-17017000.0,
Financing Cash Flow,47825000.0,20051000.0,8415000.0,39104000.0,
Cash Flow From Continuing Financing Activities,47825000.0,20051000.0,8415000.0,39104000.0,
Net Other Financing Charges,-18401000.0,-6779000.0,-10256000.0,-2833000.0,
Proceeds From Stock Option Exercised,254000.0,470000.0,734000.0,809000.0,
Cash Dividends Paid,-268000.0,-8661000.0,-11048000.0,-10334000.0,
Common Stock Dividend Paid,-268000.0,-8661000.0,-11048000.0,-10334000.0,
Net Preferred Stock Issuance,43200000.0,0.0,100000000.0,0.0,
Preferred Stock Issuance,43200000.0,0.0,100000000.0,0.0,
Net Issuance Payments Of Debt,23040000.0,35021000.0,-71015000.0,51462000.0,
Net Short Term Debt Issuance,-85300000.0,36900000.0,-71000000.0,,
Net Long Term Debt Issuance,108340000.0,-1879000.0,-15000.0,51462000.0,
Long Term Debt Payments,-48800000.0,-1879000.0,-15000.0,-38000.0,
Long Term Debt Issuance,157140000.0,0.0,0.0,51500000.0,
Investing Cash Flow,20142000.0,-18311000.0,-19619000.0,-15483000.0,
Cash Flow From Continuing Investing Activities,20142000.0,-18311000.0,-19619000.0,-15483000.0,
Net Business Purchase And Sale,33225000.0,0.0,0.0,554000.0,
Sale Of Business,33225000.0,0.0,0.0,1304000.0,
Purchase Of Business,,0.0,0.0,-750000.0,-12959000.0
Net PPE Purchase And Sale,-13083000.0,-18311000.0,-19619000.0,-16037000.0,
Purchase Of PPE,-13083000.0,-18311000.0,-19619000.0,-16037000.0,
Operating Cash Flow,-54495000.0,-4433000.0,1997000.0,-40638000.0,
Cash Flow From Continuing Operating Activities,-54495000.0,-4433000.0,1997000.0,-40638000.0,
Change In Working Capital,-60496000.0,-22521000.0,-7078000.0,-2716000.0,
Change In Other Working Capital,2755000.0,10194000.0,-1362000.0,25444000.0,
Change In Other Current Liabilities,14000.0,-324000.0,-3690000.0,3583000.0,
Change In Other Current Assets,-717000.0,-3356000.0,-6656000.0,-4215000.0,
Change In Payables And Accrued Expense,-20762000.0,23903000.0,-5341000.0,6298000.0,
Change In Accrued Expense,459000.0,1868000.0,-11103000.0,-7854000.0,
Change In Interest Payable,-296000.0,1197000.0,-22000.0,32000.0,
Change In Payable,-21221000.0,22035000.0,5762000.0,14152000.0,
Change In Account Payable,-18930000.0,20362000.0,6833000.0,11016000.0,
Change In Tax Payable,-2291000.0,1673000.0,-1071000.0,3136000.0,
Change In Income Tax Payable,-2291000.0,1673000.0,-1071000.0,3136000.0,
Change In Prepaid Assets,4282000.0,1656000.0,-3190000.0,-265000.0,
Change In Inventory,-7763000.0,-14885000.0,-20406000.0,-2338000.0,
Change In Receivables,-38305000.0,-39709000.0,33567000.0,-31223000.0,
Changes In Account Receivables,-38305000.0,-39709000.0,33567000.0,-31223000.0,
Other Non Cash Items,3004000.0,-1322000.0,-2852000.0,-6122000.0,
Stock Based Compensation,6096000.0,13871000.0,15155000.0,9983000.0,
Provisionand Write Offof Assets,4223000.0,5132000.0,5285000.0,4346000.0,
Asset Impairment Charge,64525000.0,0.0,0.0,,
Deferred Tax,-2990000.0,-6060000.0,-5856000.0,-3263000.0,
Deferred Income Tax,-2990000.0,-6060000.0,-5856000.0,-3263000.0,
Depreciation Amortization Depletion,33313000.0,33318000.0,31710000.0,30399000.0,
Depreciation And Amortization,33313000.0,33318000.0,31710000.0,30399000.0,
Amortization Cash Flow,21154000.0,21396000.0,21396000.0,21020000.0,
Amortization Of Intangibles,21154000.0,21396000.0,21396000.0,21020000.0,
Depreciation,12159000.0,11922000.0,10314000.0,9379000.0,
Operating Gains Losses,-2185000.0,48000.0,-1315000.0,215000.0,
Gain Loss On Investment Securities,-4273000.0,,-1005000.0,,
Gain Loss On Sale Of PPE,889000.0,48000.0,-310000.0,215000.0,
Gain Loss On Sale Of Business,1199000.0,0.0,0.0,,
Net Income From Continuing Operations,-99985000.0,-26899000.0,-33052000.0,-73480000.0,
