,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,25742000.0,2394000.0,977000.0,24481000.0
Repurchase Of Capital Stock,,-482000.0,-96000.0,-20000.0
Repayment Of Debt,-40250000.0,-193645000.0,-48628000.0,-107106000.0
Issuance Of Debt,37098000.0,190172000.0,49610000.0,86958000.0
Capital Expenditure,-9100000.0,-16588000.0,-11569000.0,-3683000.0
Interest Paid Supplemental Data,1234000.0,1677000.0,1840000.0,3854000.0
Income Tax Paid Supplemental Data,5250000.0,6649000.0,5067000.0,570000.0
End Cash Position,24104000.0,4183000.0,6146000.0,4131000.0
Beginning Cash Position,4183000.0,6146000.0,4131000.0,1856000.0
Changes In Cash,19921000.0,-1963000.0,2015000.0,2275000.0
Financing Cash Flow,-5821000.0,-4357000.0,884000.0,-22206000.0
Cash Flow From Continuing Financing Activities,-5821000.0,-4357000.0,884000.0,-22206000.0
Net Other Financing Charges,-2669000.0,-884000.0,-98000.0,-2038000.0
Net Common Stock Issuance,,-482000.0,-96000.0,-20000.0
Common Stock Payments,,-482000.0,-96000.0,-20000.0
Net Issuance Payments Of Debt,-3152000.0,-3473000.0,982000.0,-20148000.0
Net Short Term Debt Issuance,-1864000.0,-2560000.0,4004000.0,-11588000.0
Short Term Debt Payments,-38962000.0,-167732000.0,-45606000.0,-68381000.0
Short Term Debt Issuance,37098000.0,165172000.0,49610000.0,56793000.0
Net Long Term Debt Issuance,-1288000.0,-913000.0,-3022000.0,-8560000.0
Long Term Debt Payments,-1288000.0,-25913000.0,-3022000.0,-38725000.0
Long Term Debt Issuance,0.0,25000000.0,0.0,30165000.0
Investing Cash Flow,-9100000.0,-16588000.0,-11415000.0,-3683000.0
Cash Flow From Continuing Investing Activities,-9100000.0,-16588000.0,-11415000.0,-3683000.0
Net PPE Purchase And Sale,-9100000.0,-16588000.0,-11415000.0,-3683000.0
Sale Of PPE,0.0,0.0,154000.0,0.0
Purchase Of PPE,-9100000.0,-16588000.0,-11569000.0,-3683000.0
Operating Cash Flow,34842000.0,18982000.0,12546000.0,28164000.0
Cash Flow From Continuing Operating Activities,34842000.0,18982000.0,12546000.0,28164000.0
Change In Working Capital,-3812000.0,-5595000.0,-5895000.0,5648000.0
Change In Other Working Capital,-980000.0,-713000.0,-436000.0,-264000.0
Change In Payables And Accrued Expense,-1365000.0,1932000.0,10827000.0,-232000.0
Change In Accrued Expense,3551000.0,-4067000.0,5481000.0,2910000.0
Change In Payable,-4916000.0,5999000.0,5346000.0,-3142000.0
Change In Account Payable,-4916000.0,5999000.0,5346000.0,-3142000.0
Change In Prepaid Assets,-5825000.0,928000.0,-565000.0,-2018000.0
Change In Inventory,1808000.0,1258000.0,-6769000.0,3322000.0
Change In Receivables,2550000.0,-9000000.0,-8952000.0,4840000.0
Changes In Account Receivables,2550000.0,-9000000.0,-8952000.0,4840000.0
Stock Based Compensation,2923000.0,2329000.0,1886000.0,1355000.0
Asset Impairment Charge,,,0.0,
Deferred Tax,2473000.0,-3469000.0,-475000.0,1097000.0
Deferred Income Tax,2473000.0,-3469000.0,-475000.0,1097000.0
Depreciation Amortization Depletion,12912000.0,11884000.0,11616000.0,11662000.0
Depreciation And Amortization,12912000.0,11884000.0,11616000.0,11662000.0
Operating Gains Losses,22000.0,1630000.0,743000.0,237000.0
Net Foreign Currency Exchange Gain Loss,-58000.0,396000.0,172000.0,237000.0
Net Income From Continuing Operations,20324000.0,12203000.0,4671000.0,8165000.0
