,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7254000000.0,5257000000.0,3295000000.0,4634000000.0
Repurchase Of Capital Stock,-1633000000.0,-3096000000.0,-297000000.0,-626000000.0
Repayment Of Debt,-2316000000.0,-1490000000.0,-7434000000.0,-4148000000.0
Issuance Of Debt,2335000000.0,360000000.0,9267000000.0,5107000000.0
Issuance Of Capital Stock,44000000.0,70000000.0,35000000.0,0.0
Capital Expenditure,-799000000.0,-1004000000.0,-910000000.0,-869000000.0
Interest Paid Supplemental Data,688000000.0,657000000.0,658000000.0,725000000.0
Income Tax Paid Supplemental Data,883000000.0,1222000000.0,678000000.0,1191000000.0
End Cash Position,17452000000.0,12330000000.0,13214000000.0,10957000000.0
Other Cash Adjustment Outside Changein Cash,-50000000.0,-16000000.0,0.0,
Beginning Cash Position,12330000000.0,13214000000.0,10957000000.0,12131000000.0
Effect Of Exchange Rate Changes,-32000000.0,-11000000.0,-11000000.0,18000000.0
Changes In Cash,5204000000.0,-857000000.0,2268000000.0,-1192000000.0
Financing Cash Flow,-1658000000.0,-4197000000.0,1362000000.0,260000000.0
Cash Flow From Continuing Financing Activities,-1658000000.0,-4197000000.0,1362000000.0,260000000.0
Net Other Financing Charges,-88000000.0,-41000000.0,-209000000.0,-73000000.0
Net Common Stock Issuance,-1589000000.0,-3026000000.0,-262000000.0,-626000000.0
Common Stock Payments,-1633000000.0,-3096000000.0,-297000000.0,-626000000.0
Common Stock Issuance,44000000.0,70000000.0,35000000.0,0.0
Net Issuance Payments Of Debt,19000000.0,-1130000000.0,1833000000.0,959000000.0
Net Long Term Debt Issuance,19000000.0,-1130000000.0,1833000000.0,959000000.0
Long Term Debt Payments,-2316000000.0,-1490000000.0,-7434000000.0,-4148000000.0
Long Term Debt Issuance,2335000000.0,360000000.0,9267000000.0,5107000000.0
Investing Cash Flow,-1191000000.0,-2921000000.0,-3299000000.0,-6955000000.0
Cash Flow From Continuing Investing Activities,-1191000000.0,-2921000000.0,-3299000000.0,-6955000000.0
Net Other Investing Changes,,,19000000.0,-22000000.0
Net Investment Purchase And Sale,-1099000000.0,-2934000000.0,-1942000000.0,-2481000000.0
Sale Of Investment,5523000000.0,3802000000.0,5458000000.0,4921000000.0
Purchase Of Investment,-6622000000.0,-6736000000.0,-7400000000.0,-7402000000.0
Net Business Purchase And Sale,707000000.0,1017000000.0,-466000000.0,-3583000000.0
Sale Of Business,707000000.0,2477000000.0,68000000.0,466000000.0
Purchase Of Business,0.0,-1460000000.0,-534000000.0,-4049000000.0
Capital Expenditure Reported,-799000000.0,-1004000000.0,-910000000.0,-869000000.0
Operating Cash Flow,8053000000.0,6261000000.0,4205000000.0,5503000000.0
Cash Flow From Continuing Operating Activities,8053000000.0,6261000000.0,4205000000.0,5503000000.0
Change In Working Capital,3374000000.0,2317000000.0,1517000000.0,2195000000.0
Change In Other Working Capital,234000000.0,156000000.0,33000000.0,-503000000.0
Change In Other Current Liabilities,2117000000.0,3239000000.0,2895000000.0,2195000000.0
Change In Other Current Assets,5000000.0,128000000.0,-99000000.0,-30000000.0
Change In Payables And Accrued Expense,3398000000.0,421000000.0,1141000000.0,585000000.0
Change In Receivables,-2380000000.0,-1627000000.0,-2453000000.0,-52000000.0
Changes In Account Receivables,-2380000000.0,-1627000000.0,-2453000000.0,-52000000.0
Other Non Cash Items,172000000.0,-33000000.0,-332000000.0,
Stock Based Compensation,216000000.0,234000000.0,203000000.0,281000000.0
Asset Impairment Charge,529000000.0,2318000000.0,229000000.0,72000000.0
Deferred Tax,-78000000.0,-631000000.0,-132000000.0,-51000000.0
Deferred Income Tax,-78000000.0,-631000000.0,-132000000.0,-51000000.0
Depreciation Amortization Depletion,1293000000.0,1430000000.0,1335000000.0,1259000000.0
Depreciation And Amortization,1293000000.0,1430000000.0,1335000000.0,1259000000.0
Operating Gains Losses,-152000000.0,-576000000.0,49000000.0,-47000000.0
Gain Loss On Sale Of PPE,0.0,221000000.0,12000000.0,
Gain Loss On Sale Of Business,-152000000.0,-772000000.0,-88000000.0,-104000000.0
Net Income From Continuing Operations,2699000000.0,1202000000.0,1336000000.0,1794000000.0
