,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.225,0.228,0.222,0.123
Total Unusual Items,,,0.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,276500000.0,630600000.0,570300000.0,301800000.0
Reconciled Depreciation,267400000.0,248500000.0,236600000.0,303900000.0
EBIT,595400000.0,953500000.0,828500000.0,453100000.0
Net Interest Income,-238600000.0,-137000000.0,-95400000.0,-108800000.0
Interest Expense,238600000.0,137000000.0,95400000.0,108800000.0
Normalized Income,276500000.0,630600000.0,570300000.0,301800000.0
Net Income From Continuing And Discontinued Operation,276500000.0,630600000.0,570300000.0,301800000.0
Total Expenses,3790000000.0,2760300000.0,3389100000.0,3476800000.0
Diluted Average Shares,115124000.0,117717000.0,131126000.0,143164000.0
Basic Average Shares,113275000.0,115733000.0,128400000.0,142096000.0
Diluted EPS,2.4,3.37,3.36,2.11
Basic EPS,2.44,3.43,3.43,2.12
Diluted NI Availto Com Stockholders,276500000.0,630600000.0,570300000.0,301800000.0
Net Income Common Stockholders,276500000.0,630600000.0,570300000.0,301800000.0
Net Income,276500000.0,630600000.0,570300000.0,301800000.0
Net Income Including Noncontrolling Interests,276500000.0,630600000.0,570300000.0,301800000.0
Net Income Continuous Operations,276500000.0,630600000.0,570300000.0,301800000.0
Tax Provision,80300000.0,185900000.0,162800000.0,42500000.0
Pretax Income,356800000.0,816500000.0,733100000.0,344300000.0
Special Income Charges,,,0.0,0.0
Net Non Operating Interest Income Expense,-238600000.0,-137000000.0,-95400000.0,-108800000.0
Interest Expense Non Operating,238600000.0,137000000.0,95400000.0,108800000.0
Other Operating Expenses,646300000.0,548800000.0,603000000.0,577600000.0
Depreciation And Amortization In Income Statement,,309600000.0,281100000.0,268100000.0
Amortization,,309600000.0,281100000.0,268100000.0
Selling General And Administration,290900000.0,287900000.0,267900000.0,252600000.0
General And Administrative Expense,290900000.0,287900000.0,267900000.0,252600000.0
Salaries And Wages,290900000.0,287900000.0,267900000.0,252600000.0
Total Revenue,4146800000.0,3576800000.0,4122200000.0,3821100000.0
Operating Revenue,4146800000.0,3576800000.0,4122200000.0,3821100000.0
Loss Adjustment Expense,2275700000.0,1459600000.0,2113700000.0,2157900000.0
Net Policyholder Benefits And Claims,2275700000.0,1459600000.0,2113700000.0,2157900000.0
