,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,98774827.0,94843391.0,89988228.0,85924419.0
Share Issued,98774827.0,94843391.0,89988228.0,85924419.0
Total Debt,84588000.0,69800000.0,75700000.0,5627000.0
Tangible Book Value,236244000.0,336169000.0,491554000.0,-22423000.0
Invested Capital,311944000.0,405969000.0,567254000.0,-16796000.0
Working Capital,275707000.0,399409000.0,604136000.0,2546000.0
Net Tangible Assets,236244000.0,336169000.0,491554000.0,-22423000.0
Capital Lease Obligations,8888000.0,0.0,,
Common Stock Equity,236244000.0,336169000.0,491554000.0,-22423000.0
Total Capitalization,311944000.0,405969000.0,567254000.0,-22423000.0
Total Equity Gross Minority Interest,236244000.0,336169000.0,491554000.0,-22423000.0
Stockholders Equity,236244000.0,336169000.0,491554000.0,-22423000.0
Gains Losses Not Affecting Retained Earnings,1493000.0,-1497000.0,688000.0,0.0
Other Equity Adjustments,1493000.0,-1497000.0,688000.0,
Retained Earnings,-752945000.0,-601860000.0,-385653000.0,-22423000.0
Additional Paid In Capital,987423000.0,939261000.0,876267000.0,0.0
Capital Stock,273000.0,265000.0,252000.0,0.0
Common Stock,273000.0,265000.0,252000.0,0.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,124002000.0,108138000.0,138081000.0,34140000.0
Total Non Current Liabilities Net Minority Interest,84617000.0,69800000.0,113443000.0,25521000.0
Other Non Current Liabilities,29000.0,,37743000.0,
Preferred Securities Outside Stock Equity,,,0.0,25521000.0
Derivative Product Liabilities,,,37700000.0,0.0
Long Term Debt And Capital Lease Obligation,84588000.0,69800000.0,75700000.0,
Long Term Capital Lease Obligation,8888000.0,0.0,,
Long Term Debt,75700000.0,69800000.0,75700000.0,
Current Liabilities,39385000.0,38338000.0,24638000.0,8619000.0
Other Current Liabilities,839000.0,690000.0,102000.0,922000.0
Current Debt And Capital Lease Obligation,,,,5627000.0
Current Debt,,,,5627000.0
Other Current Borrowings,,,,5339000.0
Line Of Credit,,,0.0,288000.0
Payables And Accrued Expenses,38546000.0,37648000.0,24536000.0,2070000.0
Current Accrued Expenses,26619000.0,22230000.0,15702000.0,1038000.0
Payables,11927000.0,15418000.0,8834000.0,1032000.0
Total Tax Payable,112000.0,1582000.0,769000.0,0.0
Income Tax Payable,112000.0,1582000.0,769000.0,0.0
Accounts Payable,11815000.0,13836000.0,8065000.0,1032000.0
Total Assets,360246000.0,444307000.0,629635000.0,11717000.0
Total Non Current Assets,45154000.0,6560000.0,861000.0,552000.0
Other Non Current Assets,2554000.0,1880000.0,699000.0,552000.0
Non Current Deferred Assets,29647000.0,3512000.0,,
Non Current Deferred Taxes Assets,29647000.0,3512000.0,,
Net PPE,12953000.0,1168000.0,162000.0,0.0
Accumulated Depreciation,-462000.0,-164000.0,-34000.0,
Gross PPE,13415000.0,1332000.0,196000.0,
Construction In Progress,0.0,890000.0,0.0,
Machinery Furniture Equipment,1501000.0,442000.0,196000.0,
Buildings And Improvements,11914000.0,,,
Properties,0.0,,,
Current Assets,315092000.0,437747000.0,628774000.0,11165000.0
Other Current Assets,1621000.0,3271000.0,993000.0,6000.0
Prepaid Assets,17774000.0,14109000.0,15885000.0,1001000.0
Receivables,39148000.0,26723000.0,16814000.0,2931000.0
Taxes Receivable,39148000.0,26723000.0,16814000.0,2931000.0
Cash Cash Equivalents And Short Term Investments,256549000.0,393644000.0,595082000.0,7227000.0
Other Short Term Investments,128519000.0,0.0,,
Cash And Cash Equivalents,128030000.0,393644000.0,595082000.0,7227000.0
