,2023-12-31,2022-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-6817.389861,0.0
Tax Rate For Calcs,0.14,0.003443,0.0
Normalized EBITDA,-165425000.0,-207566000.0,-10285000.0
Total Unusual Items,0.0,-1980000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1980000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-151085000.0,-216207000.0,-10663000.0
Reconciled Depreciation,810000.0,131000.0,0.0
EBITDA,-165425000.0,-209546000.0,-10285000.0
EBIT,-166235000.0,-209677000.0,-10285000.0
Net Interest Income,570000.0,-7033000.0,-378000.0
Interest Expense,9906000.0,7277000.0,378000.0
Interest Income,10476000.0,244000.0,
Normalized Income,-151085000.0,-214233817.389861,-10663000.0
Net Income From Continuing And Discontinued Operation,-151085000.0,-216207000.0,-10663000.0
Total Expenses,178136000.0,210283000.0,10440000.0
Total Operating Income As Reported,-171283000.0,-212263000.0,-10440000.0
Diluted Average Shares,96177578.0,93400513.0,70890985.0
Basic Average Shares,96177578.0,93400513.0,70890985.0
Diluted EPS,-1.57,-2.31,-0.150414
Basic EPS,-1.57,-2.31,-0.150414
Diluted NI Availto Com Stockholders,-151085000.0,-216207000.0,-10663000.0
Net Income Common Stockholders,-151085000.0,-216207000.0,-10663000.0
Net Income,-151085000.0,-216207000.0,-10663000.0
Net Income Including Noncontrolling Interests,-151085000.0,-216207000.0,-10663000.0
Net Income Continuous Operations,-151085000.0,-216207000.0,-10663000.0
Tax Provision,-25056000.0,-747000.0,
Pretax Income,-176141000.0,-216954000.0,-10663000.0
Other Income Expense,-5428000.0,362000.0,155000.0
Other Non Operating Income Expenses,-5428000.0,2342000.0,155000.0
Special Income Charges,0.0,-1980000.0,0.0
Restructuring And Mergern Acquisition,0.0,1980000.0,0.0
Net Non Operating Interest Income Expense,570000.0,-7033000.0,-378000.0
Interest Expense Non Operating,9906000.0,7277000.0,378000.0
Interest Income Non Operating,10476000.0,244000.0,
Operating Income,-171283000.0,-210283000.0,-10440000.0
Operating Expense,178136000.0,210283000.0,10440000.0
Research And Development,124405000.0,155083000.0,9301000.0
Selling General And Administration,53731000.0,55200000.0,1139000.0
General And Administrative Expense,53731000.0,55200000.0,1139000.0
Other Gand A,26106000.0,29279000.0,1077000.0
Salaries And Wages,27625000.0,25921000.0,62000.0
Total Revenue,6853000.0,0.0,0.0
Operating Revenue,6853000.0,0.0,0.0
