,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-21047618.0,-14086070.0,-9049487.0,-1034620.0
Issuance Of Debt,,,0.0,149054.0
Issuance Of Capital Stock,,0.0,58394036.0,1000000.0
Capital Expenditure,,-536836.0,-250000.0,
End Cash Position,14449827.0,35497445.0,49685586.0,341037.0
Beginning Cash Position,35497445.0,49685586.0,341037.0,226603.0
Changes In Cash,-21047618.0,-14188141.0,49344549.0,114434.0
Financing Cash Flow,0.0,-102071.0,58394036.0,1149054.0
Cash Flow From Continuing Financing Activities,0.0,-102071.0,58394036.0,1149054.0
Net Other Financing Charges,,-102071.0,,
Net Preferred Stock Issuance,,0.0,4982835.0,1000000.0
Preferred Stock Issuance,,0.0,4982835.0,1000000.0
Net Common Stock Issuance,,0.0,53411201.0,0.0
Common Stock Issuance,,0.0,53411201.0,0.0
Net Issuance Payments Of Debt,,,0.0,149054.0
Net Short Term Debt Issuance,,,,0.0
Short Term Debt Issuance,,,,0.0
Net Long Term Debt Issuance,,,0.0,149054.0
Long Term Debt Issuance,,,0.0,149054.0
Investing Cash Flow,0.0,-536836.0,-250000.0,0.0
Cash Flow From Continuing Investing Activities,0.0,-536836.0,-250000.0,0.0
Net Intangibles Purchase And Sale,0.0,-500000.0,-250000.0,0.0
Purchase Of Intangibles,0.0,-500000.0,-250000.0,0.0
Net PPE Purchase And Sale,0.0,-36836.0,0.0,
Purchase Of PPE,0.0,-36836.0,0.0,
Operating Cash Flow,-21047618.0,-13549234.0,-8799487.0,-1034620.0
Cash Flow From Continuing Operating Activities,-21047618.0,-13549234.0,-8799487.0,-1034620.0
Change In Working Capital,1775717.0,-277524.0,-2224844.0,1318303.0
Change In Other Current Liabilities,-55078.0,-75410.0,0.0,
Change In Other Current Assets,32750.0,-32750.0,0.0,
Change In Payables And Accrued Expense,1039216.0,566685.0,-613352.0,1313971.0
Change In Accrued Expense,-407470.0,1354578.0,252655.0,757701.0
Change In Payable,1446686.0,-787893.0,-866007.0,556270.0
Change In Account Payable,1446686.0,-787893.0,-866007.0,556270.0
Change In Prepaid Assets,758829.0,-736049.0,-1611492.0,4332.0
Other Non Cash Items,,500000.0,3124830.0,-9216633.0
Stock Based Compensation,1076865.0,976440.0,511079.0,219245.0
Depreciation Amortization Depletion,12044.0,9268.0,0.0,
Depreciation And Amortization,12044.0,9268.0,0.0,
Operating Gains Losses,51967.0,78521.0,246318.0,
Gain Loss On Investment Securities,,,371895.0,
Gain Loss On Sale Of PPE,51967.0,78521.0,0.0,
Net Income From Continuing Operations,-23964211.0,-14835939.0,-10456870.0,6644465.0
