,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,288554.0,65792.0,65792.0,65691.0,
Preferred Shares Number,7.0,7.0,7.0,7.0,
Ordinary Shares Number,15699135.0,9347805.0,8765679.0,8311428.0,
Share Issued,15987689.0,9413597.0,8831471.0,8377119.0,
Net Debt,1134000.0,,,,34397000.0
Total Debt,7164000.0,6205000.0,749000.0,11994000.0,
Tangible Book Value,4587000.0,-3914000.0,-2424000.0,-4876000.0,
Invested Capital,36015000.0,41702000.0,38694000.0,25579000.0,
Working Capital,1472000.0,-7754000.0,-4829000.0,-14238000.0,
Net Tangible Assets,8146000.0,-355000.0,1135000.0,-1317000.0,
Capital Lease Obligations,863000.0,1281000.0,749000.0,100000.0,
Common Stock Equity,29714000.0,36778000.0,38694000.0,13685000.0,
Preferred Stock Equity,3559000.0,3559000.0,3559000.0,3559000.0,
Total Capitalization,33273000.0,40337000.0,42253000.0,19396000.0,
Total Equity Gross Minority Interest,32151000.0,39073000.0,40950000.0,15882000.0,
Minority Interest,-1122000.0,-1264000.0,-1303000.0,-1362000.0,
Stockholders Equity,33273000.0,40337000.0,42253000.0,17244000.0,
Gains Losses Not Affecting Retained Earnings,-345000.0,-402000.0,-163000.0,-68000.0,
Other Equity Adjustments,-345000.0,-402000.0,-163000.0,-68000.0,
Treasury Stock,11978000.0,11608000.0,11608000.0,11603000.0,
Retained Earnings,-504153000.0,-482395000.0,-472310000.0,-474080000.0,
Additional Paid In Capital,545996000.0,530998000.0,522601000.0,499272000.0,
Capital Stock,3753000.0,3744000.0,3733000.0,3723000.0,
Common Stock,194000.0,185000.0,174000.0,164000.0,
Preferred Stock,3559000.0,3559000.0,3559000.0,3559000.0,
Total Liabilities Net Minority Interest,32227000.0,48915000.0,63686000.0,59564000.0,
Total Non Current Liabilities Net Minority Interest,978000.0,3584000.0,6694000.0,2184000.0,
Other Non Current Liabilities,59000.0,74000.0,603000.0,19000.0,
Non Current Deferred Liabilities,457000.0,2647000.0,5600000.0,0.0,
Non Current Deferred Revenue,,,,0.0,919000.0
Long Term Debt And Capital Lease Obligation,462000.0,863000.0,491000.0,2165000.0,
Long Term Capital Lease Obligation,462000.0,863000.0,491000.0,13000.0,
Long Term Debt,,,,2152000.0,
Current Liabilities,31249000.0,45331000.0,56992000.0,57380000.0,
Other Current Liabilities,180000.0,1444000.0,1081000.0,,
Current Deferred Liabilities,3550000.0,4014000.0,3628000.0,924000.0,
Current Deferred Revenue,436000.0,226000.0,196000.0,924000.0,
Current Debt And Capital Lease Obligation,6702000.0,5342000.0,258000.0,9829000.0,
Current Capital Lease Obligation,401000.0,418000.0,258000.0,87000.0,
Current Debt,6301000.0,4924000.0,,9742000.0,48691000.0
Other Current Borrowings,,,,9742000.0,48691000.0
Line Of Credit,6301000.0,4924000.0,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,1119000.0,2532000.0,3507000.0,2995000.0,
Payables And Accrued Expenses,19698000.0,31999000.0,48518000.0,43632000.0,
Current Accrued Expenses,4005000.0,3843000.0,3911000.0,3063000.0,
Interest Payable,,,0.0,10000.0,954000.0
Payables,15693000.0,28156000.0,44607000.0,40569000.0,
Other Payable,9889000.0,13114000.0,10430000.0,10557000.0,
Total Tax Payable,,,-78000.0,-99000.0,453000.0
Accounts Payable,5804000.0,15042000.0,34177000.0,30111000.0,
Total Assets,64378000.0,87988000.0,104636000.0,75446000.0,
Total Non Current Assets,31657000.0,50411000.0,52473000.0,32304000.0,
Other Non Current Assets,1341000.0,1265000.0,2347000.0,3700000.0,
Non Current Prepaid Assets,2551000.0,1421000.0,,,
Investments And Advances,362000.0,5200000.0,7028000.0,6443000.0,
Long Term Equity Investment,362000.0,5200000.0,7028000.0,6443000.0,
Investments In Other Ventures Under Equity Method,362000.0,5200000.0,7028000.0,6443000.0,
Goodwill And Other Intangible Assets,25127000.0,40692000.0,41118000.0,18561000.0,
Other Intangible Assets,18328000.0,19868000.0,20034000.0,9860000.0,
Goodwill,6799000.0,20824000.0,21084000.0,8701000.0,
Net PPE,2276000.0,1833000.0,1980000.0,3600000.0,
Accumulated Depreciation,,,,-310639000.0,-323650000.0
Gross PPE,2276000.0,1833000.0,2729000.0,3600000.0,
Leases,,,,8000.0,183000.0
Construction In Progress,,,,40000.0,1212000.0
Other Properties,2276000.0,1833000.0,2729000.0,3600000.0,
Machinery Furniture Equipment,,,,6604000.0,5462000.0
Properties,,,,0.0,0.0
Current Assets,32721000.0,37577000.0,52163000.0,43142000.0,
Other Current Assets,1432000.0,1734000.0,,,
Prepaid Assets,9345000.0,3724000.0,4967000.0,2655000.0,
Inventory,,207000.0,116000.0,166000.0,582000.0
Receivables,16777000.0,24967000.0,34018000.0,23472000.0,
Other Receivables,6439000.0,2036000.0,3175000.0,2379000.0,
Taxes Receivable,1671000.0,2085000.0,0.0,,
Accounts Receivable,8667000.0,20846000.0,30843000.0,21093000.0,
Allowance For Doubtful Accounts Receivable,-269000.0,0.0,-2921000.0,-2876000.0,
Gross Accounts Receivable,8936000.0,20846000.0,33764000.0,23969000.0,
Cash Cash Equivalents And Short Term Investments,5167000.0,7152000.0,13062000.0,16849000.0,
Cash And Cash Equivalents,5167000.0,7152000.0,13062000.0,16849000.0,
