,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,106556000.0,-11917000.0,-16723000.0,32931000.0
Repurchase Of Capital Stock,-773000.0,0.0,-50003000.0,-6940000.0
Repayment Of Debt,-23000.0,-22028000.0,-55000000.0,-16895000.0
Issuance Of Debt,0.0,22000000.0,47721000.0,25000000.0
Issuance Of Capital Stock,0.0,0.0,30356000.0,0.0
Capital Expenditure,-599000.0,-982000.0,-557000.0,-392000.0
Interest Paid Supplemental Data,75000.0,217000.0,349000.0,812000.0
Income Tax Paid Supplemental Data,9905000.0,4624000.0,2440000.0,9718000.0
End Cash Position,132867000.0,19629000.0,28690000.0,72181000.0
Beginning Cash Position,19629000.0,28690000.0,72181000.0,36740000.0
Effect Of Exchange Rate Changes,387000.0,-178000.0,35000.0,443000.0
Changes In Cash,112851000.0,-8883000.0,-43526000.0,34998000.0
Financing Cash Flow,6290000.0,3034000.0,-26803000.0,2050000.0
Cash Flow From Continuing Financing Activities,6290000.0,3034000.0,-26803000.0,2050000.0
Net Other Financing Charges,,,-54000.0,
Proceeds From Stock Option Exercised,7086000.0,3062000.0,177000.0,885000.0
Net Common Stock Issuance,-773000.0,0.0,-19647000.0,-6940000.0
Common Stock Payments,-773000.0,0.0,-50003000.0,-6940000.0
Common Stock Issuance,0.0,0.0,30356000.0,0.0
Net Issuance Payments Of Debt,-23000.0,-28000.0,-7279000.0,8105000.0
Net Short Term Debt Issuance,0.0,0.0,-25000000.0,25000000.0
Short Term Debt Payments,0.0,-22000000.0,-25000000.0,0.0
Short Term Debt Issuance,0.0,22000000.0,0.0,25000000.0
Net Long Term Debt Issuance,-23000.0,-28000.0,17721000.0,-16895000.0
Long Term Debt Payments,-23000.0,-28000.0,-30000000.0,-16895000.0
Long Term Debt Issuance,0.0,0.0,47721000.0,0.0
Investing Cash Flow,-594000.0,-982000.0,-557000.0,-375000.0
Cash Flow From Continuing Investing Activities,-594000.0,-982000.0,-557000.0,-375000.0
Net PPE Purchase And Sale,-594000.0,-982000.0,-557000.0,-375000.0
Sale Of PPE,5000.0,0.0,0.0,17000.0
Purchase Of PPE,-599000.0,-982000.0,-557000.0,-392000.0
Operating Cash Flow,107155000.0,-10935000.0,-16166000.0,33323000.0
Cash Flow From Continuing Operating Activities,107155000.0,-10935000.0,-16166000.0,33323000.0
Change In Working Capital,50318000.0,-29380000.0,-37190000.0,1450000.0
Change In Payables And Accrued Expense,24340000.0,-16776000.0,20503000.0,12708000.0
Change In Payable,24340000.0,-16776000.0,20503000.0,12708000.0
Change In Account Payable,24340000.0,-16776000.0,20503000.0,12708000.0
Change In Prepaid Assets,-622000.0,-3592000.0,2725000.0,-16426000.0
Change In Inventory,33688000.0,-9333000.0,-43501000.0,4978000.0
Change In Receivables,-7088000.0,321000.0,-16917000.0,190000.0
Changes In Account Receivables,-7088000.0,321000.0,-16917000.0,190000.0
Other Non Cash Items,1288000.0,1058000.0,,-16400000.0
Stock Based Compensation,9128000.0,7384000.0,3380000.0,1517000.0
Asset Impairment Charge,623000.0,9974000.0,76000.0,949000.0
Deferred Tax,-2382000.0,-3081000.0,-1644000.0,6282000.0
Deferred Income Tax,-2382000.0,-3081000.0,-1644000.0,6282000.0
Depreciation Amortization Depletion,660000.0,1901000.0,2069000.0,2125000.0
Depreciation And Amortization,660000.0,1901000.0,2069000.0,2125000.0
Operating Gains Losses,891000.0,-6605000.0,-1849000.0,4713000.0
Gain Loss On Investment Securities,872000.0,-6606000.0,-2093000.0,4718000.0
Gain Loss On Sale Of PPE,19000.0,1000.0,112000.0,-5000.0
Net Income From Continuing Operations,46629000.0,7814000.0,18992000.0,32687000.0
