,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-14784000.0,-21509000.0,-12771000.0,-10070000.0
Repayment Of Debt,-7000.0,-27000.0,-39000.0,-121000.0
Issuance Of Capital Stock,4000000.0,0.0,38505000.0,35783000.0
Capital Expenditure,-118000.0,-74000.0,-52000.0,-240000.0
End Cash Position,26428000.0,37219000.0,58755000.0,33060000.0
Beginning Cash Position,37219000.0,58755000.0,33060000.0,7468000.0
Changes In Cash,-10791000.0,-21536000.0,25695000.0,25592000.0
Financing Cash Flow,3993000.0,-27000.0,38466000.0,35662000.0
Cash Flow From Continuing Financing Activities,3993000.0,-27000.0,38466000.0,35662000.0
Net Common Stock Issuance,4000000.0,0.0,38505000.0,35783000.0
Common Stock Issuance,4000000.0,0.0,38505000.0,35783000.0
Net Issuance Payments Of Debt,-7000.0,-27000.0,-39000.0,-121000.0
Net Long Term Debt Issuance,-7000.0,-27000.0,-39000.0,-121000.0
Long Term Debt Payments,-7000.0,-27000.0,-39000.0,-121000.0
Investing Cash Flow,-118000.0,-74000.0,-52000.0,-240000.0
Cash Flow From Continuing Investing Activities,-118000.0,-74000.0,-52000.0,-240000.0
Net PPE Purchase And Sale,-118000.0,-74000.0,-52000.0,-240000.0
Purchase Of PPE,-118000.0,-74000.0,-52000.0,-240000.0
Operating Cash Flow,-14666000.0,-21435000.0,-12719000.0,-9830000.0
Cash Flow From Continuing Operating Activities,-14666000.0,-21435000.0,-13153000.0,-9830000.0
Change In Working Capital,2342000.0,-2712000.0,170000.0,-878000.0
Change In Other Working Capital,,,,4000.0
Change In Other Current Assets,,,192000.0,179000.0
Change In Payables And Accrued Expense,2046000.0,-321000.0,-217000.0,-919000.0
Change In Prepaid Assets,470000.0,-1675000.0,-169000.0,-226000.0
Change In Receivables,-174000.0,-716000.0,556000.0,88000.0
Changes In Account Receivables,,0.0,556000.0,88000.0
Other Non Cash Items,1563000.0,-209000.0,239000.0,-177000.0
Stock Based Compensation,801000.0,855000.0,724000.0,662000.0
Asset Impairment Charge,0.0,19092000.0,0.0,0.0
Depreciation Amortization Depletion,-1388000.0,388000.0,382000.0,157000.0
Depreciation And Amortization,-1388000.0,388000.0,382000.0,157000.0
Depreciation,-1388000.0,388000.0,382000.0,157000.0
Operating Gains Losses,,-12000.0,-49000.0,54000.0
Gain Loss On Investment Securities,,-12000.0,-49000.0,54000.0
Net Income From Continuing Operations,-17984000.0,-38837000.0,-14185000.0,-9648000.0
