,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,8473500.0,-145402379.5,-41368860.0,0.0
Tax Rate For Calcs,0.21,0.1435,0.27,0.2123
Normalized EBITDA,105213000.0,-1808355000.0,3272976000.0,439913000.0
Total Unusual Items,40350000.0,-1013257000.0,-153218000.0,0.0
Total Unusual Items Excluding Goodwill,40350000.0,-1013257000.0,-153218000.0,0.0
Net Income From Continuing Operation Net Minority Interest,94871000.0,-2624949000.0,3624120000.0,322317000.0
Reconciled Depreciation,139642000.0,154069000.0,63651000.0,30962000.0
Reconciled Cost Of Revenue,1063093000.0,1390698000.0,1738544000.0,135514000.0
EBITDA,145563000.0,-2821612000.0,3119758000.0,439913000.0
EBIT,5921000.0,-2975681000.0,3056107000.0,408951000.0
Net Interest Income,-82766000.0,-88901000.0,-29160000.0,
Interest Expense,82766000.0,88901000.0,29160000.0,
Normalized Income,62994500.0,-1757094379.5,3735969140.0,322317000.0
Net Income From Continuing And Discontinued Operation,94871000.0,-2624949000.0,3624120000.0,322317000.0
Total Expenses,3179253000.0,5154127000.0,4631043000.0,868530000.0
Total Operating Income As Reported,-161662000.0,-2710208000.0,3076570000.0,408951000.0
Diluted Average Shares,254391000.0,222338000.0,219965000.0,185986111.0
Basic Average Shares,235796000.0,222314000.0,177319000.0,185986111.0
Diluted EPS,0.37,-11.83,14.5,0.582065
Basic EPS,0.4,-11.81,17.47,0.582065
Diluted NI Availto Com Stockholders,94751000.0,-2631179000.0,3190404000.0,127471000.0
Average Dilution Earnings,-1000.0,-6230000.0,93446000.0,19215000.0
Net Income Common Stockholders,94752000.0,-2624949000.0,3096958000.0,108256000.0
Otherunder Preferred Stock Dividend,119000.0,0.0,527162000.0,214061000.0
Net Income,94871000.0,-2624949000.0,3624120000.0,322317000.0
Net Income Including Noncontrolling Interests,94871000.0,-2624949000.0,3624120000.0,322317000.0
Net Income Continuous Operations,94871000.0,-2624949000.0,3624120000.0,322317000.0
Tax Provision,-171716000.0,-439633000.0,-597173000.0,86882000.0
Pretax Income,-76845000.0,-3064582000.0,3026947000.0,409199000.0
Other Income Expense,76791000.0,-1015762000.0,-152294000.0,248000.0
Other Non Operating Income Expenses,36441000.0,-2505000.0,924000.0,248000.0
Special Income Charges,9464000.0,-762914000.0,-153160000.0,0.0
Other Special Charges,-117383000.0,,,
Impairment Of Capital Assets,-34675000.0,722211000.0,153160000.0,
Restructuring And Mergern Acquisition,142594000.0,40703000.0,0.0,0.0
Gain On Sale Of Security,30886000.0,-250343000.0,-58000.0,
Net Non Operating Interest Income Expense,-82766000.0,-88901000.0,-29160000.0,
Interest Expense Non Operating,82766000.0,88901000.0,29160000.0,
Operating Income,-70870000.0,-1959919000.0,3208401000.0,408951000.0
Operating Expense,2116160000.0,3763429000.0,2892499000.0,733016000.0
Other Operating Expenses,60387000.0,87218000.0,498477000.0,124622000.0
Research And Development,1324541000.0,2326354000.0,1291561000.0,271732000.0
Selling General And Administration,731232000.0,1349857000.0,1102461000.0,336662000.0
Selling And Marketing Expense,188550000.0,363932000.0,577134000.0,56782000.0
General And Administrative Expense,542682000.0,985925000.0,525327000.0,279880000.0
Other Gand A,542682000.0,985925000.0,525327000.0,279880000.0
Salaries And Wages,642388000.0,760818000.0,470620000.0,
Gross Profit,2045290000.0,1803510000.0,6100900000.0,1141967000.0
Cost Of Revenue,1063093000.0,1390698000.0,1738544000.0,135514000.0
Total Revenue,3108383000.0,3194208000.0,7839444000.0,1277481000.0
Operating Revenue,2926540000.0,3148815000.0,7354753000.0,1141167000.0
