,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,669840000.0,1037943000.0,647245000.0,81788000.0
Repurchase Of Capital Stock,-6282000.0,-4163000.0,-80690000.0,-8655000.0
Repayment Of Debt,-16600522000.0,-750000000.0,-765000000.0,-735000000.0
Issuance Of Debt,17350000000.0,1650000000.0,0.0,600000000.0
Issuance Of Capital Stock,1185000.0,54000.0,34000.0,0.0
Capital Expenditure,,-27086000.0,-15478000.0,-11986000.0
Interest Paid Supplemental Data,692991000.0,71209000.0,42820000.0,136018000.0
Income Tax Paid Supplemental Data,138910000.0,71804000.0,105119000.0,130228000.0
End Cash Position,2162534000.0,1294643000.0,2761621000.0,2573181000.0
Beginning Cash Position,1294643000.0,2761621000.0,2573181000.0,1362756000.0
Changes In Cash,867891000.0,-1466978000.0,188440000.0,1210425000.0
Financing Cash Flow,-303685000.0,1001085000.0,1059992000.0,2076762000.0
Cash Flow From Continuing Financing Activities,-303685000.0,1001085000.0,1059992000.0,2076762000.0
Proceeds From Stock Option Exercised,,,,0.0
Cash Dividends Paid,-270261000.0,-182273000.0,-183734000.0,-184978000.0
Common Stock Dividend Paid,-270261000.0,-182273000.0,-183734000.0,-184978000.0
Net Common Stock Issuance,-5097000.0,-4109000.0,-80656000.0,-8655000.0
Common Stock Payments,-6282000.0,-4163000.0,-80690000.0,-8655000.0
Common Stock Issuance,1185000.0,54000.0,34000.0,0.0
Net Issuance Payments Of Debt,749478000.0,900000000.0,-765000000.0,-135000000.0
Net Long Term Debt Issuance,749478000.0,900000000.0,-765000000.0,-135000000.0
Long Term Debt Payments,-16600522000.0,-750000000.0,-765000000.0,-735000000.0
Long Term Debt Issuance,17350000000.0,1650000000.0,0.0,600000000.0
Investing Cash Flow,501736000.0,-3533092000.0,-1534275000.0,-960111000.0
Cash Flow From Continuing Investing Activities,501736000.0,-3533092000.0,-1534275000.0,-960111000.0
Net Other Investing Changes,-52553000.0,-29779000.0,36851000.0,32529000.0
Net Investment Purchase And Sale,768634000.0,119288000.0,-1077674000.0,-58944000.0
Sale Of Investment,1694850000.0,396100000.0,761249000.0,828752000.0
Purchase Of Investment,-926216000.0,-276812000.0,-1838923000.0,-887696000.0
Net Business Purchase And Sale,274587000.0,0.0,10781000.0,-171440000.0
Sale Of Business,274587000.0,0.0,10781000.0,0.0
Purchase Of Business,,0.0,0.0,-171440000.0
Net Intangibles Purchase And Sale,57305000.0,0.0,0.0,0.0
Sale Of Intangibles,57305000.0,0.0,0.0,0.0
Net PPE Purchase And Sale,40688000.0,-27086000.0,-15478000.0,-11986000.0
Operating Cash Flow,669840000.0,1065029000.0,662723000.0,93774000.0
Cash Flow From Continuing Operating Activities,669840000.0,1065029000.0,662723000.0,93774000.0
Change In Working Capital,-119073000.0,399763000.0,143772000.0,-200669000.0
Change In Other Working Capital,,,,-2143000.0
Change In Other Current Liabilities,-94910000.0,230223000.0,-9376000.0,9153000.0
Change In Other Current Assets,-24163000.0,169540000.0,153148000.0,-209822000.0
Other Non Cash Items,163914000.0,177997000.0,188131000.0,121460000.0
Stock Based Compensation,18073000.0,9753000.0,10906000.0,9254000.0
Asset Impairment Charge,,0.0,0.0,1784936000.0
Deferred Tax,12895000.0,14383000.0,40805000.0,-62943000.0
Deferred Income Tax,12895000.0,14383000.0,40805000.0,-62943000.0
Depreciation Amortization Depletion,144252000.0,28305000.0,31498000.0,37474000.0
Depreciation And Amortization,144252000.0,28305000.0,31498000.0,37474000.0
Depreciation,144252000.0,28305000.0,31498000.0,37474000.0
Operating Gains Losses,-44433000.0,7459000.0,-144442000.0,-304248000.0
Gain Loss On Investment Securities,-2761000.0,8253000.0,1855000.0,-3102000.0
Gain Loss On Sale Of PPE,-31472000.0,-2747000.0,-574000.0,-2284000.0
Gain Loss On Sale Of Business,,0.0,0.0,-9650000.0
Net Income From Continuing Operations,348715000.0,336752000.0,420300000.0,-1523420000.0
