,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-44631340.0,-4391068.0,-3750201.0,-481932720.0
Tax Rate For Calcs,0.26,0.253,0.247,0.27
Total Unusual Items,-171659000.0,-17356000.0,-15183000.0,-1784936000.0
Total Unusual Items Excluding Goodwill,-171659000.0,-17356000.0,-15183000.0,-1784936000.0
Net Income From Continuing Operation Net Minority Interest,348715000.0,336752000.0,420300000.0,-1523420000.0
Reconciled Depreciation,144252000.0,28305000.0,31498000.0,37474000.0
Net Interest Income,1780068000.0,1069578000.0,918329000.0,879904000.0
Interest Expense,746156000.0,78001000.0,42396000.0,130108000.0
Interest Income,2526224000.0,1147579000.0,960725000.0,1010012000.0
Normalized Income,475742660.0,349716932.0,431732799.0,-220416720.0
Net Income From Continuing And Discontinued Operation,348715000.0,336752000.0,420300000.0,-1523420000.0
Diluted Average Shares,195871000.0,217403000.0,219581000.0,220218000.0
Basic Average Shares,195304000.0,216980000.0,219032000.0,220218000.0
Diluted EPS,1.78,1.55,1.91,-6.92
Basic EPS,1.79,1.55,1.92,-6.92
Diluted NI Availto Com Stockholders,348715000.0,336752000.0,420300000.0,-1523420000.0
Net Income Common Stockholders,348715000.0,336752000.0,420300000.0,-1523420000.0
Net Income,348715000.0,336752000.0,420300000.0,-1523420000.0
Net Income Including Noncontrolling Interests,348715000.0,336752000.0,420300000.0,-1523420000.0
Net Income Continuous Operations,348715000.0,336752000.0,420300000.0,-1523420000.0
Tax Provision,122484000.0,113826000.0,137860000.0,67000000.0
Pretax Income,471199000.0,450578000.0,558160000.0,-1456420000.0
Special Income Charges,-171659000.0,-17356000.0,-15183000.0,-1784936000.0
Impairment Of Capital Assets,,0.0,0.0,1784936000.0
Restructuring And Mergern Acquisition,171659000.0,17356000.0,15183000.0,0.0
Gain On Sale Of Security,2313000.0,-7097000.0,-1503000.0,959000.0
Depreciation Amortization Depletion Income Statement,111296000.0,4095000.0,4520000.0,4986000.0
Depreciation And Amortization In Income Statement,111296000.0,4095000.0,4520000.0,4986000.0
Amortization,111296000.0,4095000.0,4520000.0,4986000.0
Amortization Of Intangibles Income Statement,111296000.0,4095000.0,4520000.0,4986000.0
Selling General And Administration,698904000.0,461730000.0,497439000.0,500076000.0
Selling And Marketing Expense,11399000.0,6540000.0,7381000.0,8313000.0
General And Administrative Expense,687505000.0,455190000.0,490058000.0,491763000.0
Other Gand A,,,60364000.0,58483000.0
Insurance And Claims,71402000.0,13964000.0,9238000.0,12516000.0
Salaries And Wages,616103000.0,441226000.0,480820000.0,479247000.0
Total Revenue,1997098000.0,1269544000.0,1275965000.0,1294528000.0
Operating Revenue,1997098000.0,1269544000.0,1275965000.0,1294528000.0
Occupancy And Equipment,183480000.0,138451000.0,137546000.0,151650000.0
Other Non Interest Expense,147361000.0,113318000.0,105768000.0,104439000.0
