,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,6323892.0,3235823.0,2150717.0,
Ordinary Shares Number,31868549.0,33848936.0,33655402.0,34612054.0
Share Issued,38192441.0,37084759.0,35806119.0,34612054.0
Net Debt,428224000.0,527263000.0,63559000.0,82973000.0
Total Debt,674283000.0,709175000.0,258750000.0,266584000.0
Tangible Book Value,-360134000.0,-506321000.0,-65795000.0,-149873000.0
Invested Capital,862602000.0,895793000.0,452913000.0,443120000.0
Working Capital,79685000.0,-13737000.0,35977000.0,38437000.0
Net Tangible Assets,-360134000.0,-506321000.0,-65795000.0,-149873000.0
Capital Lease Obligations,7112000.0,8224000.0,8765000.0,9495000.0
Common Stock Equity,195431000.0,194842000.0,202928000.0,186031000.0
Total Capitalization,679269000.0,733293000.0,404560000.0,395625000.0
Total Equity Gross Minority Interest,195431000.0,194842000.0,202928000.0,186031000.0
Stockholders Equity,195431000.0,194842000.0,202928000.0,186031000.0
Gains Losses Not Affecting Retained Earnings,14000.0,0.0,,
Other Equity Adjustments,14000.0,,,
Treasury Stock,137381000.0,61924000.0,42861000.0,0.0
Retained Earnings,-233189000.0,-281344000.0,-256342000.0,-333147000.0
Additional Paid In Capital,565949000.0,538073000.0,502095000.0,519143000.0
Capital Stock,38000.0,37000.0,36000.0,35000.0
Common Stock,38000.0,37000.0,36000.0,35000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,947877000.0,979289000.0,489149000.0,457810000.0
Total Non Current Liabilities Net Minority Interest,489962000.0,545563000.0,209583000.0,218359000.0
Long Term Debt And Capital Lease Obligation,489962000.0,545563000.0,209583000.0,218359000.0
Long Term Capital Lease Obligation,6124000.0,7112000.0,7951000.0,8765000.0
Long Term Debt,483838000.0,538451000.0,201632000.0,209594000.0
Current Liabilities,457915000.0,433726000.0,279566000.0,239451000.0
Current Debt And Capital Lease Obligation,184321000.0,163612000.0,49167000.0,48225000.0
Current Capital Lease Obligation,988000.0,1112000.0,814000.0,730000.0
Current Debt,183333000.0,162500000.0,48353000.0,47495000.0
Other Current Borrowings,183333000.0,162500000.0,48353000.0,47495000.0
Pensionand Other Post Retirement Benefit Plans Current,1375000.0,1507000.0,851000.0,1417000.0
Payables And Accrued Expenses,272219000.0,268607000.0,229548000.0,189809000.0
Current Accrued Expenses,256378000.0,260761000.0,222167000.0,177976000.0
Interest Payable,2853000.0,1410000.0,1415000.0,1415000.0
Payables,15841000.0,7846000.0,7381000.0,11833000.0
Total Tax Payable,7149000.0,4352000.0,3192000.0,1817000.0
Income Tax Payable,2136000.0,0.0,622000.0,0.0
Accounts Payable,8692000.0,3494000.0,4189000.0,10016000.0
Total Assets,1143308000.0,1174131000.0,692077000.0,643841000.0
Total Non Current Assets,605708000.0,754142000.0,376534000.0,365953000.0
Other Non Current Assets,1872000.0,2647000.0,2634000.0,2670000.0
Non Current Deferred Assets,26259000.0,23950000.0,78042000.0,0.0
Non Current Deferred Taxes Assets,26259000.0,23950000.0,78042000.0,0.0
Goodwill And Other Intangible Assets,555565000.0,701163000.0,268723000.0,335904000.0
Other Intangible Assets,421708000.0,567468000.0,268723000.0,335904000.0
Goodwill,133857000.0,133695000.0,0.0,
Net PPE,22012000.0,26382000.0,27135000.0,27379000.0
Accumulated Depreciation,-9678000.0,-6323000.0,-4696000.0,-3056000.0
Gross PPE,31690000.0,32705000.0,31831000.0,30435000.0
Leases,1061000.0,874000.0,541000.0,541000.0
Construction In Progress,,0.0,5182000.0,3583000.0
Other Properties,27108000.0,28207000.0,23482000.0,23809000.0
Machinery Furniture Equipment,3521000.0,3624000.0,2626000.0,2502000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,537600000.0,419989000.0,315543000.0,277888000.0
Other Current Assets,93000.0,57000.0,27000.0,60000.0
Prepaid Assets,15102000.0,16624000.0,5852000.0,4778000.0
Inventory,32332000.0,46501000.0,17394000.0,15614000.0
Finished Goods,15208000.0,16229000.0,12702000.0,11004000.0
Work In Process,6740000.0,24672000.0,1007000.0,1096000.0
Raw Materials,10384000.0,5600000.0,3685000.0,3514000.0
Receivables,179525000.0,183119000.0,105844000.0,83320000.0
Accounts Receivable,179525000.0,183119000.0,105844000.0,83320000.0
Cash Cash Equivalents And Short Term Investments,310548000.0,173688000.0,186426000.0,174116000.0
Other Short Term Investments,71601000.0,0.0,,
Cash And Cash Equivalents,238947000.0,173688000.0,186426000.0,174116000.0
Cash Equivalents,,,,45069000.0
Cash Financial,,,,129047000.0
