,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-126231000.0,-14786196.549137,-8571223.021583,-36592400.0
Tax Rate For Calcs,0.21,0.012503,0.100719,0.124
Normalized EBITDA,1120200000.0,1267900000.0,1043400000.0,1041700000.0
Total Unusual Items,-601100000.0,-1182600000.0,-85100000.0,-295100000.0
Total Unusual Items Excluding Goodwill,-601100000.0,-1182600000.0,-85100000.0,-295100000.0
Net Income From Continuing Operation Net Minority Interest,-851300000.0,-1184700000.0,-350000000.0,-573400000.0
Reconciled Depreciation,561200000.0,696100000.0,786300000.0,823300000.0
Reconciled Cost Of Revenue,3406800000.0,4674600000.0,4021500000.0,5495300000.0
EBITDA,519100000.0,85300000.0,958300000.0,746600000.0
EBIT,-42100000.0,-610800000.0,172000000.0,-76700000.0
Net Interest Income,-664700000.0,-586100000.0,-559300000.0,-573400000.0
Interest Expense,675800000.0,588900000.0,561200000.0,577800000.0
Interest Income,11100000.0,2800000.0,1900000.0,4400000.0
Normalized Income,-376431000.0,-16886196.549137,-273471223.021583,-314892400.0
Net Income From Continuing And Discontinued Operation,-1450900000.0,-1286900000.0,-462600000.0,-573400000.0
Total Expenses,5301000000.0,6955200000.0,6455700000.0,8192600000.0
Total Operating Income As Reported,-112900000.0,-613100000.0,196600000.0,-51800000.0
Diluted Average Shares,210900000.0,207400000.0,203600000.0,196800000.0
Basic Average Shares,210900000.0,207400000.0,203600000.0,196800000.0
Diluted EPS,-7.17,-6.49,-2.55,-3.2
Basic EPS,-7.17,-6.49,-2.55,-3.2
Diluted NI Availto Com Stockholders,-1512700000.0,-1345900000.0,-519900000.0,-629500000.0
Net Income Common Stockholders,-1512700000.0,-1345900000.0,-519900000.0,-629500000.0
Preferred Stock Dividends,61800000.0,59000000.0,57300000.0,56100000.0
Net Income,-1450900000.0,-1286900000.0,-462600000.0,-573400000.0
Net Income Including Noncontrolling Interests,-1450900000.0,-1286900000.0,-462600000.0,-573400000.0
Net Income Discontinuous Operations,-599600000.0,-102200000.0,-112600000.0,
Net Income Continuous Operations,-851300000.0,-1184700000.0,-350000000.0,-573400000.0
Tax Provision,133400000.0,-15000000.0,-39200000.0,-81100000.0
Pretax Income,-717900000.0,-1199700000.0,-389200000.0,-654500000.0
Other Income Expense,-541400000.0,-1183100000.0,-111600000.0,-324400000.0
Other Non Operating Income Expenses,59700000.0,-500000.0,-26500000.0,-29300000.0
Special Income Charges,-601100000.0,-1182600000.0,-85100000.0,-295100000.0
Write Off,571400000.0,1119600000.0,0.0,206700000.0
Impairment Of Capital Assets,,,13700000.0,206700000.0
Restructuring And Mergern Acquisition,29700000.0,63000000.0,85100000.0,88400000.0
Net Non Operating Interest Income Expense,-664700000.0,-586100000.0,-559300000.0,-573400000.0
Interest Expense Non Operating,675800000.0,588900000.0,561200000.0,577800000.0
Interest Income Non Operating,11100000.0,2800000.0,1900000.0,4400000.0
Operating Income,488200000.0,569500000.0,281700000.0,243300000.0
Operating Expense,1660100000.0,2024500000.0,2157900000.0,2504500000.0
Depreciation Amortization Depletion Income Statement,327100000.0,440000000.0,510000000.0,630500000.0
Depreciation And Amortization In Income Statement,327100000.0,440000000.0,510000000.0,630500000.0
Amortization,327100000.0,440000000.0,510000000.0,630500000.0
Amortization Of Intangibles Income Statement,327100000.0,440000000.0,510000000.0,630500000.0
Research And Development,459700000.0,543600000.0,565000000.0,703300000.0
Selling General And Administration,873300000.0,1040900000.0,1082900000.0,1170700000.0
Gross Profit,2148300000.0,2594000000.0,2439600000.0,2747800000.0
Cost Of Revenue,3640900000.0,4930700000.0,4297800000.0,5688100000.0
Total Revenue,5789200000.0,7524700000.0,6737400000.0,8435900000.0
Operating Revenue,5789200000.0,7524700000.0,6737400000.0,8435900000.0
