,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-37100000.0,-361800000.0,-78700000.0,-101400000.0
Repayment Of Debt,-287500000.0,-43300000.0,-31700000.0,-3000000.0
Issuance Of Debt,130400000.0,209000000.0,39500000.0,11400000.0
Issuance Of Capital Stock,32300000.0,0.0,439600000.0,0.0
Capital Expenditure,-11200000.0,-70100000.0,-50100000.0,-43300000.0
Interest Paid Supplemental Data,9000000.0,2300000.0,1300000.0,200000.0
End Cash Position,166900000.0,361900000.0,618300000.0,440100000.0
Beginning Cash Position,361900000.0,618300000.0,440100000.0,491700000.0
Changes In Cash,-195000000.0,-256400000.0,178200000.0,-51600000.0
Financing Cash Flow,-157400000.0,135400000.0,399300000.0,19900000.0
Cash Flow From Continuing Financing Activities,-157400000.0,135400000.0,399300000.0,19900000.0
Net Other Financing Charges,-39600000.0,-41600000.0,-75000000.0,-4400000.0
Proceeds From Stock Option Exercised,7000000.0,11300000.0,26900000.0,15900000.0
Net Preferred Stock Issuance,,,0.0,1000000.0
Preferred Stock Issuance,,,0.0,1000000.0
Net Common Stock Issuance,32300000.0,0.0,439600000.0,0.0
Common Stock Issuance,32300000.0,0.0,439600000.0,0.0
Net Issuance Payments Of Debt,-157100000.0,165700000.0,7800000.0,8400000.0
Net Short Term Debt Issuance,67900000.0,165700000.0,7800000.0,8400000.0
Short Term Debt Payments,-62500000.0,-43300000.0,-31700000.0,-3000000.0
Short Term Debt Issuance,130400000.0,209000000.0,39500000.0,11400000.0
Net Long Term Debt Issuance,-225000000.0,0.0,0.0,
Long Term Debt Payments,-225000000.0,0.0,0.0,
Investing Cash Flow,-11700000.0,-100100000.0,-192500000.0,-13400000.0
Cash Flow From Continuing Investing Activities,-11700000.0,-100100000.0,-192500000.0,-13400000.0
Net Investment Purchase And Sale,,0.0,0.0,55500000.0
Sale Of Investment,,0.0,0.0,55500000.0
Purchase Of Investment,,,0.0,0.0
Net Business Purchase And Sale,-500000.0,-30000000.0,-142400000.0,-25600000.0
Sale Of Business,700000.0,,,
Purchase Of Business,-1200000.0,-30000000.0,-142400000.0,-25600000.0
Capital Expenditure Reported,-11200000.0,-70100000.0,-50100000.0,-43300000.0
Operating Cash Flow,-25900000.0,-291700000.0,-28600000.0,-58100000.0
Cash Flow From Continuing Operating Activities,-25900000.0,-291700000.0,-28600000.0,-58100000.0
Change In Working Capital,35000000.0,-29200000.0,8200000.0,92500000.0
Change In Other Working Capital,-1200000.0,5800000.0,2400000.0,34600000.0
Change In Other Current Assets,30500000.0,27400000.0,-51800000.0,14500000.0
Change In Payables And Accrued Expense,-8800000.0,-57200000.0,39700000.0,43100000.0
Change In Accrued Expense,-10600000.0,-36500000.0,43300000.0,20500000.0
Change In Payable,1800000.0,-20700000.0,-3600000.0,22600000.0
Change In Account Payable,-9800000.0,-4800000.0,-3300000.0,-6500000.0
Change In Receivables,14500000.0,-5200000.0,17900000.0,300000.0
Changes In Account Receivables,14500000.0,-5200000.0,17900000.0,300000.0
Other Non Cash Items,3300000.0,-1300000.0,-3600000.0,9200000.0
Stock Based Compensation,158200000.0,234500000.0,386300000.0,43200000.0
Asset Impairment Charge,4400000.0,7300000.0,8900000.0,16000000.0
Depreciation Amortization Depletion,90000000.0,86300000.0,64400000.0,51200000.0
Depreciation And Amortization,90000000.0,86300000.0,64400000.0,51200000.0
Operating Gains Losses,3300000.0,12200000.0,1300000.0,
Earnings Losses From Equity Investments,3300000.0,12200000.0,1300000.0,0.0
Net Income From Continuing Operations,-320100000.0,-601500000.0,-494100000.0,-270200000.0
