,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,126900000.0,119910000.0,167423000.0,150732000.0
Repurchase Of Capital Stock,-145428000.0,0.0,-295985000.0,-9945000.0
Capital Expenditure,-139000.0,-413000.0,-469000.0,-1238000.0
Income Tax Paid Supplemental Data,47602000.0,39747000.0,9104000.0,10856000.0
End Cash Position,135551000.0,66329000.0,77617000.0,76190000.0
Beginning Cash Position,66329000.0,77617000.0,76190000.0,31269000.0
Changes In Cash,69222000.0,-11288000.0,1427000.0,44921000.0
Financing Cash Flow,-148723000.0,-17284000.0,-302591000.0,12214000.0
Cash Flow From Continuing Financing Activities,-148723000.0,-17284000.0,-302591000.0,12214000.0
Net Other Financing Charges,-9106000.0,-21665000.0,-22835000.0,-1067000.0
Proceeds From Stock Option Exercised,5811000.0,4381000.0,16229000.0,23226000.0
Net Common Stock Issuance,-145428000.0,0.0,-295985000.0,-9945000.0
Common Stock Payments,-145428000.0,0.0,-295985000.0,-9945000.0
Investing Cash Flow,90906000.0,-114327000.0,136126000.0,-119263000.0
Cash Flow From Continuing Investing Activities,90906000.0,-114327000.0,136126000.0,-119263000.0
Net Investment Purchase And Sale,91045000.0,-113914000.0,136595000.0,-118025000.0
Sale Of Investment,419793000.0,241152000.0,449400000.0,302089000.0
Purchase Of Investment,-328748000.0,-355066000.0,-312805000.0,-420114000.0
Net PPE Purchase And Sale,-139000.0,-413000.0,-469000.0,-1238000.0
Purchase Of PPE,-139000.0,-413000.0,-469000.0,-1238000.0
Operating Cash Flow,127039000.0,120323000.0,167892000.0,151970000.0
Cash Flow From Continuing Operating Activities,127039000.0,120323000.0,167892000.0,151970000.0
Change In Working Capital,8218000.0,5539000.0,-466000.0,-5357000.0
Change In Other Working Capital,,,,-1552000.0
Change In Other Current Liabilities,-1289000.0,-2199000.0,-2025000.0,-1685000.0
Change In Other Current Assets,-1483000.0,-1975000.0,1917000.0,-1552000.0
Change In Payables And Accrued Expense,31394000.0,32503000.0,1631000.0,8317000.0
Change In Accrued Expense,24406000.0,19058000.0,5217000.0,5144000.0
Change In Payable,6988000.0,13445000.0,-3586000.0,3173000.0
Change In Account Payable,5778000.0,4757000.0,-3597000.0,3161000.0
Change In Tax Payable,1210000.0,8688000.0,11000.0,12000.0
Change In Income Tax Payable,1210000.0,8688000.0,11000.0,12000.0
Change In Prepaid Assets,-11603000.0,-6557000.0,-4006000.0,-653000.0
Change In Inventory,1265000.0,1199000.0,3444000.0,-3514000.0
Change In Receivables,-10066000.0,-17432000.0,-1427000.0,-6270000.0
Changes In Account Receivables,-10066000.0,-3432000.0,-1427000.0,-6270000.0
Other Non Cash Items,,1383000.0,10000.0,1451000.0
Stock Based Compensation,48940000.0,42442000.0,42931000.0,33539000.0
Amortization Of Securities,-9128000.0,1383000.0,5083000.0,
Deferred Tax,-29493000.0,-33905000.0,4346000.0,14089000.0
Deferred Income Tax,-29493000.0,-33905000.0,4346000.0,14089000.0
Depreciation Amortization Depletion,2362000.0,3446000.0,3476000.0,2237000.0
Depreciation And Amortization,2362000.0,3446000.0,3476000.0,2237000.0
Amortization Cash Flow,465000.0,477000.0,409000.0,
Amortization Of Intangibles,465000.0,477000.0,409000.0,
Depreciation,1897000.0,2969000.0,3067000.0,2237000.0
Net Income From Continuing Operations,106140000.0,101418000.0,112512000.0,106011000.0
