,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.14786,0.127144,0.099947,0.194458
Normalized EBITDA,109644000.0,116080000.0,127953000.0,130439000.0
Total Unusual Items,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,106140000.0,101418000.0,112512000.0,106011000.0
Reconciled Depreciation,2362000.0,3446000.0,3476000.0,2237000.0
Reconciled Cost Of Revenue,6481000.0,5385000.0,5281000.0,5582000.0
EBITDA,109644000.0,116080000.0,127953000.0,130439000.0
EBIT,107282000.0,112634000.0,124477000.0,128202000.0
Net Interest Income,17275000.0,3557000.0,529000.0,3400000.0
Interest Income,17275000.0,3557000.0,529000.0,3400000.0
Normalized Income,106140000.0,101418000.0,112512000.0,106011000.0
Net Income From Continuing And Discontinued Operation,106140000.0,101418000.0,112512000.0,106011000.0
Total Expenses,375093000.0,289224000.0,241501000.0,225672000.0
Total Operating Income As Reported,107282000.0,112634000.0,124477000.0,128202000.0
Diluted Average Shares,111742000.0,115966000.0,125963000.0,124194000.0
Basic Average Shares,103560000.0,106787000.0,115653000.0,115412000.0
Diluted EPS,0.94,0.87,0.89,0.85
Basic EPS,1.02,0.95,0.97,0.92
Diluted NI Availto Com Stockholders,105496000.0,101288000.0,112512000.0,106011000.0
Net Income Common Stockholders,105496000.0,101288000.0,112512000.0,106011000.0
Net Income,106140000.0,101418000.0,112512000.0,106011000.0
Net Income Including Noncontrolling Interests,106140000.0,101418000.0,112512000.0,106011000.0
Net Income Continuous Operations,106140000.0,101418000.0,112512000.0,106011000.0
Tax Provision,18417000.0,14773000.0,12494000.0,25591000.0
Pretax Income,124557000.0,116191000.0,125006000.0,131602000.0
Special Income Charges,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,17275000.0,3557000.0,529000.0,3400000.0
Interest Income Non Operating,17275000.0,3557000.0,529000.0,3400000.0
Operating Income,107282000.0,112634000.0,124477000.0,128202000.0
Operating Expense,368612000.0,283839000.0,236220000.0,220090000.0
Research And Development,184353000.0,130991000.0,113864000.0,114764000.0
Selling General And Administration,184259000.0,152848000.0,122356000.0,105326000.0
Gross Profit,475894000.0,396473000.0,360697000.0,348292000.0
Cost Of Revenue,6481000.0,5385000.0,5281000.0,5582000.0
Total Revenue,482375000.0,401858000.0,365978000.0,353874000.0
Operating Revenue,482375000.0,401858000.0,365978000.0,353874000.0
