,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-24803758.0,-15253712.0,-7987690.0,-11619462.0
Repurchase Of Capital Stock,-100452.0,0.0,-376863.0,-200000.0
Repayment Of Debt,-21272295.0,-40390159.0,-25658044.0,-25484183.0
Issuance Of Debt,21250883.0,26531672.0,33052684.0,38144724.0
Issuance Of Capital Stock,10000017.0,41275573.0,250000.0,0.0
Capital Expenditure,-9167759.0,-383073.0,-890516.0,-117744.0
Interest Paid Supplemental Data,406885.0,588051.0,2059305.0,955376.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0,14127.0
End Cash Position,3833195.0,20749683.0,286487.0,628395.0
Beginning Cash Position,20749683.0,286487.0,628395.0,38537.0
Effect Of Exchange Rate Changes,-214139.0,307044.0,314306.0,-251221.0
Changes In Cash,-16702349.0,20156152.0,-656214.0,841079.0
Financing Cash Flow,12694007.0,35048288.0,7267777.0,12460541.0
Cash Flow From Continuing Financing Activities,12694006.0,35048288.0,7267777.0,12460541.0
Net Other Financing Charges,-717887.0,-3194798.0,,
Proceeds From Stock Option Exercised,3533741.0,10826000.0,0.0,
Net Preferred Stock Issuance,0.0,6000000.0,0.0,
Preferred Stock Issuance,0.0,6000000.0,0.0,
Net Common Stock Issuance,9899565.0,35275573.0,-126863.0,-200000.0
Common Stock Payments,-100452.0,0.0,-376863.0,-200000.0
Common Stock Issuance,10000017.0,35275573.0,250000.0,0.0
Net Issuance Payments Of Debt,-21412.0,-13858487.0,7394640.0,12660541.0
Net Short Term Debt Issuance,660608.0,-819571.0,8407632.0,72892.0
Short Term Debt Payments,-19532735.0,-26864145.0,-24053552.0,-1145831.0
Short Term Debt Issuance,20193343.0,26044574.0,32461184.0,1218723.0
Net Long Term Debt Issuance,-682020.0,-13038916.0,-1012992.0,12587649.0
Long Term Debt Payments,-1739560.0,-13526014.0,-1604492.0,-24338352.0
Long Term Debt Issuance,1057540.0,487098.0,591500.0,36926001.0
Investing Cash Flow,-13760357.0,-21497.0,-826817.0,-117744.0
Cash Flow From Continuing Investing Activities,-13760357.0,-21497.0,-826817.0,-117744.0
Net Other Investing Changes,637995.0,351474.0,63699.0,
Net Investment Purchase And Sale,0.0,-2634.0,0.0,0.0
Sale Of Investment,,,,0.0
Purchase Of Investment,0.0,-2634.0,0.0,
Net Business Purchase And Sale,-5230593.0,0.0,,
Purchase Of Business,-5230593.0,0.0,,
Net Intangibles Purchase And Sale,-6189564.0,-308866.0,-309118.0,0.0
Purchase Of Intangibles,-6189564.0,-308866.0,-309118.0,0.0
Net PPE Purchase And Sale,-2978195.0,-61471.0,-581398.0,-117744.0
Sale Of PPE,0.0,12736.0,0.0,
Purchase Of PPE,-2978195.0,-74207.0,-581398.0,-117744.0
Operating Cash Flow,-15635999.0,-14870639.0,-7097174.0,-11501718.0
Cash Flow From Continuing Operating Activities,-15635999.0,-14870639.0,-7097174.0,-11501718.0
Change In Working Capital,-7898737.0,-8692762.0,-6300034.0,-11970742.0
Change In Other Working Capital,,,,-230505.0
Change In Other Current Liabilities,-1960571.0,806812.0,649538.0,-333446.0
Change In Other Current Assets,,0.0,23294.0,-131700.0
Change In Payables And Accrued Expense,472146.0,-285992.0,4738558.0,4447228.0
Change In Accrued Expense,-115668.0,-913280.0,292392.0,654297.0
Change In Interest Payable,-115668.0,-913280.0,292392.0,654297.0
Change In Payable,587814.0,627288.0,4446166.0,3792931.0
Change In Account Payable,716615.0,1734423.0,3824119.0,3208424.0
Change In Tax Payable,-128801.0,-1107135.0,622047.0,584507.0
Change In Income Tax Payable,-128801.0,-1107135.0,622047.0,584507.0
Change In Prepaid Assets,-1493041.0,-1270204.0,-3165598.0,-531977.0
Change In Inventory,-890903.0,-485469.0,-89582.0,393154.0
Change In Receivables,-4026368.0,-7457909.0,-8456244.0,-15814001.0
Changes In Account Receivables,-4026368.0,-3244181.0,-5792568.0,-15814001.0
Other Non Cash Items,-975747.0,1895479.0,1029260.0,236264.0
Stock Based Compensation,577931.0,24401.0,5904000.0,0.0
Unrealized Gain Loss On Investment Securities,-4584.0,-1676.0,-2541.0,34443.0
Asset Impairment Charge,11850788.0,5621938.0,1298386.0,96237.0
Deferred Tax,656978.0,780099.0,-714108.0,-178430.0
Deferred Income Tax,656978.0,780099.0,-714108.0,-178430.0
Depreciation Amortization Depletion,614377.0,188890.0,449692.0,397595.0
Depreciation And Amortization,614377.0,188890.0,449692.0,397595.0
Depreciation,614377.0,188890.0,449692.0,397595.0
Operating Gains Losses,-1914351.0,-856637.0,-800180.0,-937871.0
Gain Loss On Investment Securities,-3384.0,20257.0,-193513.0,4158.0
Net Income From Continuing Operations,-18542654.0,-13830371.0,-7961649.0,820786.0
