,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2887905.0,5555871.0,3003534.0,2440607.0
Ordinary Shares Number,42039814.0,39415829.0,41933245.0,42359390.0
Share Issued,44927719.0,44971700.0,44936779.0,44799997.0
Net Debt,1256316000.0,1321879000.0,1214552000.0,1044835000.0
Total Debt,1746348000.0,1682676000.0,1604284000.0,1394410000.0
Tangible Book Value,2034162000.0,1413555000.0,1217648000.0,1187990000.0
Invested Capital,3584839000.0,2936413000.0,2725030000.0,2447458000.0
Working Capital,-10514000.0,42254000.0,185688000.0,405983000.0
Net Tangible Assets,2034162000.0,1413555000.0,1217648000.0,1187990000.0
Capital Lease Obligations,283657000.0,238373000.0,178651000.0,230510000.0
Common Stock Equity,2122148000.0,1492110000.0,1299397000.0,1283558000.0
Total Capitalization,3362409000.0,2793929000.0,2528428000.0,2319512000.0
Total Equity Gross Minority Interest,2122148000.0,1492110000.0,1299397000.0,1283558000.0
Stockholders Equity,2122148000.0,1492110000.0,1299397000.0,1283558000.0
Gains Losses Not Affecting Retained Earnings,-9326000.0,-11445000.0,-18670000.0,-24082000.0
Other Equity Adjustments,-9326000.0,-11445000.0,-18670000.0,-24082000.0
Treasury Stock,204130000.0,344541000.0,176902000.0,136388000.0
Retained Earnings,2095835000.0,1715838000.0,1367866000.0,1324022000.0
Additional Paid In Capital,209102000.0,103465000.0,98348000.0,91341000.0
Capital Stock,30667000.0,28793000.0,28755000.0,28665000.0
Common Stock,30667000.0,28793000.0,28755000.0,28665000.0
Total Liabilities Net Minority Interest,3074688000.0,3198252000.0,2948864000.0,2569826000.0
Total Non Current Liabilities Net Minority Interest,1796211000.0,2004681000.0,1895763000.0,1756438000.0
Other Non Current Liabilities,5627000.0,8386000.0,13798000.0,216325000.0
Derivative Product Liabilities,0.0,251150000.0,268338000.0,245560000.0
Employee Benefits,0.0,0.0,7670000.0,14332000.0
Non Current Pension And Other Postretirement Benefit Plans,,,,14332000.0
Non Current Deferred Liabilities,106123000.0,72805000.0,79177000.0,97362000.0
Non Current Deferred Revenue,69754000.0,56234000.0,60395000.0,75172000.0
Non Current Deferred Taxes Liabilities,36369000.0,16571000.0,18782000.0,22190000.0
Long Term Debt And Capital Lease Obligation,1455614000.0,1460108000.0,1333765000.0,1182859000.0
Long Term Capital Lease Obligation,215353000.0,158289000.0,104734000.0,146905000.0
Long Term Debt,1240261000.0,1301819000.0,1229031000.0,1035954000.0
Long Term Provisions,228847000.0,212232000.0,193015000.0,198527000.0
Current Liabilities,1278477000.0,1193571000.0,1053101000.0,813388000.0
Other Current Liabilities,1403000.0,1175000.0,786000.0,252000.0
Current Deferred Liabilities,666918000.0,707097000.0,592050000.0,486736000.0
Current Deferred Revenue,666918000.0,707097000.0,592050000.0,486736000.0
Current Debt And Capital Lease Obligation,290734000.0,222568000.0,270519000.0,211551000.0
Current Capital Lease Obligation,68304000.0,80084000.0,73917000.0,83605000.0
Current Debt,222430000.0,142484000.0,196602000.0,127946000.0
Other Current Borrowings,222430000.0,142484000.0,196602000.0,127946000.0
Pensionand Other Post Retirement Benefit Plans Current,60528000.0,40746000.0,28206000.0,9816000.0
Payables And Accrued Expenses,258894000.0,221985000.0,161540000.0,105033000.0
Current Accrued Expenses,4231000.0,4167000.0,4290000.0,23589000.0
Payables,254663000.0,217818000.0,157250000.0,81444000.0
Other Payable,181000.0,,271000.0,590000.0
Dueto Related Parties Current,1228000.0,1004000.0,7948000.0,2970000.0
Total Tax Payable,70951000.0,50154000.0,36435000.0,14423000.0
Income Tax Payable,26741000.0,6276000.0,3835000.0,1023000.0
Accounts Payable,182303000.0,166660000.0,112596000.0,63461000.0
Total Assets,5196836000.0,4690362000.0,4248261000.0,3853384000.0
Total Non Current Assets,3928873000.0,3454537000.0,3009472000.0,2634013000.0
Other Non Current Assets,12443000.0,11512000.0,10802000.0,11338000.0
Defined Pension Benefit,5346000.0,504000.0,0.0,0.0
Non Current Prepaid Assets,14238000.0,13263000.0,10023000.0,9076000.0
Non Current Deferred Assets,30148000.0,30743000.0,28196000.0,35595000.0
Non Current Deferred Taxes Assets,30148000.0,30743000.0,28196000.0,35595000.0
Non Current Accounts Receivable,,,,1054000.0
Investments And Advances,258934000.0,202056000.0,199670000.0,119617000.0
Investmentin Financial Assets,258934000.0,202056000.0,199670000.0,119617000.0
Investment Properties,,,,21918000.0
Goodwill And Other Intangible Assets,87986000.0,78555000.0,81749000.0,95568000.0
Other Intangible Assets,67606000.0,58175000.0,61369000.0,75188000.0
Goodwill,20380000.0,20380000.0,20380000.0,20380000.0
Net PPE,3519778000.0,3117904000.0,2679032000.0,2361765000.0
Accumulated Depreciation,-1345001000.0,-1187229000.0,-1063745000.0,-968436000.0
Gross PPE,4864779000.0,4305133000.0,3742777000.0,3330201000.0
Leases,96213000.0,97861000.0,83764000.0,89377000.0
Construction In Progress,11619000.0,2385000.0,15584000.0,6165000.0
Other Properties,58636000.0,55070000.0,53562000.0,56613000.0
Machinery Furniture Equipment,35242000.0,32958000.0,33905000.0,32796000.0
Land And Improvements,6301000.0,6301000.0,6301000.0,6301000.0
Current Assets,1267963000.0,1235825000.0,1238789000.0,1219371000.0
Other Current Assets,14190000.0,6489000.0,1263000.0,1348000.0
Assets Held For Sale Current,,,0.0,135542000.0
Prepaid Assets,44701000.0,53120000.0,48086000.0,47189000.0
Inventory,116604000.0,93332000.0,74778000.0,74319000.0
Receivables,177284000.0,148137000.0,97241000.0,71092000.0
Receivables Adjustments Allowances,-3297000.0,-7690000.0,-7565000.0,
Other Receivables,20936000.0,13814000.0,11075000.0,
Accrued Interest Receivable,18037000.0,10554000.0,4791000.0,6457000.0
Accounts Receivable,141608000.0,131459000.0,88940000.0,64635000.0
Cash Cash Equivalents And Short Term Investments,915184000.0,934747000.0,1017421000.0,889881000.0
Other Short Term Investments,708809000.0,812323000.0,806340000.0,770816000.0
Cash And Cash Equivalents,206375000.0,122424000.0,211081000.0,119065000.0
Cash Equivalents,55000000.0,0.0,0.0,19500000.0
Cash Financial,151375000.0,122424000.0,211081000.0,99565000.0
