,2024-03-31,2023-03-31
Treasury Shares Number,313941.0,
Ordinary Shares Number,3816874.0,4130815.0
Share Issued,4130815.0,4130815.0
Tangible Book Value,77874000.0,38232000.0
Invested Capital,78277000.0,38666000.0
Working Capital,382881000.0,363045000.0
Net Tangible Assets,77874000.0,38232000.0
Common Stock Equity,78277000.0,38666000.0
Total Capitalization,78277000.0,38666000.0
Total Equity Gross Minority Interest,78277000.0,38666000.0
Stockholders Equity,78277000.0,38666000.0
Other Equity Interest,-3139000.0,
Gains Losses Not Affecting Retained Earnings,-5073000.0,-5107000.0
Other Equity Adjustments,-5073000.0,-5107000.0
Retained Earnings,47130000.0,43773000.0
Additional Paid In Capital,39318000.0,0.0
Capital Stock,41000.0,0.0
Common Stock,41000.0,0.0
Total Liabilities Net Minority Interest,385001000.0,399126000.0
Total Non Current Liabilities Net Minority Interest,379206000.0,394981000.0
Other Non Current Liabilities,375145000.0,390952000.0
Employee Benefits,2255000.0,2310000.0
Non Current Pension And Other Postretirement Benefit Plans,2255000.0,2310000.0
Non Current Deferred Liabilities,1806000.0,1719000.0
Current Liabilities,5795000.0,4145000.0
Payables And Accrued Expenses,5795000.0,4145000.0
Current Accrued Expenses,1893000.0,668000.0
Interest Payable,1893000.0,668000.0
Payables,3902000.0,3477000.0
Accounts Payable,3902000.0,3477000.0
Total Assets,463278000.0,437792000.0
Total Non Current Assets,74602000.0,70602000.0
Other Non Current Assets,4325000.0,4508000.0
Non Current Deferred Assets,3344000.0,3292000.0
Non Current Deferred Taxes Assets,3344000.0,3292000.0
Investments And Advances,60663000.0,58264000.0
Investmentin Financial Assets,60663000.0,58264000.0
Held To Maturity Securities,307000.0,422000.0
Available For Sale Securities,60356000.0,57842000.0
Goodwill And Other Intangible Assets,403000.0,434000.0
Other Intangible Assets,403000.0,434000.0
Net PPE,5867000.0,4104000.0
Accumulated Depreciation,-10556000.0,-9798000.0
Gross PPE,16423000.0,13902000.0
Other Properties,3401000.0,3150000.0
Machinery Furniture Equipment,1177000.0,1079000.0
Buildings And Improvements,9478000.0,8855000.0
Land And Improvements,2367000.0,818000.0
Properties,0.0,0.0
Current Assets,388676000.0,367190000.0
Receivables,377222000.0,350627000.0
Accrued Interest Receivable,2249000.0,1727000.0
Loans Receivable,374973000.0,348900000.0
Cash Cash Equivalents And Short Term Investments,11454000.0,16563000.0
Cash And Cash Equivalents,11454000.0,16563000.0
Cash Equivalents,5163000.0,8648000.0
Cash Financial,6291000.0,7915000.0
