,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,10625788.0,1498179.0,946791.0,911591.0
Share Issued,10625788.0,1498179.0,946791.0,911591.0
Net Debt,3092542.0,6686784.0,7499567.0,6418234.0
Total Debt,4634017.0,8757200.0,12488089.0,7427957.0
Tangible Book Value,3801705.0,2078085.0,5428257.0,7390704.0
Invested Capital,11971001.0,13006753.0,18376507.0,15380418.0
Working Capital,-823731.0,-6774901.0,-1419889.0,-6081718.0
Net Tangible Assets,3801705.0,2078085.0,5428257.0,7390704.0
Capital Lease Obligations,117637.0,40445.0,129463.0,52070.0
Common Stock Equity,7454621.0,4289998.0,6017881.0,8004531.0
Total Capitalization,8866512.0,4289998.0,11267881.0,8908759.0
Total Equity Gross Minority Interest,7454621.0,4289998.0,6017881.0,8004531.0
Stockholders Equity,7454621.0,4289998.0,6017881.0,8004531.0
Gains Losses Not Affecting Retained Earnings,11452054.0,11573065.0,12563829.0,12345446.0
Other Equity Adjustments,11452054.0,11573065.0,12563829.0,12345446.0
Retained Earnings,-39290314.0,-36211496.0,-32238655.0,-28839179.0
Additional Paid In Capital,35282256.0,28926931.0,25645367.0,24452684.0
Capital Stock,10625.0,1498.0,47340.0,45580.0
Common Stock,10625.0,1498.0,47340.0,45580.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9014579.0,13494145.0,16631886.0,13113460.0
Total Non Current Liabilities Net Minority Interest,2193915.0,754698.0,6118588.0,1709784.0
Non Current Deferred Liabilities,742114.0,754698.0,824407.0,805556.0
Non Current Deferred Taxes Liabilities,742114.0,754698.0,824407.0,805556.0
Long Term Debt And Capital Lease Obligation,1451801.0,0.0,5294181.0,904228.0
Long Term Capital Lease Obligation,39910.0,0.0,44181.0,0.0
Long Term Debt,1411891.0,,5250000.0,904228.0
Current Liabilities,6820664.0,12739447.0,10513298.0,11403676.0
Current Deferred Liabilities,90507.0,520295.0,210028.0,719786.0
Current Deferred Revenue,90507.0,520295.0,210028.0,719786.0
Current Debt And Capital Lease Obligation,3182216.0,8757200.0,7193908.0,6523729.0
Current Capital Lease Obligation,77727.0,40445.0,85282.0,52070.0
Current Debt,3104489.0,8716755.0,7108626.0,6471659.0
Other Current Borrowings,3104489.0,8716755.0,7108626.0,4172773.0
Line Of Credit,,,0.0,2298886.0
Current Notes Payable,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,12000.0,372578.0,327033.0,297487.0
Payables And Accrued Expenses,3535941.0,3089374.0,2782329.0,3862674.0
Current Accrued Expenses,298829.0,404807.0,298452.0,177359.0
Payables,3237112.0,2684567.0,2483877.0,3685315.0
Other Payable,1243506.0,951506.0,715506.0,2450721.0
Total Tax Payable,1027186.0,1065979.0,841622.0,
Accounts Payable,966420.0,667082.0,926749.0,1234594.0
Total Assets,16469200.0,17784143.0,22649767.0,21117991.0
Total Non Current Assets,10472267.0,11819597.0,13556358.0,15796033.0
Goodwill And Other Intangible Assets,3652916.0,2211913.0,589624.0,613827.0
Other Intangible Assets,3652916.0,2211913.0,589624.0,613827.0
Net PPE,6819351.0,9607684.0,12966734.0,15182206.0
Accumulated Depreciation,-30394655.0,-28350365.0,-28158611.0,-24499327.0
Gross PPE,37214006.0,37958049.0,41125345.0,39681533.0
Other Properties,116610.0,39046.0,127958.0,49687.0
Machinery Furniture Equipment,27862560.0,28527570.0,30738502.0,29607543.0
Buildings And Improvements,9234836.0,9391433.0,10258885.0,10024303.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5996933.0,5964546.0,9093409.0,5321958.0
Restricted Cash,,,,0.0
Prepaid Assets,112271.0,522334.0,59263.0,75906.0
Inventory,3732517.0,2947787.0,3339686.0,3705119.0
Finished Goods,1469707.0,551000.0,585722.0,960375.0
Work In Process,413597.0,557146.0,622380.0,662999.0
Raw Materials,1849213.0,1839641.0,2131584.0,2081745.0
Receivables,728307.0,464454.0,835401.0,583280.0
Other Receivables,157944.0,29139.0,29564.0,27652.0
Notes Receivable,65915.0,13784.0,91362.0,53736.0
Accounts Receivable,504448.0,421531.0,714475.0,501892.0
Allowance For Doubtful Accounts Receivable,-13786074.0,-16739527.0,-18312707.0,-18150493.0
Gross Accounts Receivable,14290522.0,17161058.0,19027182.0,18652385.0
Cash Cash Equivalents And Short Term Investments,1423838.0,2029971.0,4859059.0,957653.0
Cash And Cash Equivalents,1423838.0,2029971.0,4859059.0,957653.0
