,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-711203.0,-811509.0,-687893.0,-909567.0
Repayment Of Debt,-1490049.0,-2140921.0,-5414240.0,-2438797.0
Issuance Of Debt,1563194.0,593927.0,10011978.0,3062974.0
Capital Expenditure,-11517.0,-401964.0,-438055.0,-867307.0
Interest Paid Supplemental Data,92439.0,141797.0,218232.0,237530.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0
End Cash Position,1423838.0,2029971.0,4859059.0,957653.0
Beginning Cash Position,2029971.0,4859060.0,957653.0,1184887.0
Effect Of Exchange Rate Changes,31925.0,-247573.0,-8439.0,58156.0
Changes In Cash,-638058.0,-2581516.0,3909845.0,-285390.0
Financing Cash Flow,73145.0,-1770007.0,4597738.0,624177.0
Cash Flow From Continuing Financing Activities,73145.0,-1770007.0,4597738.0,624177.0
Net Other Financing Charges,,-223013.0,,-191639.0
Net Issuance Payments Of Debt,73145.0,-1546994.0,4597738.0,624177.0
Net Short Term Debt Issuance,30572.0,28962.0,5011978.0,206908.0
Short Term Debt Payments,,-2140921.0,-2526542.0,-72489.0
Short Term Debt Issuance,30572.0,28962.0,5011978.0,206908.0
Net Long Term Debt Issuance,73145.0,-1546994.0,-414240.0,417269.0
Long Term Debt Payments,-1490049.0,-2140921.0,-5414240.0,-2438797.0
Long Term Debt Issuance,1563194.0,593927.0,5000000.0,2856066.0
Investing Cash Flow,-11517.0,-401964.0,-438055.0,-867307.0
Cash Flow From Continuing Investing Activities,-11517.0,-401964.0,-438055.0,-867307.0
Net PPE Purchase And Sale,-11517.0,-401964.0,-438055.0,-867307.0
Purchase Of PPE,-11517.0,-401964.0,-438055.0,-867307.0
Operating Cash Flow,-699686.0,-409545.0,-249838.0,-42260.0
Cash Flow From Continuing Operating Activities,-699686.0,-409545.0,-249838.0,-42260.0
Change In Working Capital,-404149.0,878344.0,51790.0,29861.0
Change In Other Working Capital,-423261.0,339659.0,-520414.0,169736.0
Change In Other Current Liabilities,,,0.0,-111160.0
Change In Payables And Accrued Expense,569823.0,504456.0,82530.0,-229232.0
Change In Payable,569823.0,504456.0,82530.0,-229232.0
Change In Account Payable,312045.0,-187734.0,-332779.0,-214015.0
Change In Prepaid Assets,412342.0,-484681.0,23303.0,6603.0
Change In Inventory,-25032.0,689104.0,1011905.0,807592.0
Change In Receivables,-938021.0,-170194.0,-545534.0,-613678.0
Other Non Cash Items,,,250000.0,
Stock Based Compensation,0.0,78270.0,15243.0,0.0
Asset Impairment Charge,-15757.0,-93851.0,-255215.0,115186.0
Depreciation Amortization Depletion,2753653.0,2700533.0,3087820.0,2679470.0
Depreciation And Amortization,2753653.0,2700533.0,3087820.0,2679470.0
Amortization Cash Flow,223796.0,36558.0,38114.0,
Amortization Of Intangibles,223796.0,36558.0,38114.0,
Depreciation,2529858.0,2663975.0,3049706.0,
Operating Gains Losses,45385.0,,,
Gain Loss On Sale Of PPE,45385.0,0.0,,
Net Income From Continuing Operations,-3078818.0,-3972841.0,-3399476.0,-2866777.0
