,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,14121833.0,14366316.0,14742754.0,14988429.0
Share Issued,14121833.0,14366316.0,14742754.0,14988429.0
Total Debt,18428483.0,20959211.0,16059693.0,19263612.0
Tangible Book Value,6081523.0,4761454.0,17977831.0,17990194.0
Invested Capital,42387585.0,52466132.0,57814306.0,64177650.0
Working Capital,7732161.0,17290378.0,26409053.0,24302146.0
Net Tangible Assets,6081523.0,4761454.0,17977831.0,17990194.0
Capital Lease Obligations,5644339.0,4759211.0,1059693.0,2076472.0
Common Stock Equity,29603441.0,36266132.0,42814306.0,46990510.0
Total Capitalization,42387585.0,52466132.0,57814306.0,61990510.0
Total Equity Gross Minority Interest,29259869.0,35974006.0,42601978.0,46873394.0
Minority Interest,-343572.0,-292126.0,-212328.0,-117116.0
Stockholders Equity,29603441.0,36266132.0,42814306.0,46990510.0
Retained Earnings,-17488161.0,-11208841.0,-5638600.0,-2131013.0
Capital Stock,47091602.0,47474973.0,48452906.0,49121523.0
Common Stock,47091602.0,47474973.0,48452906.0,49121523.0
Total Liabilities Net Minority Interest,52516206.0,56951152.0,41857820.0,49589911.0
Total Non Current Liabilities Net Minority Interest,24533957.0,28371320.0,22578860.0,23922465.0
Other Non Current Liabilities,274000.0,131000.0,224786.0,304637.0
Non Current Accrued Expenses,3284672.0,4931513.0,3830096.0,4855363.0
Non Current Deferred Liabilities,2894894.0,2522506.0,3433962.0,2702772.0
Long Term Debt And Capital Lease Obligation,18080391.0,20786301.0,15090016.0,16059693.0
Long Term Capital Lease Obligation,5296247.0,4586301.0,90016.0,1059693.0
Long Term Debt,12784144.0,16200000.0,15000000.0,15000000.0
Current Liabilities,27982249.0,28579832.0,19278960.0,25667446.0
Other Current Liabilities,9369028.0,11515868.0,4623715.0,4987436.0
Current Deferred Liabilities,220402.0,614551.0,0.0,
Current Debt And Capital Lease Obligation,348092.0,172910.0,969677.0,3203919.0
Current Capital Lease Obligation,348092.0,172910.0,969677.0,1016779.0
Current Debt,,,,2187140.0
Other Current Borrowings,,,,2187140.0
Line Of Credit,,,0.0,2187140.0
Pensionand Other Post Retirement Benefit Plans Current,1197832.0,1440859.0,1340846.0,998064.0
Payables And Accrued Expenses,16846895.0,14835644.0,12344722.0,16478027.0
Current Accrued Expenses,2809266.0,4016633.0,2703742.0,3081741.0
Payables,14037629.0,10819011.0,9640980.0,13396286.0
Accounts Payable,14037629.0,10819011.0,9640980.0,13396286.0
Total Assets,81776075.0,92925158.0,84459798.0,96463305.0
Total Non Current Assets,46061665.0,47054948.0,38771785.0,46493713.0
Other Non Current Assets,15497450.0,10047828.0,12468475.0,14891080.0
Non Current Deferred Assets,,,,0.0
Non Current Deferred Taxes Assets,,,,0.0
Goodwill And Other Intangible Assets,23521918.0,31504678.0,24836475.0,29000316.0
Other Intangible Assets,22607918.0,30590678.0,23954475.0,28118316.0
Goodwill,914000.0,914000.0,882000.0,882000.0
Net PPE,7042297.0,5502442.0,1466835.0,2602317.0
Accumulated Depreciation,-2238073.0,-2085185.0,-3792153.0,-3557087.0
Gross PPE,9280370.0,7587627.0,5258988.0,6159404.0
Leases,7475368.0,6006152.0,2446639.0,3437892.0
Other Properties,,,,2028148.0
Machinery Furniture Equipment,1805002.0,1581475.0,2812349.0,2721512.0
Buildings And Improvements,,,1024200.0,2028148.0
Properties,0.0,0.0,0.0,0.0
Current Assets,35714410.0,45870210.0,45688013.0,49969592.0
Other Current Assets,3025248.0,3084978.0,3339969.0,2199926.0
Assets Held For Sale Current,,,,0.0
Prepaid Assets,,,3339969.0,2199926.0
Inventory,4609362.0,9863581.0,8429882.0,10638157.0
Inventories Adjustments Allowances,-12804529.0,-7527167.0,-9048567.0,-11656742.0
Other Inventories,149701.0,168922.0,164378.0,128005.0
Finished Goods,4645098.0,4322167.0,4939088.0,5943732.0
Raw Materials,12619092.0,12899659.0,12374983.0,16223162.0
Receivables,9758176.0,13163681.0,6877346.0,12377713.0
Accounts Receivable,9758176.0,13163681.0,6877346.0,12377713.0
Allowance For Doubtful Accounts Receivable,-600000.0,-600000.0,-300000.0,-1000000.0
Gross Accounts Receivable,10358176.0,13763681.0,7177346.0,13377713.0
Cash Cash Equivalents And Short Term Investments,18321624.0,19757970.0,27040816.0,24753796.0
Cash And Cash Equivalents,18321624.0,19757970.0,27040816.0,24753796.0
