,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2521442.5,0.0,0.0,32487.0
Tax Rate For Calcs,0.2435,0.2734,0.2594,0.2499
Normalized EBITDA,240031000.0,228001000.0,205721000.0,183531000.0
Total Unusual Items,-10355000.0,0.0,0.0,130000.0
Total Unusual Items Excluding Goodwill,-10355000.0,0.0,0.0,130000.0
Net Income From Continuing Operation Net Minority Interest,87212000.0,89796000.0,83466000.0,70642000.0
Reconciled Depreciation,77435000.0,80017000.0,72889000.0,67716000.0
Reconciled Cost Of Revenue,403386000.0,432143000.0,341809000.0,285981000.0
EBITDA,229676000.0,228001000.0,205721000.0,183661000.0
EBIT,152241000.0,147984000.0,132832000.0,115945000.0
Net Interest Income,-36951000.0,-24356000.0,-20135000.0,-21765000.0
Interest Expense,36951000.0,24356000.0,20135000.0,21765000.0
Normalized Income,95045557.5,89796000.0,83466000.0,70544487.0
Net Income From Continuing And Discontinued Operation,87212000.0,89796000.0,83466000.0,71498000.0
Total Expenses,509446000.0,537771000.0,438856000.0,375605000.0
Total Operating Income As Reported,150803000.0,142933000.0,131112000.0,112723000.0
Diluted Average Shares,18434857.0,17804294.0,17633029.0,16770735.0
Basic Average Shares,18370758.0,17722227.0,17558078.0,16711579.0
Diluted EPS,4.73,5.04,4.73,4.26
Basic EPS,4.75,5.07,4.75,4.28
Diluted NI Availto Com Stockholders,87212000.0,89796000.0,83466000.0,71498000.0
Net Income Common Stockholders,87212000.0,89796000.0,83466000.0,71498000.0
Net Income,87212000.0,89796000.0,83466000.0,71498000.0
Net Income Including Noncontrolling Interests,87212000.0,89796000.0,83466000.0,71498000.0
Net Income Discontinuous Operations,,0.0,-1000.0,856000.0
Net Income Continuous Operations,87212000.0,89796000.0,83466000.0,70642000.0
Tax Provision,28078000.0,33832000.0,29231000.0,23538000.0
Pretax Income,115290000.0,123628000.0,112697000.0,94180000.0
Other Income Expense,-8917000.0,5051000.0,1720000.0,3352000.0
Other Non Operating Income Expenses,1438000.0,5051000.0,1720000.0,3222000.0
Special Income Charges,-10355000.0,0.0,0.0,130000.0
Other Special Charges,,,,-130000.0
Restructuring And Mergern Acquisition,10355000.0,0.0,0.0,
Net Non Operating Interest Income Expense,-36951000.0,-24356000.0,-20135000.0,-21765000.0
Total Other Finance Cost,,24356000.0,20135000.0,21765000.0
Interest Expense Non Operating,36951000.0,24356000.0,20135000.0,21765000.0
Operating Income,161158000.0,142933000.0,131112000.0,112593000.0
Operating Expense,94126000.0,94584000.0,86819000.0,80025000.0
Other Taxes,28625000.0,25611000.0,24158000.0,21908000.0
Depreciation Amortization Depletion Income Statement,65501000.0,68973000.0,62661000.0,58117000.0
Depreciation And Amortization In Income Statement,65501000.0,68973000.0,62661000.0,58117000.0
Gross Profit,255284000.0,237517000.0,217931000.0,192618000.0
Cost Of Revenue,415320000.0,443187000.0,352037000.0,295580000.0
Total Revenue,670604000.0,680704000.0,569968000.0,488198000.0
Operating Revenue,670604000.0,680704000.0,569968000.0,488198000.0
