,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,549179.0,3111627.0,1492531.0,1344852.0
Repayment Of Debt,-43671.0,-56032.0,-58114.0,-45794.0
Issuance Of Capital Stock,,0.0,3407416.0,
Capital Expenditure,-718274.0,-439772.0,-514322.0,-322991.0
Interest Paid Supplemental Data,5096.0,7954.0,35229.0,104488.0
Income Tax Paid Supplemental Data,111456.0,456.0,456.0,
End Cash Position,8813626.0,8266753.0,5050312.0,195203.0
Beginning Cash Position,8266753.0,5050312.0,195203.0,133965.0
Changes In Cash,546873.0,3216441.0,4855109.0,61238.0
Financing Cash Flow,-2306.0,101414.0,3360531.0,-1294614.0
Cash Flow From Continuing Financing Activities,-2306.0,101414.0,3360531.0,-1294614.0
Proceeds From Stock Option Exercised,41365.0,157446.0,11229.0,768.0
Net Common Stock Issuance,,0.0,3407416.0,
Common Stock Issuance,,0.0,3407416.0,
Net Issuance Payments Of Debt,-43671.0,-56032.0,-58114.0,-1295382.0
Net Short Term Debt Issuance,,,0.0,-1249588.0
Short Term Debt Payments,,,,-1249588.0
Net Long Term Debt Issuance,-43671.0,-56032.0,-58114.0,-45794.0
Long Term Debt Payments,-43671.0,-56032.0,-58114.0,-45794.0
Investing Cash Flow,-718274.0,-436372.0,-512275.0,-311991.0
Cash Flow From Continuing Investing Activities,-718274.0,-436372.0,-512275.0,-311991.0
Net PPE Purchase And Sale,-718274.0,-436372.0,-512275.0,-311991.0
Sale Of PPE,0.0,3400.0,2047.0,11000.0
Purchase Of PPE,-718274.0,-439772.0,-514322.0,-322991.0
Operating Cash Flow,1267453.0,3551399.0,2006853.0,1667843.0
Cash Flow From Continuing Operating Activities,1267453.0,3551399.0,2006853.0,1667843.0
Change In Working Capital,-1296453.0,-27241.0,856540.0,91644.0
Change In Other Working Capital,-2469116.0,1045010.0,1694961.0,-8933.0
Change In Payables And Accrued Expense,952502.0,-528961.0,1473298.0,-538201.0
Change In Accrued Expense,254281.0,-265575.0,282338.0,-11075.0
Change In Payable,698221.0,-263386.0,1190960.0,-527126.0
Change In Account Payable,698221.0,-263386.0,1190960.0,-527126.0
Change In Prepaid Assets,-65107.0,14631.0,-154367.0,76280.0
Change In Inventory,293971.0,-964299.0,-202131.0,-609647.0
Change In Receivables,-8703.0,406378.0,-1955221.0,1172145.0
Changes In Account Receivables,-611180.0,1092046.0,-1955221.0,1172145.0
Stock Based Compensation,204797.0,250359.0,174124.0,117842.0
Deferred Tax,499710.0,754542.0,-2706978.0,30873.0
Deferred Income Tax,499710.0,754542.0,-2706978.0,30873.0
Depreciation Amortization Depletion,489103.0,445739.0,469337.0,530420.0
Depreciation And Amortization,489103.0,445739.0,469337.0,530420.0
Operating Gains Losses,,-3400.0,-2047.0,-11000.0
Gain Loss On Sale Of PPE,0.0,-3400.0,-2047.0,-11000.0
Net Income From Continuing Operations,1370296.0,2131400.0,3215877.0,908064.0
