,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,21174856.0,20131323.0,21143764.0,22737342.0
Share Issued,21174856.0,20131323.0,21143764.0,22737342.0
Net Debt,2560360000.0,2455468000.0,1915795000.0,1955955000.0
Total Debt,2566534000.0,2468958000.0,1945723000.0,1969421000.0
Tangible Book Value,274668000.0,228389000.0,170207000.0,133362000.0
Invested Capital,2841202000.0,2697347000.0,2115930000.0,2102783000.0
Net Tangible Assets,274668000.0,228389000.0,170207000.0,133362000.0
Common Stock Equity,274668000.0,228389000.0,170207000.0,133362000.0
Preferred Stock Equity,,,,72926000.0
Total Capitalization,2607177000.0,2412019000.0,2010320000.0,1983784000.0
Total Equity Gross Minority Interest,274668000.0,228389000.0,170207000.0,133362000.0
Stockholders Equity,274668000.0,228389000.0,170207000.0,133362000.0
Gains Losses Not Affecting Retained Earnings,-1867000.0,-3031000.0,-1622000.0,-8571000.0
Retained Earnings,247857000.0,202514000.0,116531000.0,69007000.0
Capital Stock,28678000.0,28906000.0,55298000.0,72926000.0
Common Stock,28678000.0,28906000.0,55298000.0,72926000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2629078000.0,2524379000.0,1989371000.0,2012533000.0
Long Term Debt And Capital Lease Obligation,2332509000.0,2183630000.0,1840113000.0,1850422000.0
Long Term Debt,2332509000.0,2183630000.0,1840113000.0,1850422000.0
Current Debt And Capital Lease Obligation,234025000.0,285328000.0,105610000.0,118999000.0
Current Debt,234025000.0,285328000.0,105610000.0,118999000.0
Line Of Credit,234025000.0,285328000.0,105610000.0,118999000.0
Payables And Accrued Expenses,62544000.0,55421000.0,43648000.0,43112000.0
Total Assets,2903746000.0,2752768000.0,2159578000.0,2145895000.0
Net PPE,1372000.0,1660000.0,1129000.0,828000.0
Accumulated Depreciation,-8957000.0,-8195000.0,-7530000.0,-6999000.0
Gross PPE,10329000.0,9855000.0,8659000.0,7827000.0
Leases,1570000.0,1570000.0,1507000.0,1507000.0
Machinery Furniture Equipment,8759000.0,8285000.0,7152000.0,6320000.0
Receivables,,649000.0,2269000.0,5017000.0
Other Receivables,,,,1523726000.0
Accounts Receivable,,649000.0,2269000.0,5017000.0
Cash And Cash Equivalents,6174000.0,13490000.0,29928000.0,13466000.0
Cash Cash Equivalents And Federal Funds Sold,125431000.0,162789000.0,176548000.0,144152000.0
