,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-23390850.0,-6722310.0,-18562500.0,-26208960.0
Tax Rate For Calcs,0.21,0.21,0.27,0.184
Normalized EBITDA,157010000.0,32501000.0,-9183000.0,25615000.0
Total Unusual Items,-111385000.0,-32011000.0,-68750000.0,-142440000.0
Total Unusual Items Excluding Goodwill,-111385000.0,-32011000.0,-68750000.0,-142440000.0
Net Income From Continuing Operation Net Minority Interest,-201985000.0,-215384000.0,-322835000.0,-267605000.0
Reconciled Depreciation,109931000.0,122476000.0,139008000.0,154229000.0
Reconciled Cost Of Revenue,2421976000.0,2279839000.0,2111302000.0,2085274000.0
EBITDA,45625000.0,490000.0,-77933000.0,-116825000.0
EBIT,-64306000.0,-121986000.0,-216941000.0,-271054000.0
Net Interest Income,-132303000.0,-79224000.0,-73039000.0,-59943000.0
Interest Expense,130077000.0,78514000.0,72511000.0,59167000.0
Normalized Income,-113990850.0,-190095310.0,-272647500.0,-151373960.0
Net Income From Continuing And Discontinued Operation,-201985000.0,-215384000.0,-322835000.0,-267605000.0
Total Expenses,2763683000.0,2604452000.0,2478699000.0,2503298000.0
Total Operating Income As Reported,46031000.0,-105002000.0,-209092000.0,-268686000.0
Diluted Average Shares,17355392.0,17190958.0,17045353.0,16913850.0
Basic Average Shares,17355392.0,17190958.0,17045353.0,16913850.0
Diluted EPS,-11.64,-12.53,-18.94,-15.82
Basic EPS,-11.64,-12.53,-18.94,-15.82
Diluted NI Availto Com Stockholders,-201985000.0,-215384000.0,-322835000.0,-267605000.0
Net Income Common Stockholders,-201985000.0,-215384000.0,-322835000.0,-267605000.0
Net Income,-201985000.0,-215384000.0,-322835000.0,-267605000.0
Minority Interests,1331000.0,2407000.0,6009000.0,1769000.0
Net Income Including Noncontrolling Interests,-203316000.0,-217791000.0,-328844000.0,-269374000.0
Net Income Continuous Operations,-203316000.0,-217791000.0,-328844000.0,-269374000.0
Tax Provision,8933000.0,17291000.0,39392000.0,-60847000.0
Pretax Income,-194383000.0,-200500000.0,-289452000.0,-330221000.0
Other Income Expense,-114276000.0,-42215000.0,-67905000.0,-142419000.0
Other Non Operating Income Expenses,-6172000.0,-1387000.0,2573000.0,-375000.0
Special Income Charges,-104085000.0,-30880000.0,-61863000.0,-141011000.0
Gain On Sale Of Ppe,0.0,33391000.0,0.0,0.0
Gain On Sale Of Business,586000.0,-2257000.0,696000.0,2834000.0
Other Special Charges,81885000.0,,,
Write Off,,43710000.0,25609000.0,86470000.0
Impairment Of Capital Assets,4768000.0,43710000.0,25609000.0,104363000.0
Restructuring And Mergern Acquisition,18018000.0,18304000.0,36950000.0,39482000.0
Earnings From Equity Interest,3281000.0,-8817000.0,-1728000.0,396000.0
Gain On Sale Of Security,-7300000.0,-1131000.0,-6887000.0,-1429000.0
Net Non Operating Interest Income Expense,-132303000.0,-79224000.0,-73039000.0,-59943000.0
Total Other Finance Cost,2226000.0,710000.0,528000.0,776000.0
Interest Expense Non Operating,130077000.0,78514000.0,72511000.0,59167000.0
Operating Income,52196000.0,-79061000.0,-148508000.0,-127859000.0
Operating Expense,238580000.0,208852000.0,235736000.0,275406000.0
Depreciation Amortization Depletion Income Statement,6804000.0,6715000.0,7347000.0,11611000.0
Depreciation And Amortization In Income Statement,6804000.0,6715000.0,7347000.0,11611000.0
Amortization,6804000.0,6715000.0,7347000.0,11611000.0
Amortization Of Intangibles Income Statement,6804000.0,6715000.0,7347000.0,11611000.0
Selling General And Administration,231776000.0,202137000.0,228389000.0,263795000.0
General And Administrative Expense,231776000.0,202137000.0,228389000.0,263795000.0
Other Gand A,215741000.0,199455000.0,227110000.0,263611000.0
Salaries And Wages,16035000.0,2682000.0,1279000.0,184000.0
Gross Profit,290776000.0,129791000.0,87228000.0,147547000.0
Cost Of Revenue,2525103000.0,2395600000.0,2242963000.0,2227892000.0
Total Revenue,2815879000.0,2525391000.0,2330191000.0,2375439000.0
Operating Revenue,2815879000.0,2525391000.0,2330191000.0,2375439000.0
