,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,19632194.0,19632194.0,19632194.0,19632194.0,
Share Issued,19632194.0,19632194.0,19632194.0,19632194.0,
Net Debt,120000000.0,120000000.0,120000000.0,120000000.0,
Total Debt,120000000.0,120000000.0,120000000.0,120000000.0,
Tangible Book Value,344209921.0,324777068.0,346747424.0,422482727.0,
Invested Capital,464209921.0,444777068.0,466747424.0,542482727.0,
Net Tangible Assets,344209921.0,324777068.0,346747424.0,422482727.0,
Common Stock Equity,344209921.0,324777068.0,346747424.0,422482727.0,
Total Capitalization,464209921.0,444777068.0,466747424.0,542482727.0,
Total Equity Gross Minority Interest,344209921.0,324777068.0,346747424.0,422482727.0,
Stockholders Equity,344209921.0,324777068.0,346747424.0,422482727.0,
Retained Earnings,-48418262.0,-67851157.0,-45880833.0,29842727.0,
Capital Stock,392628183.0,392628225.0,392628257.0,392640000.0,
Common Stock,392628183.0,392628225.0,392628257.0,392640000.0,
Total Liabilities Net Minority Interest,381218930.0,392781796.0,387318931.0,352322074.0,
Preferred Securities Outside Stock Equity,0.0,,,,
Derivative Product Liabilities,257703139.0,252445030.0,145035349.0,220610516.0,
Long Term Debt And Capital Lease Obligation,120000000.0,120000000.0,120000000.0,120000000.0,
Payables,3515791.0,20336766.0,122283582.0,11711558.0,
Other Payable,1205444.0,1264491.0,2725365.0,1588373.0,
Accounts Payable,2310347.0,19072275.0,119558217.0,10123185.0,
Total Assets,725428851.0,717558864.0,734066355.0,774804801.0,
Investments And Advances,426502625.0,425412594.0,450029432.0,548121907.0,
Investmentin Financial Assets,426502625.0,425412594.0,450029432.0,548121907.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,426502625.0,425412594.0,450029432.0,548121907.0,
Prepaid Assets,4235.0,4970.0,4219.0,4446.0,
Receivables,2652696.0,23594745.0,100727825.0,2445129.0,
Cash And Cash Equivalents,0.0,,,6825499.0,25795.0
Cash Equivalents,,,,,25795.0
Cash Financial,0.0,,,6825499.0,25795.0
Cash Cash Equivalents And Federal Funds Sold,295310818.0,267907632.0,183062687.0,224233319.0,
