,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1638000000.0,2585000000.0,2156000000.0,1131000000.0
Repurchase Of Capital Stock,,0.0,0.0,-1509000000.0
Repayment Of Debt,-2395000000.0,-1207000000.0,-359000000.0,-84000000.0
Issuance Of Debt,0.0,0.0,11306000000.0,1233000000.0
Issuance Of Capital Stock,69000000.0,32000000.0,25000000.0,52000000.0
Capital Expenditure,-2499000000.0,-1557000000.0,-1532000000.0,-1671000000.0
Interest Paid Supplemental Data,825000000.0,641000000.0,426000000.0,443000000.0
Income Tax Paid Supplemental Data,906000000.0,408000000.0,552000000.0,582000000.0
End Cash Position,464000000.0,451000000.0,82000000.0,147000000.0
Beginning Cash Position,451000000.0,82000000.0,147000000.0,133000000.0
Effect Of Exchange Rate Changes,-7000000.0,20000000.0,41000000.0,6000000.0
Changes In Cash,20000000.0,349000000.0,-106000000.0,8000000.0
Financing Cash Flow,-1955000000.0,-2297000000.0,9936000000.0,-764000000.0
Cash Flow From Continuing Financing Activities,-1955000000.0,-2297000000.0,9936000000.0,-764000000.0
Net Other Financing Charges,-17000000.0,,-75000000.0,11000000.0
Cash Dividends Paid,-707000000.0,-707000000.0,-507000000.0,-467000000.0
Common Stock Dividend Paid,-707000000.0,-707000000.0,-507000000.0,-467000000.0
Net Common Stock Issuance,69000000.0,32000000.0,25000000.0,-1457000000.0
Common Stock Payments,,0.0,0.0,-1509000000.0
Common Stock Issuance,69000000.0,32000000.0,25000000.0,52000000.0
Net Issuance Payments Of Debt,-1300000000.0,-1622000000.0,10493000000.0,1149000000.0
Net Short Term Debt Issuance,1095000000.0,-415000000.0,-454000000.0,275000000.0
Short Term Debt Payments,,-415000000.0,-454000000.0,0.0
Short Term Debt Issuance,1095000000.0,0.0,0.0,275000000.0
Net Long Term Debt Issuance,-2395000000.0,-1207000000.0,10947000000.0,874000000.0
Long Term Debt Payments,-2395000000.0,-1207000000.0,-359000000.0,-84000000.0
Long Term Debt Issuance,0.0,0.0,11306000000.0,958000000.0
Investing Cash Flow,-2162000000.0,-1496000000.0,-13730000000.0,-2030000000.0
Cash Flow From Continuing Investing Activities,-2162000000.0,-1496000000.0,-13730000000.0,-2030000000.0
Net Other Investing Changes,-25000000.0,3000000.0,5000000.0,-2000000.0
Net Investment Purchase And Sale,7000000.0,0.0,0.0,
Sale Of Investment,274000000.0,0.0,0.0,
Purchase Of Investment,-267000000.0,0.0,0.0,
Net Business Purchase And Sale,298000000.0,0.0,-12299000000.0,-379000000.0
Sale Of Business,298000000.0,0.0,0.0,19000000.0
Purchase Of Business,0.0,0.0,-12299000000.0,-398000000.0
Net PPE Purchase And Sale,-2442000000.0,-1499000000.0,-1436000000.0,-1649000000.0
Sale Of PPE,57000000.0,58000000.0,96000000.0,22000000.0
Purchase Of PPE,-2499000000.0,-1557000000.0,-1532000000.0,-1671000000.0
Operating Cash Flow,4137000000.0,4142000000.0,3688000000.0,2802000000.0
Cash Flow From Continuing Operating Activities,4137000000.0,4142000000.0,3688000000.0,2802000000.0
Taxes Refund Paid,-135000000.0,0.0,0.0,
Dividend Received Cfo,300000000.0,1157000000.0,0.0,0.0
Change In Working Capital,-308000000.0,-92000000.0,-66000000.0,-389000000.0
Change In Other Current Assets,-49000000.0,-13000000.0,24000000.0,-5000000.0
Change In Payables And Accrued Expense,57000000.0,95000000.0,-108000000.0,-308000000.0
Change In Inventory,1000000.0,-27000000.0,-14000000.0,-15000000.0
Change In Receivables,-317000000.0,-147000000.0,32000000.0,-61000000.0
Changes In Account Receivables,-317000000.0,-147000000.0,32000000.0,-61000000.0
Other Non Cash Items,60000000.0,-67000000.0,-36000000.0,11000000.0
Deferred Tax,-7885000000.0,136000000.0,242000000.0,221000000.0
Deferred Income Tax,-7885000000.0,136000000.0,242000000.0,221000000.0
Depreciation Amortization Depletion,1543000000.0,853000000.0,811000000.0,779000000.0
Depreciation And Amortization,1543000000.0,853000000.0,811000000.0,779000000.0
Operating Gains Losses,6639000000.0,-1362000000.0,-115000000.0,-264000000.0
Pension And Employee Benefit Expense,-306000000.0,-288000000.0,-249000000.0,-250000000.0
Earnings Losses From Equity Investments,6945000000.0,-1074000000.0,141000000.0,0.0
Net Foreign Currency Exchange Gain Loss,0.0,0.0,-7000000.0,-14000000.0
Net Income From Continuing Operations,3923000000.0,3517000000.0,2852000000.0,2444000000.0
