,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,4423683.0,4171296.0,4174362.0,3295089.0
Share Issued,4423683.0,4171296.0,4174362.0,3295089.0
Net Debt,2485197.0,2130703.0,,
Total Debt,20884232.0,25089635.0,26590722.0,26836391.0
Tangible Book Value,-6904722.0,32990017.0,69108027.0,45274925.0
Invested Capital,9304156.0,52123435.0,88605584.0,64014088.0
Working Capital,-8348043.0,47541164.0,83197108.0,60176795.0
Net Tangible Assets,-6904722.0,32990017.0,69108027.0,45274925.0
Capital Lease Obligations,4675354.0,5956217.0,7093165.0,8097228.0
Common Stock Equity,-6904722.0,32990017.0,69108027.0,45274925.0
Total Capitalization,-6904722.0,48974443.0,84744302.0,63303930.0
Total Equity Gross Minority Interest,-6904722.0,32990017.0,69108027.0,45274925.0
Stockholders Equity,-6904722.0,32990017.0,69108027.0,45274925.0
Gains Losses Not Affecting Retained Earnings,-1556.0,-126092.0,-62445.0,0.0
Other Equity Adjustments,-1556.0,-126092.0,-62445.0,
Retained Earnings,-436683983.0,-392080667.0,-349733764.0,-304093338.0
Additional Paid In Capital,429780375.0,425196359.0,418903820.0,349358378.0
Capital Stock,442.0,417.0,416.0,9885.0
Common Stock,442.0,417.0,416.0,9885.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,35177115.0,33321923.0,38622226.0,57020006.0
Total Non Current Liabilities Net Minority Interest,3283042.0,20681985.0,21614697.0,25122170.0
Other Non Current Liabilities,44411.0,22205.0,22205.0,
Long Term Debt And Capital Lease Obligation,3238631.0,20659780.0,21592492.0,25122170.0
Long Term Capital Lease Obligation,3238631.0,4675354.0,5956217.0,7093165.0
Long Term Debt,,15984426.0,15636275.0,18029005.0
Current Liabilities,31894073.0,12639938.0,17007529.0,31897836.0
Other Current Liabilities,39450.0,36868.0,133710.0,797000.0
Current Debt And Capital Lease Obligation,17645601.0,4429855.0,4998230.0,1714221.0
Current Capital Lease Obligation,1436723.0,1280863.0,1136948.0,1004063.0
Current Debt,16208878.0,3148992.0,3861282.0,710158.0
Other Current Borrowings,15908214.0,2795669.0,3093344.0,
Current Notes Payable,300664.0,353323.0,767938.0,710158.0
Pensionand Other Post Retirement Benefit Plans Current,2325488.0,2224951.0,2715368.0,4222594.0
Payables And Accrued Expenses,11883534.0,5948264.0,9160221.0,25164021.0
Current Accrued Expenses,8705018.0,3774301.0,7377944.0,17782838.0
Interest Payable,1342098.0,916108.0,525105.0,
Payables,3178516.0,2173963.0,1782277.0,7381183.0
Accounts Payable,3178516.0,2173963.0,1782277.0,7381183.0
Total Assets,28272393.0,66311940.0,107730253.0,102294931.0
Total Non Current Assets,4726363.0,6130838.0,7525616.0,10220300.0
Other Non Current Assets,690229.0,632771.0,523810.0,903938.0
Net PPE,4036134.0,5498067.0,7001806.0,9316362.0
Accumulated Depreciation,-3555332.0,-3093223.0,-2372242.0,-2348842.0
Gross PPE,7591466.0,8591290.0,9374048.0,11665204.0
Leases,3330855.0,3330855.0,3330855.0,4163860.0
Other Properties,3062920.0,3884252.0,4609110.0,5248525.0
Machinery Furniture Equipment,1197691.0,1376183.0,1434083.0,2252819.0
Properties,0.0,0.0,0.0,0.0
Current Assets,23546030.0,60181102.0,100204637.0,92074631.0
Other Current Assets,2447549.0,791616.0,2365010.0,3712861.0
Restricted Cash,192475.0,192475.0,192475.0,350000.0
Prepaid Assets,,,2365010.0,3712861.0
Receivables,,,0.0,2578329.0
Other Receivables,,,,2578329.0
Cash Cash Equivalents And Short Term Investments,20906006.0,59197011.0,97647152.0,85433441.0
Other Short Term Investments,7182325.0,42194296.0,72640520.0,0.0
Cash And Cash Equivalents,13723681.0,17002715.0,25006632.0,85433441.0
Cash Equivalents,9694948.0,13197559.0,18255039.0,84194830.0
Cash Financial,4028733.0,3805156.0,6751593.0,1238611.0
