,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,88448948.0,61029184.0,60263158.0,54709191.0
Share Issued,88448948.0,61029184.0,60263158.0,54709191.0
Total Debt,27108000.0,27746000.0,0.0,1578000.0
Tangible Book Value,368401000.0,300871000.0,387825000.0,-23437000.0
Invested Capital,368401000.0,300871000.0,387825000.0,-21859000.0
Working Capital,310539000.0,232120000.0,365363000.0,11917000.0
Net Tangible Assets,368401000.0,300871000.0,387825000.0,-23437000.0
Capital Lease Obligations,27108000.0,27746000.0,0.0,
Common Stock Equity,368401000.0,300871000.0,387825000.0,-23437000.0
Preferred Stock Equity,,,,41323000.0
Total Capitalization,368401000.0,300871000.0,387825000.0,-22513000.0
Total Equity Gross Minority Interest,368401000.0,300871000.0,387825000.0,-23437000.0
Stockholders Equity,368401000.0,300871000.0,387825000.0,-23437000.0
Gains Losses Not Affecting Retained Earnings,30000.0,-1518000.0,-135000.0,0.0
Retained Earnings,-299285000.0,-197215000.0,-97794000.0,-30871000.0
Additional Paid In Capital,667648000.0,499598000.0,485748000.0,7433000.0
Capital Stock,8000.0,6000.0,6000.0,1000.0
Common Stock,8000.0,6000.0,6000.0,1000.0
Preferred Stock,,0.0,0.0,41323000.0
Total Liabilities Net Minority Interest,63808000.0,72894000.0,54531000.0,59483000.0
Total Non Current Liabilities Net Minority Interest,35506000.0,44766000.0,28702000.0,47094000.0
Other Non Current Liabilities,2939000.0,1651000.0,4097000.0,2830000.0
Preferred Securities Outside Stock Equity,,,,41323000.0
Non Current Deferred Liabilities,6659000.0,16335000.0,24605000.0,2017000.0
Non Current Deferred Revenue,6102000.0,15954000.0,22032000.0,937000.0
Non Current Deferred Taxes Liabilities,557000.0,381000.0,476000.0,155000.0
Long Term Debt And Capital Lease Obligation,25908000.0,26780000.0,0.0,924000.0
Long Term Capital Lease Obligation,25908000.0,26780000.0,0.0,
Long Term Debt,,,,924000.0
Current Liabilities,28302000.0,28128000.0,25829000.0,12389000.0
Other Current Liabilities,1106000.0,1370000.0,788000.0,629000.0
Current Deferred Liabilities,2847000.0,9937000.0,8703000.0,161000.0
Current Deferred Revenue,2847000.0,9937000.0,8703000.0,161000.0
Current Debt And Capital Lease Obligation,1200000.0,966000.0,,654000.0
Current Capital Lease Obligation,1200000.0,966000.0,0.0,
Current Debt,,,,654000.0
Other Current Borrowings,,,,654000.0
Line Of Credit,,,,193000.0
Pensionand Other Post Retirement Benefit Plans Current,9517000.0,5752000.0,4225000.0,2081000.0
Payables And Accrued Expenses,13632000.0,10103000.0,12113000.0,10945000.0
Current Accrued Expenses,10512000.0,8957000.0,8123000.0,8344000.0
Payables,3120000.0,1146000.0,3990000.0,2601000.0
Total Tax Payable,,,,5000.0
Income Tax Payable,,,,5000.0
Accounts Payable,3120000.0,1146000.0,3990000.0,2601000.0
Total Assets,432209000.0,373765000.0,442356000.0,36046000.0
Total Non Current Assets,93368000.0,113517000.0,51164000.0,11740000.0
Other Non Current Assets,1586000.0,1538000.0,975000.0,612000.0
Investments And Advances,51330000.0,77071000.0,45302000.0,7626000.0
Investmentin Financial Assets,51330000.0,77071000.0,45302000.0,7626000.0
Available For Sale Securities,51330000.0,77071000.0,45302000.0,7626000.0
Net PPE,40452000.0,34908000.0,4887000.0,3502000.0
Accumulated Depreciation,-9144000.0,-5649000.0,-4077000.0,-3096000.0
Gross PPE,49596000.0,40557000.0,8964000.0,6598000.0
Leases,2235000.0,1876000.0,1701000.0,1180000.0
Construction In Progress,8204000.0,993000.0,9000.0,0.0
Other Properties,37763000.0,36818000.0,6848000.0,5038000.0
Machinery Furniture Equipment,1394000.0,870000.0,406000.0,380000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,338841000.0,260248000.0,391192000.0,24306000.0
Other Current Assets,1220000.0,1119000.0,671000.0,423000.0
Prepaid Assets,4935000.0,6802000.0,6565000.0,2770000.0
Receivables,3859000.0,4664000.0,8124000.0,5160000.0
Other Receivables,3009000.0,3892000.0,6745000.0,5010000.0
Accrued Interest Receivable,702000.0,570000.0,226000.0,
Accounts Receivable,148000.0,202000.0,1153000.0,150000.0
Cash Cash Equivalents And Short Term Investments,328827000.0,247663000.0,375832000.0,15953000.0
Other Short Term Investments,277665000.0,189325000.0,135412000.0,0.0
Cash And Cash Equivalents,51162000.0,58338000.0,240420000.0,15953000.0
Cash Equivalents,51162000.0,58338000.0,,
