,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-27295054.0,-23552566.0,-9170003.0
Repayment Of Debt,-53934.0,-51916.0,-50472.0
Issuance Of Capital Stock,0.0,84083757.0,17250000.0
Capital Expenditure,-74709.0,-12916.0,-40602.0
End Cash Position,59469868.0,83899070.0,14025187.0
Beginning Cash Position,83899070.0,14025187.0,6956203.0
Effect Of Exchange Rate Changes,2919786.0,-11129.0,-56029.0
Changes In Cash,-27348988.0,69885012.0,7125013.0
Financing Cash Flow,-53934.0,93437578.0,16295016.0
Cash Flow From Continuing Financing Activities,-53934.0,93437578.0,16295016.0
Net Other Financing Charges,,-5240756.0,-1088190.0
Proceeds From Stock Option Exercised,0.0,14646493.0,183678.0
Net Common Stock Issuance,0.0,84083757.0,17250000.0
Common Stock Issuance,0.0,84083757.0,17250000.0
Net Issuance Payments Of Debt,-53934.0,-51916.0,-50472.0
Net Long Term Debt Issuance,-53934.0,-51916.0,-50472.0
Long Term Debt Payments,-53934.0,-51916.0,-50472.0
Investing Cash Flow,-74709.0,-12916.0,-40602.0
Cash Flow From Continuing Investing Activities,-74709.0,-12916.0,-40602.0
Net PPE Purchase And Sale,-74709.0,-12916.0,-40602.0
Purchase Of PPE,-74709.0,-12916.0,-40602.0
Operating Cash Flow,-27220345.0,-23539650.0,-9129401.0
Cash Flow From Continuing Operating Activities,-27220345.0,-23539650.0,-9129401.0
Change In Working Capital,5748015.0,76521.0,8315917.0
Change In Payables And Accrued Expense,4474806.0,2393090.0,1826186.0
Change In Prepaid Assets,1346279.0,-2147333.0,4681006.0
Change In Inventory,0.0,17968.0,1100780.0
Change In Receivables,-73070.0,-187204.0,707945.0
Changes In Account Receivables,-144184.0,-59946.0,5873.0
Other Non Cash Items,534426.0,4125576.0,144990.0
Stock Based Compensation,5013185.0,8497830.0,2765059.0
Depreciation Amortization Depletion,219908.0,220421.0,229539.0
Depreciation And Amortization,219908.0,220421.0,229539.0
Amortization Cash Flow,84444.0,84444.0,84444.0
Amortization Of Intangibles,84444.0,84444.0,84444.0
Depreciation,135464.0,135977.0,145095.0
Operating Gains Losses,-7805232.0,-4821754.0,56029.0
Gain Loss On Investment Securities,-4885446.0,-4832883.0,
Net Foreign Currency Exchange Gain Loss,-2919786.0,11129.0,56029.0
Net Income From Continuing Operations,-30930647.0,-31638244.0,-20640935.0
