,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1140000.0,-4997000.0,-688000.0,-4187000.0
Repayment Of Debt,-5317000.0,-1044000.0,-104000.0,-24000.0
Issuance Of Debt,0.0,11868000.0,0.0,1552000.0
Issuance Of Capital Stock,5454000.0,1814000.0,1849000.0,1831000.0
Capital Expenditure,-4027000.0,-4289000.0,-1159000.0,-657000.0
Interest Paid Supplemental Data,1685000.0,1350000.0,106000.0,
Income Tax Paid Supplemental Data,78000.0,43000.0,32000.0,
End Cash Position,2910000.0,1633000.0,2883000.0,1826000.0
Beginning Cash Position,1633000.0,2883000.0,1826000.0,2534000.0
Changes In Cash,1277000.0,-1250000.0,1057000.0,-708000.0
Financing Cash Flow,137000.0,20933000.0,1745000.0,3479000.0
Cash Flow From Continuing Financing Activities,137000.0,20933000.0,1745000.0,3479000.0
Proceeds From Stock Option Exercised,0.0,8295000.0,0.0,120000.0
Net Common Stock Issuance,5454000.0,1814000.0,1849000.0,1831000.0
Common Stock Issuance,5454000.0,1814000.0,1849000.0,1831000.0
Net Issuance Payments Of Debt,-5317000.0,10824000.0,-104000.0,1528000.0
Net Short Term Debt Issuance,-2000000.0,2000000.0,0.0,0.0
Short Term Debt Payments,-2000000.0,0.0,-100000.0,0.0
Short Term Debt Issuance,0.0,2000000.0,0.0,
Net Long Term Debt Issuance,-3317000.0,8824000.0,-104000.0,1528000.0
Long Term Debt Payments,-3317000.0,-1044000.0,-104000.0,-24000.0
Long Term Debt Issuance,0.0,9868000.0,0.0,1552000.0
Investing Cash Flow,-4027000.0,-21475000.0,-1159000.0,-657000.0
Cash Flow From Continuing Investing Activities,-4027000.0,-21475000.0,-1159000.0,-657000.0
Net Business Purchase And Sale,0.0,-17186000.0,0.0,
Purchase Of Business,0.0,-17186000.0,0.0,
Net PPE Purchase And Sale,-306000.0,-149000.0,-19000.0,-92000.0
Purchase Of PPE,-306000.0,-149000.0,-19000.0,-92000.0
Capital Expenditure Reported,-3721000.0,-4140000.0,-1140000.0,-565000.0
Operating Cash Flow,5167000.0,-708000.0,471000.0,-3530000.0
Cash Flow From Continuing Operating Activities,5167000.0,-708000.0,471000.0,-3530000.0
Change In Working Capital,1261000.0,-2017000.0,1082000.0,-716000.0
Change In Other Working Capital,528000.0,-399000.0,960000.0,7000.0
Change In Other Current Liabilities,,,-240000.0,-137000.0
Change In Other Current Assets,,,277000.0,279000.0
Change In Payables And Accrued Expense,4439000.0,2026000.0,1075000.0,-499000.0
Change In Accrued Expense,-47000.0,1112000.0,206000.0,-502000.0
Change In Payable,4486000.0,914000.0,869000.0,3000.0
Change In Account Payable,4486000.0,914000.0,869000.0,3000.0
Change In Prepaid Assets,952000.0,480000.0,-342000.0,-187000.0
Change In Inventory,-300000.0,-197000.0,62000.0,-1972000.0
Change In Receivables,-4358000.0,-3927000.0,-673000.0,1793000.0
Changes In Account Receivables,-4358000.0,-3927000.0,,
Other Non Cash Items,2862000.0,431000.0,-774000.0,647000.0
Stock Based Compensation,563000.0,2116000.0,2023000.0,719000.0
Provisionand Write Offof Assets,,1673000.0,419000.0,613000.0
Asset Impairment Charge,153000.0,398000.0,0.0,10646000.0
Deferred Tax,44000.0,0.0,0.0,-175000.0
Deferred Income Tax,44000.0,0.0,0.0,-175000.0
Depreciation Amortization Depletion,3221000.0,2833000.0,1364000.0,1474000.0
Depreciation And Amortization,3221000.0,2833000.0,1364000.0,1474000.0
Operating Gains Losses,,-6345000.0,-3875000.0,106000.0
Pension And Employee Benefit Expense,,0.0,-785000.0,
Gain Loss On Investment Securities,,-7557000.0,,
Net Income From Continuing Operations,-2937000.0,1876000.0,232000.0,-16844000.0
