,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-297990.0,266236.0,253824.6,-105052.8
Tax Rate For Calcs,0.21,0.0404,0.0866,0.0093
Normalized EBITDA,4778000.0,941000.0,-508000.0,-3209000.0
Total Unusual Items,-1419000.0,6590000.0,2931000.0,-11296000.0
Total Unusual Items Excluding Goodwill,-1419000.0,6590000.0,2931000.0,-11296000.0
Net Income From Continuing Operation Net Minority Interest,-2937000.0,1876000.0,232000.0,-16844000.0
Reconciled Depreciation,3221000.0,2833000.0,1364000.0,1474000.0
Reconciled Cost Of Revenue,22983000.0,25611000.0,10080000.0,9336000.0
EBITDA,3359000.0,7531000.0,2423000.0,-14505000.0
EBIT,138000.0,4698000.0,1059000.0,-15979000.0
Net Interest Income,-2992000.0,-2743000.0,-805000.0,-1023000.0
Interest Expense,2992000.0,2743000.0,805000.0,1023000.0
Normalized Income,-1815990.0,-4447764.0,-2445175.4,-5653052.8
Net Income From Continuing And Discontinued Operation,-2937000.0,1876000.0,232000.0,-16844000.0
Total Expenses,43820000.0,45238000.0,20468000.0,22034000.0
Total Operating Income As Reported,1346000.0,-2480000.0,-2549000.0,-16082000.0
Diluted Average Shares,8479000.0,2221333.0,1306666.0,3398333.0
Basic Average Shares,8479000.0,2221333.0,1306666.0,3398333.0
Diluted EPS,-0.35,0.84,0.18,-4.95
Basic EPS,-0.35,0.84,0.18,-4.95
Diluted NI Availto Com Stockholders,-2937000.0,1876000.0,232000.0,-16844000.0
Net Income Common Stockholders,-2937000.0,1876000.0,232000.0,-16844000.0
Net Income,-2937000.0,1876000.0,232000.0,-16844000.0
Net Income Including Noncontrolling Interests,-2937000.0,1876000.0,232000.0,-16844000.0
Net Income Continuous Operations,-2937000.0,1876000.0,232000.0,-16844000.0
Tax Provision,83000.0,79000.0,22000.0,-158000.0
Pretax Income,-2854000.0,1955000.0,254000.0,-17002000.0
Other Income Expense,-1208000.0,6586000.0,3090000.0,-11402000.0
Other Non Operating Income Expenses,211000.0,-4000.0,159000.0,-106000.0
Special Income Charges,-1419000.0,-967000.0,2931000.0,-11296000.0
Gain On Sale Of Ppe,,,0.0,-13000.0
Other Special Charges,,1449000.0,-3449000.0,-191000.0
Write Off,,,-277000.0,828000.0
Impairment Of Capital Assets,,,0.0,10646000.0
Restructuring And Mergern Acquisition,1419000.0,-482000.0,518000.0,0.0
Gain On Sale Of Security,,7557000.0,,
Net Non Operating Interest Income Expense,-2992000.0,-2743000.0,-805000.0,-1023000.0
Interest Expense Non Operating,2992000.0,2743000.0,805000.0,1023000.0
Operating Income,1346000.0,-1888000.0,-2031000.0,-4577000.0
Operating Expense,20837000.0,19627000.0,10388000.0,12698000.0
Other Operating Expenses,,592000.0,518000.0,
Depreciation Amortization Depletion Income Statement,3221000.0,2833000.0,1364000.0,1474000.0
Depreciation And Amortization In Income Statement,3221000.0,2833000.0,1364000.0,1474000.0
Research And Development,1574000.0,1251000.0,550000.0,1083000.0
Selling General And Administration,16042000.0,15543000.0,8474000.0,10141000.0
Selling And Marketing Expense,5247000.0,3651000.0,1153000.0,1676000.0
General And Administrative Expense,10795000.0,11892000.0,7321000.0,8465000.0
Other Gand A,10795000.0,11892000.0,7321000.0,8465000.0
Gross Profit,22183000.0,17739000.0,8357000.0,8121000.0
Cost Of Revenue,22983000.0,25611000.0,10080000.0,9336000.0
Total Revenue,45166000.0,43350000.0,18437000.0,17457000.0
Operating Revenue,45166000.0,43350000.0,18437000.0,17457000.0
