,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-52724.686537,-457590.0,-14850.0,-287550.0
Tax Rate For Calcs,0.001297,0.21,0.27,0.27
Normalized EBITDA,-21715000.0,-19486000.0,-15045000.0,-11405000.0
Total Unusual Items,-40665000.0,-2179000.0,-55000.0,-1065000.0
Total Unusual Items Excluding Goodwill,-40665000.0,-2179000.0,-55000.0,-1065000.0
Net Income From Continuing Operation Net Minority Interest,-65473000.0,-24701000.0,-16358000.0,-14172000.0
Reconciled Depreciation,2791000.0,2413000.0,1098000.0,1271000.0
Reconciled Cost Of Revenue,6925000.0,6552000.0,4193000.0,3857000.0
EBITDA,-62380000.0,-21665000.0,-15100000.0,-12470000.0
EBIT,-65171000.0,-24078000.0,-16198000.0,-13741000.0
Net Interest Income,2802000.0,-260000.0,-6000.0,21000.0
Interest Expense,387000.0,454000.0,156000.0,172000.0
Interest Income,3189000.0,194000.0,150000.0,193000.0
Normalized Income,-24860724.686537,-22979590.0,-16317850.0,-13394550.0
Net Income From Continuing And Discontinued Operation,-65473000.0,-24701000.0,-16358000.0,-14172000.0
Total Expenses,47976000.0,41178000.0,27410000.0,21378000.0
Rent Expense Supplemental,681000.0,682000.0,373000.0,485000.0
Total Operating Income As Reported,-77800000.0,-24272000.0,-16348000.0,-13934000.0
Diluted Average Shares,44907105.0,47435357.0,2189786.0,47435357.0
Basic Average Shares,44907105.0,47435357.0,2189786.0,2189786.0
Diluted EPS,-1.47,-0.711263,-11.219818,-6.471865
Basic EPS,-1.47,-0.711263,-11.219818,-6.471865
Diluted NI Availto Com Stockholders,-66112000.0,-33739000.0,-24569000.0,-14172000.0
Net Income Common Stockholders,-66112000.0,-33739000.0,-24569000.0,-14172000.0
Preferred Stock Dividends,639000.0,9038000.0,8211000.0,6498000.0
Net Income,-65473000.0,-24701000.0,-16358000.0,-14172000.0
Net Income Including Noncontrolling Interests,-65473000.0,-24701000.0,-16358000.0,-14172000.0
Net Income Continuous Operations,-65473000.0,-24701000.0,-16358000.0,-14172000.0
Tax Provision,-85000.0,169000.0,4000.0,259000.0
Pretax Income,-65558000.0,-24532000.0,-16354000.0,-13913000.0
Other Income Expense,-40665000.0,-2179000.0,-55000.0,-1065000.0
Special Income Charges,-50105000.0,-2179000.0,-55000.0,-1065000.0
Write Off,384000.0,227000.0,55000.0,174000.0
Restructuring And Mergern Acquisition,49721000.0,1952000.0,0.0,891000.0
Gain On Sale Of Security,9440000.0,,,
Net Non Operating Interest Income Expense,2802000.0,-260000.0,-6000.0,21000.0
Interest Expense Non Operating,387000.0,454000.0,156000.0,172000.0
Interest Income Non Operating,3189000.0,194000.0,150000.0,193000.0
Operating Income,-27695000.0,-22093000.0,-16293000.0,-12869000.0
Operating Expense,39497000.0,33319000.0,22814000.0,17105000.0
Other Operating Expenses,,2887000.0,,
Depreciation Amortization Depletion Income Statement,1237000.0,1106000.0,695000.0,855000.0
Depreciation And Amortization In Income Statement,1237000.0,1106000.0,695000.0,855000.0
Research And Development,11507000.0,10217000.0,7822000.0,6910000.0
Selling General And Administration,26753000.0,21996000.0,14297000.0,9340000.0
Selling And Marketing Expense,4405000.0,6075000.0,2937000.0,758000.0
General And Administrative Expense,22348000.0,15921000.0,11360000.0,8582000.0
Other Gand A,4104000.0,3991000.0,1487000.0,1206000.0
Insurance And Claims,1623000.0,95000.0,73000.0,
Rent And Landing Fees,681000.0,682000.0,373000.0,485000.0
Salaries And Wages,15940000.0,11153000.0,9427000.0,6891000.0
Gross Profit,11802000.0,11226000.0,6521000.0,4236000.0
Cost Of Revenue,8479000.0,7859000.0,4596000.0,4273000.0
Total Revenue,20281000.0,19085000.0,11117000.0,8509000.0
Operating Revenue,20281000.0,19085000.0,11117000.0,8509000.0
