,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,5894085.0,4830379.0,4582268.0,4575123.0
Share Issued,5894085.0,4830379.0,4582268.0,4575123.0
Total Debt,2794000.0,3941000.0,5040000.0,7662000.0
Tangible Book Value,10688000.0,37570000.0,81725000.0,121688000.0
Invested Capital,19670000.0,46552000.0,90707000.0,131561000.0
Working Capital,47391000.0,82106000.0,108937000.0,162673000.0
Net Tangible Assets,10688000.0,37570000.0,81725000.0,121688000.0
Capital Lease Obligations,2794000.0,3941000.0,5040000.0,6771000.0
Common Stock Equity,19670000.0,46552000.0,90707000.0,130670000.0
Total Capitalization,19670000.0,46552000.0,90707000.0,131004000.0
Total Equity Gross Minority Interest,19670000.0,46552000.0,90707000.0,130670000.0
Stockholders Equity,19670000.0,46552000.0,90707000.0,130670000.0
Gains Losses Not Affecting Retained Earnings,229000.0,-186000.0,-109000.0,-3000.0
Other Equity Adjustments,229000.0,-186000.0,-109000.0,-3000.0
Retained Earnings,-1196410000.0,-1148997000.0,-1092325000.0,-1046889000.0
Additional Paid In Capital,1215792000.0,1195687000.0,1182225000.0,1176647000.0
Capital Stock,59000.0,48000.0,916000.0,915000.0
Common Stock,59000.0,48000.0,916000.0,915000.0
Preferred Stock,0.0,0.0,,
Total Liabilities Net Minority Interest,57612000.0,62296000.0,71594000.0,73688000.0
Total Non Current Liabilities Net Minority Interest,44095000.0,52283000.0,58156000.0,63609000.0
Other Non Current Liabilities,42606000.0,49483000.0,53798000.0,58235000.0
Long Term Debt And Capital Lease Obligation,1489000.0,2800000.0,4358000.0,5374000.0
Long Term Capital Lease Obligation,1489000.0,2800000.0,4358000.0,5040000.0
Long Term Debt,,,,334000.0
Current Liabilities,13517000.0,10013000.0,13438000.0,10079000.0
Current Debt And Capital Lease Obligation,1305000.0,1141000.0,682000.0,2288000.0
Current Capital Lease Obligation,1305000.0,1141000.0,682000.0,1731000.0
Current Debt,,,,557000.0
Other Current Borrowings,,,,557000.0
Pensionand Other Post Retirement Benefit Plans Current,,3152000.0,3260000.0,2638000.0
Payables And Accrued Expenses,12212000.0,8872000.0,9496000.0,5153000.0
Current Accrued Expenses,9040000.0,5679000.0,3079000.0,987000.0
Payables,3172000.0,3193000.0,6417000.0,4166000.0
Accounts Payable,3172000.0,3193000.0,6417000.0,4166000.0
Total Assets,77282000.0,108848000.0,162301000.0,204358000.0
Total Non Current Assets,16374000.0,16729000.0,39926000.0,31606000.0
Other Non Current Assets,3902000.0,2657000.0,726000.0,819000.0
Investments And Advances,,0.0,23964000.0,14564000.0
Goodwill And Other Intangible Assets,8982000.0,8982000.0,8982000.0,8982000.0
Goodwill,8982000.0,8982000.0,8982000.0,8982000.0
Net PPE,3490000.0,5090000.0,6254000.0,7241000.0
Accumulated Depreciation,-1991000.0,-2457000.0,-2225000.0,-2066000.0
Gross PPE,5481000.0,7547000.0,8479000.0,9307000.0
Leases,257000.0,257000.0,214000.0,214000.0
Other Properties,3056000.0,4401000.0,5749000.0,6578000.0
Machinery Furniture Equipment,2168000.0,2889000.0,2516000.0,2515000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,60908000.0,92119000.0,122375000.0,172752000.0
Other Current Assets,1780000.0,3521000.0,3267000.0,1215000.0
Restricted Cash,,,,0.0
Prepaid Assets,,,3267000.0,1215000.0
Receivables,2794000.0,2975000.0,3224000.0,3043000.0
Accounts Receivable,2794000.0,2975000.0,3224000.0,3043000.0
Cash Cash Equivalents And Short Term Investments,56334000.0,85623000.0,115884000.0,168494000.0
Other Short Term Investments,29653000.0,65965000.0,75870000.0,38884000.0
Cash And Cash Equivalents,26681000.0,19658000.0,40014000.0,129610000.0
