,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-39297129.0,-336320.0,-242167.0,-490694.0
Total Unusual Items,-107158612.0,-5107136.0,-11155.0,497.0
Total Unusual Items Excluding Goodwill,-107158612.0,-5107136.0,-11155.0,497.0
Net Income From Continuing Operation Net Minority Interest,-147489253.0,-5450213.0,-284601.0,-501544.0
Reconciled Depreciation,26001.0,6757.0,7413.0,2216.0
EBITDA,-146455741.0,-5443456.0,-253322.0,-490197.0
EBIT,-146481742.0,-5450213.0,-260735.0,-501408.0
Net Interest Income,-36675866.0,-14871.0,-12711.0,411.0
Interest Expense,1007511.0,0.0,0.0,136.0
Interest Income,,,1639.0,6444.0
Normalized Income,-40330641.0,-343077.0,-273446.0,-502041.0
Net Income From Continuing And Discontinued Operation,-147489253.0,-5450213.0,-284601.0,-501544.0
Total Expenses,3770172.0,439423.0,260735.0,502452.0
Diluted Average Shares,26481860.0,81639881.0,81639881.0,81639881.0
Basic Average Shares,26481860.0,81639881.0,81639881.0,81639881.0
Diluted EPS,-557.0,-0.066759,-0.003486,-0.006143
Basic EPS,-557.0,-0.066759,-0.003486,-0.006143
Diluted NI Availto Com Stockholders,-147489253.0,-5450213.0,-284601.0,-501544.0
Net Income Common Stockholders,-147489253.0,-5450213.0,-284601.0,-501544.0
Net Income,-147489253.0,-5450213.0,-284601.0,-501544.0
Net Income Including Noncontrolling Interests,-147489253.0,-5450213.0,-284601.0,-501544.0
Net Income Continuous Operations,-147489253.0,-5450213.0,-284601.0,-501544.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-147489253.0,-5450213.0,-284601.0,-501544.0
Other Income Expense,-107043215.0,-4995918.0,-11155.0,497.0
Other Non Operating Income Expenses,117660.0,111218.0,,
Special Income Charges,-86640546.0,-5104937.0,0.0,
Restructuring And Mergern Acquisition,86640546.0,5104937.0,0.0,
Earnings From Equity Interest,-2263.0,0.0,,
Gain On Sale Of Security,-20518066.0,-2199.0,-11155.0,497.0
Net Non Operating Interest Income Expense,-36675866.0,-14871.0,-12711.0,411.0
Total Other Finance Cost,35668355.0,14871.0,14350.0,5897.0
Interest Expense Non Operating,1007511.0,0.0,0.0,136.0
Interest Income Non Operating,,,1639.0,6444.0
Operating Income,-3770172.0,-439423.0,-260735.0,-502452.0
Operating Expense,3770172.0,439423.0,260735.0,502452.0
Other Operating Expenses,635313.0,22395.0,49556.0,
Other Taxes,,,0.0,-28948.0
Depreciation Amortization Depletion Income Statement,26001.0,6757.0,7413.0,11211.0
Depreciation And Amortization In Income Statement,26001.0,6757.0,7413.0,11211.0
Depreciation Income Statement,26001.0,6757.0,7413.0,11211.0
Selling General And Administration,3108858.0,410271.0,203766.0,520189.0
Selling And Marketing Expense,191403.0,63881.0,,
General And Administrative Expense,2917455.0,346390.0,203766.0,520189.0
Other Gand A,1398578.0,346390.0,203766.0,520189.0
Insurance And Claims,773820.0,0.0,,
Salaries And Wages,745057.0,0.0,,
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
