,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Free Cash Flow,-80044000.0,-157834000.0,-134974000.0,-62764000.0,
Repurchase Of Capital Stock,-365000.0,-5196000.0,-34698000.0,-10616000.0,
Repayment Of Debt,-1048325000.0,-729964000.0,-511042000.0,-63090000.0,
Issuance Of Debt,1164933000.0,924707000.0,731107000.0,73337000.0,
Issuance Of Capital Stock,282000.0,286000.0,293000.0,258000.0,
Capital Expenditure,-6146000.0,-22106000.0,-15796000.0,-8952000.0,
Interest Paid Supplemental Data,65647000.0,36605000.0,10421000.0,7029000.0,
Income Tax Paid Supplemental Data,6459000.0,5480000.0,19238000.0,26964000.0,
End Cash Position,94447000.0,68034000.0,42587000.0,2893000.0,
Beginning Cash Position,68034000.0,42587000.0,2893000.0,59560000.0,
Changes In Cash,26413000.0,25447000.0,39694000.0,-56667000.0,
Financing Cash Flow,110956000.0,188746000.0,176222000.0,5403000.0,
Cash Flow From Continuing Financing Activities,110956000.0,188746000.0,176222000.0,5403000.0,
Net Other Financing Charges,-5897000.0,-2263000.0,-6108000.0,-282000.0,
Proceeds From Stock Option Exercised,-455000.0,1216000.0,-1488000.0,4034000.0,
Cash Dividends Paid,-40000.0,-40000.0,-40000.0,-40000.0,
Preferred Stock Dividend Paid,,,,,-40000.0
Common Stock Dividend Paid,-40000.0,-40000.0,-40000.0,-40000.0,
Net Common Stock Issuance,-83000.0,-4910000.0,-34405000.0,-10358000.0,
Common Stock Payments,-365000.0,-5196000.0,-34698000.0,-10616000.0,
Common Stock Issuance,282000.0,286000.0,293000.0,258000.0,
Net Issuance Payments Of Debt,117431000.0,194743000.0,218263000.0,12049000.0,
Net Short Term Debt Issuance,823000.0,0.0,-1802000.0,1802000.0,
Net Long Term Debt Issuance,116608000.0,194743000.0,220065000.0,10247000.0,
Long Term Debt Payments,-1048325000.0,-729964000.0,-511042000.0,-63090000.0,
Long Term Debt Issuance,1164933000.0,924707000.0,731107000.0,73337000.0,
Investing Cash Flow,-10645000.0,-27571000.0,-17350000.0,-8258000.0,
Cash Flow From Continuing Investing Activities,-10645000.0,-27571000.0,-17350000.0,-8258000.0,
Net Investment Purchase And Sale,-4815000.0,-5549000.0,-1574000.0,0.0,
Purchase Of Investment,-4815000.0,-5549000.0,-1574000.0,0.0,
Net PPE Purchase And Sale,-5830000.0,-22022000.0,-15776000.0,-8258000.0,
Sale Of PPE,316000.0,84000.0,20000.0,694000.0,
Purchase Of PPE,-6146000.0,-22106000.0,-15796000.0,-8952000.0,
Operating Cash Flow,-73898000.0,-135728000.0,-119178000.0,-53812000.0,
Cash Flow From Continuing Operating Activities,-73898000.0,-135728000.0,-119178000.0,-53812000.0,
Change In Working Capital,-495796000.0,-559731000.0,-493320000.0,-348692000.0,
Change In Other Working Capital,6652000.0,32698000.0,52051000.0,25934000.0,
Change In Payables And Accrued Expense,-9338000.0,8621000.0,5167000.0,14766000.0,
Change In Payable,,8621000.0,5166000.0,14766000.0,1009000.0
Change In Account Payable,,8621000.0,5166000.0,14766000.0,1009000.0
Change In Tax Payable,,,,-3691000.0,5788000.0
Change In Income Tax Payable,,,,-3691000.0,5788000.0
Change In Prepaid Assets,-7386000.0,-6235000.0,-7974000.0,-1679000.0,
Change In Inventory,139186000.0,133047000.0,51057000.0,5019000.0,
Change In Receivables,-624910000.0,-727862000.0,-593621000.0,-392732000.0,
Changes In Account Receivables,-624118000.0,-726674000.0,-592062000.0,-392463000.0,
Other Non Cash Items,39643000.0,30568000.0,22646000.0,19345000.0,
Stock Based Compensation,4174000.0,5314000.0,5496000.0,5962000.0,
Provisionand Write Offof Assets,423406000.0,352860000.0,238054000.0,153835000.0,
Asset Impairment Charge,267000.0,0.0,0.0,,
Deferred Tax,-21507000.0,8866000.0,8750000.0,7239000.0,
Deferred Income Tax,-21507000.0,8866000.0,8750000.0,7239000.0,
Depreciation Amortization Depletion,6871000.0,5602000.0,4033000.0,3719000.0,
Depreciation And Amortization,6871000.0,5602000.0,4033000.0,3719000.0,
Operating Gains Losses,437000.0,361000.0,149000.0,-40000.0,
Gain Loss On Sale Of PPE,437000.0,361000.0,149000.0,-40000.0,
Net Income From Continuing Operations,-31393000.0,20432000.0,95014000.0,104820000.0,
