,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,3481523.0,3481523.0,3481523.0,3481523.0
Ordinary Shares Number,85418321.0,84353379.0,83931596.0,81703366.0
Share Issued,88899844.0,87834902.0,87413119.0,85184889.0
Net Debt,4363000.0,14552000.0,,
Total Debt,50205000.0,54432000.0,36369000.0,13002000.0
Tangible Book Value,109869000.0,111575000.0,130877000.0,140009000.0
Invested Capital,166619000.0,157283000.0,151951000.0,152105000.0
Working Capital,84987000.0,77911000.0,87799000.0,99447000.0
Net Tangible Assets,109869000.0,111575000.0,130877000.0,140009000.0
Capital Lease Obligations,17605000.0,16932000.0,21569000.0,7023000.0
Common Stock Equity,134019000.0,119783000.0,137151000.0,146126000.0
Total Capitalization,134019000.0,119783000.0,137151000.0,146126000.0
Total Equity Gross Minority Interest,134019000.0,119783000.0,137151000.0,146126000.0
Stockholders Equity,134019000.0,119783000.0,137151000.0,146126000.0
Gains Losses Not Affecting Retained Earnings,-8087000.0,-11156000.0,-9507000.0,-8068000.0
Other Equity Adjustments,-8087000.0,-11156000.0,-9507000.0,-8068000.0
Treasury Stock,20091000.0,20091000.0,20091000.0,20091000.0
Retained Earnings,-275188000.0,-281408000.0,-261719000.0,-246891000.0
Additional Paid In Capital,437161000.0,432214000.0,428244000.0,420958000.0
Capital Stock,224000.0,224000.0,224000.0,218000.0
Common Stock,224000.0,224000.0,224000.0,218000.0
Total Liabilities Net Minority Interest,164506000.0,169535000.0,155412000.0,126293000.0
Total Non Current Liabilities Net Minority Interest,31553000.0,36699000.0,39729000.0,25869000.0
Employee Benefits,9399000.0,9314000.0,10799000.0,11601000.0
Non Current Pension And Other Postretirement Benefit Plans,9399000.0,9314000.0,10799000.0,11601000.0
Tradeand Other Payables Non Current,7768000.0,2653000.0,2445000.0,2933000.0
Non Current Deferred Liabilities,670000.0,11545000.0,9275000.0,7495000.0
Non Current Deferred Revenue,670000.0,11545000.0,9275000.0,7495000.0
Long Term Debt And Capital Lease Obligation,13716000.0,13187000.0,17210000.0,3840000.0
Long Term Capital Lease Obligation,13716000.0,13187000.0,17210000.0,3840000.0
Current Liabilities,132953000.0,132836000.0,115683000.0,100424000.0
Other Current Liabilities,,1423000.0,313000.0,281000.0
Current Deferred Liabilities,8789000.0,6947000.0,8428000.0,7843000.0
Current Deferred Revenue,8789000.0,6947000.0,8428000.0,7843000.0
Current Debt And Capital Lease Obligation,36489000.0,41245000.0,19159000.0,9162000.0
Current Capital Lease Obligation,3889000.0,3745000.0,4359000.0,3183000.0
Current Debt,32600000.0,37500000.0,14800000.0,5979000.0
Other Current Borrowings,,37500000.0,14800000.0,5979000.0
Line Of Credit,32600000.0,37500000.0,,
Current Provisions,1694000.0,1401000.0,1691000.0,1274000.0
Payables And Accrued Expenses,85981000.0,81820000.0,86092000.0,81864000.0
Current Accrued Expenses,16570000.0,12423000.0,14202000.0,15496000.0
Payables,69411000.0,69397000.0,71890000.0,66368000.0
Other Payable,2379000.0,2013000.0,2454000.0,2646000.0
Accounts Payable,67032000.0,67384000.0,69436000.0,63722000.0
Total Assets,298525000.0,289318000.0,292563000.0,272419000.0
Total Non Current Assets,80585000.0,78571000.0,89081000.0,72548000.0
Other Non Current Assets,1954000.0,18312000.0,17059000.0,13565000.0
Defined Pension Benefit,4985000.0,4633000.0,5648000.0,6059000.0
Non Current Deferred Assets,,,0.0,8279000.0
Non Current Deferred Taxes Assets,,,0.0,8279000.0
Non Current Accounts Receivable,,,10484000.0,
Investments And Advances,,,,17000.0
Other Investments,,,,17000.0
Goodwill And Other Intangible Assets,24150000.0,8208000.0,6274000.0,6117000.0
Other Intangible Assets,16401000.0,8208000.0,6274000.0,6117000.0
Goodwill,7749000.0,0.0,,
Net PPE,49496000.0,47418000.0,49616000.0,38528000.0
Accumulated Depreciation,-131572000.0,-118132000.0,-107883000.0,-96872000.0
Gross PPE,181068000.0,165550000.0,157499000.0,135400000.0
Leases,1949000.0,1694000.0,1460000.0,1564000.0
Other Properties,18837000.0,17962000.0,20233000.0,6780000.0
Machinery Furniture Equipment,160282000.0,145894000.0,135806000.0,127056000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,217940000.0,210747000.0,203482000.0,199871000.0
Hedging Assets Current,920000.0,8000.0,852000.0,1937000.0
Current Deferred Assets,5158000.0,6087000.0,6214000.0,5743000.0
Prepaid Assets,963000.0,405000.0,256000.0,230000.0
Inventory,68811000.0,72009000.0,61398000.0,50627000.0
Finished Goods,34535000.0,36755000.0,38394000.0,30669000.0
Work In Process,486000.0,143000.0,423000.0,194000.0
Raw Materials,33790000.0,35111000.0,22581000.0,19764000.0
Receivables,113851000.0,109290000.0,117683000.0,114233000.0
Other Receivables,9530000.0,9256000.0,9857000.0,6845000.0
Accounts Receivable,104321000.0,100034000.0,107826000.0,107388000.0
Allowance For Doubtful Accounts Receivable,-24602000.0,-22410000.0,-7470000.0,-6189000.0
Gross Accounts Receivable,128923000.0,122444000.0,115296000.0,113577000.0
Cash Cash Equivalents And Short Term Investments,28237000.0,22948000.0,17079000.0,27101000.0
Cash And Cash Equivalents,28237000.0,22948000.0,17079000.0,27101000.0
