,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,17988000.0,-17316000.0,-24614000.0,10756000.0
Capital Expenditure,-12899000.0,-12421000.0,-9595000.0,-6489000.0
Interest Paid Supplemental Data,6040000.0,3456000.0,1280000.0,1137000.0
Income Tax Paid Supplemental Data,2839000.0,1871000.0,1995000.0,3003000.0
End Cash Position,28237000.0,22948000.0,17079000.0,27101000.0
Beginning Cash Position,22948000.0,17079000.0,27101000.0,23939000.0
Effect Of Exchange Rate Changes,133000.0,75000.0,-138000.0,-210000.0
Changes In Cash,5156000.0,5794000.0,-9884000.0,3372000.0
Financing Cash Flow,-4861000.0,23110000.0,14530000.0,-7384000.0
Cash Flow From Continuing Financing Activities,-4861000.0,23110000.0,14530000.0,-7384000.0
Proceeds From Stock Option Exercised,39000.0,410000.0,4730000.0,1237000.0
Net Issuance Payments Of Debt,-4900000.0,22700000.0,9800000.0,-8621000.0
Net Short Term Debt Issuance,-4900000.0,22700000.0,9800000.0,-8621000.0
Net Long Term Debt Issuance,,,,-8621000.0
Investing Cash Flow,-20870000.0,-12421000.0,-9395000.0,-6489000.0
Cash Flow From Continuing Investing Activities,-20870000.0,-12421000.0,-9395000.0,-6489000.0
Net Investment Purchase And Sale,,,0.0,0.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,,,,0.0
Net Business Purchase And Sale,-7971000.0,0.0,0.0,
Purchase Of Business,-7971000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-2944000.0,-1957000.0,-212000.0,-412000.0
Purchase Of Intangibles,-2944000.0,-1957000.0,-212000.0,-412000.0
Net PPE Purchase And Sale,-9955000.0,-10464000.0,-9183000.0,-6077000.0
Sale Of PPE,0.0,0.0,200000.0,0.0
Purchase Of PPE,-9955000.0,-10464000.0,-9383000.0,-6077000.0
Capital Expenditure Reported,-2944000.0,-1957000.0,-212000.0,-412000.0
Operating Cash Flow,30887000.0,-4895000.0,-15019000.0,17245000.0
Cash Flow From Continuing Operating Activities,30887000.0,-4895000.0,-15019000.0,17245000.0
Change In Working Capital,10675000.0,174000.0,-15081000.0,19814000.0
Change In Other Working Capital,-9829000.0,1784000.0,9533000.0,3303000.0
Change In Other Current Liabilities,-4034000.0,-5937000.0,-4620000.0,-5112000.0
Change In Other Current Assets,20775000.0,3226000.0,-1263000.0,-1540000.0
Change In Payables And Accrued Expense,-170000.0,-6172000.0,4327000.0,3899000.0
Change In Payable,-170000.0,-6172000.0,4327000.0,3899000.0
Change In Account Payable,-1847000.0,-2018000.0,5883000.0,1953000.0
Change In Inventory,6303000.0,-11155000.0,-11908000.0,9919000.0
Change In Receivables,-2370000.0,18428000.0,-11150000.0,9345000.0
Changes In Account Receivables,-2370000.0,18428000.0,-11150000.0,9345000.0
Stock Based Compensation,3964000.0,3560000.0,2562000.0,1662000.0
Depreciation Amortization Depletion,9967000.0,11040000.0,12246000.0,12861000.0
Depreciation And Amortization,9967000.0,11040000.0,12246000.0,12861000.0
Amortization Cash Flow,632000.0,420000.0,401000.0,
Amortization Of Intangibles,632000.0,420000.0,401000.0,
Depreciation,9335000.0,10620000.0,11845000.0,
Operating Gains Losses,61000.0,20000.0,82000.0,
Gain Loss On Sale Of PPE,61000.0,20000.0,82000.0,0.0
Net Income From Continuing Operations,6220000.0,-19689000.0,-14828000.0,-17092000.0
