,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,11483991.0,11727772.0,6673134.0,4668808.0
Net Income From Continuing Operation Net Minority Interest,11547888.0,11743236.0,6673302.0,4674672.0
EBITDA,11483991.0,11727772.0,6673134.0,4668808.0
EBIT,11483991.0,11727772.0,6673134.0,4668808.0
Net Interest Income,63897.0,15464.0,168.0,5864.0
Interest Income,63897.0,15464.0,168.0,5864.0
Normalized Income,11547888.0,11743236.0,6673302.0,4674672.0
Net Income From Continuing And Discontinued Operation,11547888.0,11743236.0,6673302.0,4674672.0
Total Expenses,816185.0,765955.0,765317.0,639441.0
Diluted Average Shares,6000000.0,6000000.0,6000000.0,6000000.0
Basic Average Shares,6000000.0,6000000.0,6000000.0,6000000.0
Diluted EPS,1.924648,1.957206,1.112217,0.779112
Basic EPS,1.924648,1.957206,1.112217,0.779112
Diluted NI Availto Com Stockholders,11547888.0,11743236.0,6673302.0,4674672.0
Net Income Common Stockholders,11547888.0,11743236.0,6673302.0,4674672.0
Net Income,11547888.0,11743236.0,6673302.0,4674672.0
Net Income Including Noncontrolling Interests,11547888.0,11743236.0,6673302.0,4674672.0
Net Income Continuous Operations,11547888.0,11743236.0,6673302.0,4674672.0
Pretax Income,11547888.0,11743236.0,6673302.0,4674672.0
Net Non Operating Interest Income Expense,63897.0,15464.0,168.0,5864.0
Interest Income Non Operating,63897.0,15464.0,168.0,5864.0
Operating Income,11483991.0,11727772.0,6673134.0,4668808.0
Operating Expense,816185.0,765955.0,765317.0,639441.0
Selling General And Administration,816185.0,765955.0,765317.0,639441.0
General And Administrative Expense,816185.0,765955.0,765317.0,639441.0
Other Gand A,816185.0,765955.0,765317.0,639441.0
Total Revenue,12300176.0,12493727.0,7438451.0,5308249.0
Operating Revenue,12300176.0,12493727.0,7438451.0,5308249.0
