,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2,0.22,0.21,0.216629
Normalized EBITDA,121353000.0,109675000.0,108428000.0,82611000.0
Net Income From Continuing Operation Net Minority Interest,76252000.0,66365000.0,66410000.0,46356000.0
Reconciled Depreciation,26252000.0,25121000.0,23916000.0,23436000.0
Reconciled Cost Of Revenue,623618000.0,560303000.0,494116000.0,429020000.0
EBITDA,121353000.0,109675000.0,108428000.0,82611000.0
EBIT,95101000.0,84554000.0,84512000.0,59175000.0
Normalized Income,76252000.0,66365000.0,66410000.0,46356000.0
Net Income From Continuing And Discontinued Operation,76252000.0,66365000.0,66410000.0,46356000.0
Total Expenses,700210000.0,634008000.0,561718000.0,493469000.0
Diluted Average Shares,52041000.0,52776000.0,54381000.0,54498000.0
Basic Average Shares,51366000.0,51984000.0,53259000.0,53790000.0
Diluted EPS,1.466667,1.256667,1.22,0.85
Basic EPS,1.483333,1.276667,1.246667,0.863333
Diluted NI Availto Com Stockholders,76252000.0,66365000.0,66410000.0,46356000.0
Net Income Common Stockholders,76252000.0,66365000.0,66410000.0,46356000.0
Net Income,76252000.0,66365000.0,66410000.0,46356000.0
Net Income Including Noncontrolling Interests,76252000.0,66365000.0,66410000.0,46356000.0
Net Income Continuous Operations,76252000.0,66365000.0,66410000.0,46356000.0
Tax Provision,18849000.0,18189000.0,18102000.0,12819000.0
Pretax Income,95101000.0,84554000.0,84512000.0,59175000.0
Operating Income,95101000.0,84554000.0,84512000.0,59175000.0
Operating Expense,76592000.0,73705000.0,67602000.0,64449000.0
Selling General And Administration,76592000.0,73705000.0,67602000.0,64449000.0
General And Administrative Expense,76592000.0,73705000.0,67602000.0,64449000.0
Other Gand A,76592000.0,73705000.0,67602000.0,64449000.0
Gross Profit,171693000.0,158259000.0,152114000.0,123624000.0
Cost Of Revenue,623618000.0,560303000.0,494116000.0,429020000.0
Total Revenue,795311000.0,718562000.0,646230000.0,552644000.0
Operating Revenue,795311000.0,718562000.0,646230000.0,552644000.0
