,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-23256000.0,-32220000.0,-38170000.0,-43128000.0
Total Unusual Items,0.0,22000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,22000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Reconciled Depreciation,151000.0,367000.0,460000.0,632000.0
EBITDA,-23256000.0,-32198000.0,-38170000.0,-43128000.0
EBIT,-23407000.0,-32565000.0,-38630000.0,-43760000.0
Net Interest Income,1584000.0,654000.0,-15000.0,540000.0
Interest Expense,,,15000.0,
Interest Income,,,,540000.0
Normalized Income,-27029000.0,-41329000.0,-43241000.0,-5995000.0
Net Income From Continuing And Discontinued Operation,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Total Expenses,23407000.0,32565000.0,38630000.0,43760000.0
Total Operating Income As Reported,-23407000.0,-32565000.0,-38630000.0,-43760000.0
Diluted Average Shares,48025274.0,46553511.0,41854110.0,29478878.0
Basic Average Shares,48025274.0,46553511.0,41854110.0,29478878.0
Diluted EPS,-0.56,-0.89,-1.03,-0.2
Basic EPS,-0.56,-0.89,-1.03,-0.2
Diluted NI Availto Com Stockholders,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Net Income Common Stockholders,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Net Income,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Net Income Including Noncontrolling Interests,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Net Income Continuous Operations,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Pretax Income,-27029000.0,-41307000.0,-43241000.0,-5995000.0
Other Income Expense,-5206000.0,-9396000.0,-4596000.0,37225000.0
Other Non Operating Income Expenses,78000.0,587000.0,235000.0,37459000.0
Special Income Charges,0.0,22000.0,0.0,0.0
Gain On Sale Of Ppe,0.0,22000.0,0.0,0.0
Earnings From Equity Interest,-5284000.0,-10005000.0,-4831000.0,-234000.0
Net Non Operating Interest Income Expense,1584000.0,654000.0,-15000.0,540000.0
Total Other Finance Cost,-1584000.0,-654000.0,15000.0,-540000.0
Interest Expense Non Operating,,,15000.0,
Interest Income Non Operating,,,,540000.0
Operating Income,-23407000.0,-32565000.0,-38630000.0,-43760000.0
Operating Expense,23407000.0,32565000.0,38630000.0,43760000.0
Research And Development,16526000.0,24468000.0,29115000.0,31830000.0
Selling General And Administration,6881000.0,8097000.0,9515000.0,11930000.0
General And Administrative Expense,6881000.0,8097000.0,9515000.0,11930000.0
Other Gand A,6881000.0,8097000.0,9515000.0,11930000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
