,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,16101007.0,14590274.0,14298191.0
Ordinary Shares Number,56919443.0,56325382.0,57835865.0,58127948.0
Share Issued,56919443.0,72426389.0,72426139.0,72426139.0
Net Debt,,585400000.0,363800000.0,667600000.0
Total Debt,315600000.0,460900000.0,944500000.0,1328000000.0
Tangible Book Value,522200000.0,1138800000.0,-218600000.0,-427900000.0
Invested Capital,1606300000.0,2301000000.0,2674700000.0,2747500000.0
Working Capital,623700000.0,263700000.0,753800000.0,517100000.0
Net Tangible Assets,522200000.0,1138800000.0,-218600000.0,-427900000.0
Capital Lease Obligations,67100000.0,61300000.0,102100000.0,109400000.0
Common Stock Equity,1357800000.0,1901400000.0,1832300000.0,1528900000.0
Total Capitalization,1606300000.0,1901400000.0,2674700000.0,2371800000.0
Total Equity Gross Minority Interest,1360300000.0,1904000000.0,1835100000.0,1531100000.0
Minority Interest,2500000.0,2600000.0,2800000.0,2200000.0
Stockholders Equity,1357800000.0,1901400000.0,1832300000.0,1528900000.0
Gains Losses Not Affecting Retained Earnings,-58000000.0,-503300000.0,-440200000.0,-466400000.0
Other Equity Adjustments,-58000000.0,-503300000.0,-440200000.0,-466400000.0
Treasury Stock,0.0,864300000.0,691100000.0,600600000.0
Retained Earnings,960700000.0,2822800000.0,2527300000.0,2192800000.0
Additional Paid In Capital,398200000.0,373800000.0,363900000.0,330700000.0
Capital Stock,56900000.0,72400000.0,72400000.0,72400000.0
Common Stock,56900000.0,72400000.0,72400000.0,72400000.0
Preferred Stock,,0.0,0.0,0.0
Total Liabilities Net Minority Interest,973300000.0,2487600000.0,2651500000.0,3083900000.0
Total Non Current Liabilities Net Minority Interest,506200000.0,999400000.0,1862200000.0,2027300000.0
Other Non Current Liabilities,36400000.0,17900000.0,605800000.0,659100000.0
Liabilities Heldfor Sale Non Current,0.0,726900000.0,0.0,26200000.0
Employee Benefits,115000000.0,132000000.0,231900000.0,329700000.0
Non Current Pension And Other Postretirement Benefit Plans,115000000.0,132000000.0,231900000.0,329700000.0
Non Current Deferred Liabilities,37100000.0,55300000.0,76900000.0,53600000.0
Non Current Deferred Taxes Liabilities,37100000.0,55300000.0,76900000.0,53600000.0
Long Term Debt And Capital Lease Obligation,304800000.0,49700000.0,921800000.0,929300000.0
Long Term Capital Lease Obligation,56300000.0,49700000.0,79400000.0,86400000.0
Long Term Debt,248500000.0,543700000.0,842400000.0,842900000.0
Long Term Provisions,12900000.0,17600000.0,25800000.0,29400000.0
Current Liabilities,467100000.0,1488200000.0,789300000.0,1056600000.0
Other Current Liabilities,,614700000.0,62300000.0,93900000.0
Current Deferred Liabilities,56200000.0,49400000.0,101100000.0,103000000.0
Current Deferred Revenue,56200000.0,49400000.0,101100000.0,103000000.0
Current Debt And Capital Lease Obligation,10800000.0,411200000.0,22700000.0,398700000.0
Current Capital Lease Obligation,10800000.0,11600000.0,22700000.0,23000000.0
Current Debt,,399600000.0,,375700000.0
Other Current Borrowings,,299700000.0,,
Line Of Credit,0.0,399600000.0,0.0,348500000.0
Commercial Paper,,,0.0,27200000.0
Pensionand Other Post Retirement Benefit Plans Current,115300000.0,100800000.0,181900000.0,120500000.0
Current Provisions,,7400000.0,8600000.0,8100000.0
Payables And Accrued Expenses,284800000.0,312100000.0,421300000.0,340500000.0
Current Accrued Expenses,91400000.0,98700000.0,137000000.0,141500000.0
Payables,193400000.0,213400000.0,284300000.0,199000000.0
Total Tax Payable,14300000.0,34200000.0,10600000.0,100000.0
