,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-60586000.0,-33026000.0,-12058000.0,-6773000.0
Repayment Of Debt,-9803000.0,-10007000.0,-100000.0,-1500000.0
Issuance Of Debt,35352000.0,42501000.0,11989000.0,7771000.0
Issuance Of Capital Stock,5000000.0,0.0,,
Capital Expenditure,-1974000.0,-1513000.0,-1063000.0,-584000.0
Interest Paid Supplemental Data,2147000.0,162000.0,365000.0,150000.0
Income Tax Paid Supplemental Data,0.0,6000.0,0.0,0.0
End Cash Position,6416000.0,8316000.0,5276000.0,439000.0
Beginning Cash Position,8316000.0,5276000.0,439000.0,857000.0
Effect Of Exchange Rate Changes,116000.0,27000.0,0.0,0.0
Changes In Cash,-2016000.0,3013000.0,4837000.0,-418000.0
Financing Cash Flow,50425000.0,31191000.0,16895000.0,6355000.0
Cash Flow From Continuing Financing Activities,50425000.0,31191000.0,16895000.0,6355000.0
Net Other Financing Charges,19819000.0,-1431000.0,5000000.0,
Proceeds From Stock Option Exercised,57000.0,128000.0,6000.0,84000.0
Net Common Stock Issuance,5000000.0,0.0,,
Common Stock Issuance,5000000.0,0.0,,
Net Issuance Payments Of Debt,25549000.0,32494000.0,11889000.0,6271000.0
Net Long Term Debt Issuance,25549000.0,32494000.0,11889000.0,6271000.0
Long Term Debt Payments,-9803000.0,-10007000.0,-100000.0,-1500000.0
Long Term Debt Issuance,35352000.0,42501000.0,11989000.0,7771000.0
Investing Cash Flow,6171000.0,3335000.0,-1063000.0,-584000.0
Cash Flow From Continuing Investing Activities,6171000.0,3335000.0,-1063000.0,-584000.0
Net Investment Purchase And Sale,8145000.0,0.0,,
Sale Of Investment,8145000.0,0.0,,
Net Business Purchase And Sale,0.0,4848000.0,0.0,0.0
Sale Of Business,0.0,4848000.0,0.0,0.0
Net PPE Purchase And Sale,-35000.0,0.0,-9000.0,-61000.0
Purchase Of PPE,-35000.0,0.0,-9000.0,-61000.0
Capital Expenditure Reported,-1939000.0,-1513000.0,-1054000.0,-523000.0
Operating Cash Flow,-58612000.0,-31513000.0,-10995000.0,-6189000.0
Cash From Discontinued Operating Activities,190000.0,-6296000.0,,
Cash Flow From Continuing Operating Activities,-58801000.0,-25217000.0,-10995000.0,-6189000.0
Change In Working Capital,-10528000.0,-7603000.0,-4622000.0,-1754000.0
Change In Other Working Capital,4120000.0,4482000.0,278000.0,1154000.0
Change In Other Current Assets,1132000.0,-1132000.0,0.0,0.0
Change In Payables And Accrued Expense,-1021000.0,2098000.0,5955000.0,1410000.0
Change In Accrued Expense,-3313000.0,-1154000.0,2946000.0,2472000.0
Change In Payable,2292000.0,3252000.0,3009000.0,-1062000.0
Change In Account Payable,2292000.0,3252000.0,3009000.0,-1062000.0
Change In Prepaid Assets,-4197000.0,1585000.0,-3019000.0,-959000.0
Change In Inventory,1544000.0,-4953000.0,-3047000.0,-1315000.0
Change In Receivables,-12106000.0,-9683000.0,-4789000.0,-2044000.0
Changes In Account Receivables,-12106000.0,-9683000.0,-4789000.0,-2044000.0
Other Non Cash Items,50267000.0,5278000.0,-90000.0,462000.0
Stock Based Compensation,3364000.0,433000.0,200000.0,109000.0
Unrealized Gain Loss On Investment Securities,,0.0,1306000.0,15000.0
Provisionand Write Offof Assets,4274000.0,2074000.0,364000.0,337000.0
Depreciation Amortization Depletion,930000.0,648000.0,463000.0,298000.0
Depreciation And Amortization,930000.0,648000.0,463000.0,298000.0
Depreciation,930000.0,648000.0,,
Operating Gains Losses,-10912000.0,1976000.0,666000.0,26000.0
Gain Loss On Investment Securities,-21250000.0,5211000.0,666000.0,26000.0
Net Income From Continuing Operations,-96197000.0,-28023000.0,-9282000.0,-5682000.0
