,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1059100000.0,817400000.0,286900000.0,601200000.0
Repurchase Of Capital Stock,-900000000.0,-400000000.0,-315600000.0,-382400000.0
Repayment Of Debt,-384000000.0,-350000000.0,-650000000.0,-758500000.0
Issuance Of Debt,84000000.0,0.0,1492600000.0,1240700000.0
Capital Expenditure,-142200000.0,-183500000.0,-134800000.0,-95500000.0
End Cash Position,576700000.0,364800000.0,299100000.0,897100000.0
Beginning Cash Position,364800000.0,299100000.0,850900000.0,342500000.0
Effect Of Exchange Rate Changes,1500000.0,-2200000.0,-1200000.0,1600000.0
Changes In Cash,210400000.0,67900000.0,-550600000.0,553000000.0
Cash Flow From Discontinued Operation,6400000.0,-9900000.0,26000000.0,3600000.0
Financing Cash Flow,-1349700000.0,-862000000.0,488100000.0,-24700000.0
Cash Flow From Continuing Financing Activities,-1349700000.0,-862000000.0,488100000.0,-24700000.0
Net Other Financing Charges,-15100000.0,-18000000.0,-12300000.0,-33400000.0
Proceeds From Stock Option Exercised,25700000.0,40400000.0,85900000.0,21300000.0
Cash Dividends Paid,-160300000.0,-134400000.0,-112500000.0,-112400000.0
Common Stock Dividend Paid,-160300000.0,-134400000.0,-112500000.0,-112400000.0
Net Common Stock Issuance,-900000000.0,-400000000.0,-315600000.0,-382400000.0
Common Stock Payments,-900000000.0,-400000000.0,-315600000.0,-382400000.0
Net Issuance Payments Of Debt,-300000000.0,-350000000.0,842600000.0,482200000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,-84000000.0,0.0,-650000000.0,-500000000.0
Short Term Debt Issuance,84000000.0,0.0,650000000.0,500000000.0
Net Long Term Debt Issuance,-300000000.0,-350000000.0,842600000.0,482200000.0
Long Term Debt Payments,-300000000.0,-350000000.0,0.0,-258500000.0
Long Term Debt Issuance,0.0,0.0,842600000.0,740700000.0
Investing Cash Flow,352400000.0,-61100000.0,-1486400000.0,-122600000.0
Cash From Discontinued Investing Activities,510600000.0,132000000.0,247700000.0,0.0
Cash Flow From Continuing Investing Activities,-158200000.0,-193100000.0,-1734100000.0,-122600000.0
Net Other Investing Changes,19000000.0,4800000.0,2200000.0,8300000.0
Net Investment Purchase And Sale,1100000.0,10300000.0,-30200000.0,0.0
Sale Of Investment,1100000.0,10300000.0,,
Purchase Of Investment,,,-30200000.0,0.0
Net Business Purchase And Sale,-36100000.0,-24700000.0,-1571300000.0,-35400000.0
Sale Of Business,,,,0.0
Purchase Of Business,-36100000.0,-24700000.0,-1571300000.0,-35400000.0
Capital Expenditure Reported,-142200000.0,-183500000.0,-134800000.0,-95500000.0
Operating Cash Flow,1201300000.0,1000900000.0,421700000.0,696700000.0
Cash Flow From Continuing Operating Activities,1201300000.0,1000900000.0,421700000.0,696700000.0
Change In Working Capital,119400000.0,-239400000.0,-290000000.0,90700000.0
Change In Other Working Capital,23400000.0,27400000.0,13100000.0,20500000.0
Change In Other Current Liabilities,-15400000.0,-37900000.0,-27900000.0,-11300000.0
Change In Payables And Accrued Expense,-37100000.0,-40500000.0,90000000.0,-20500000.0
Change In Accrued Expense,-10100000.0,20000000.0,4600000.0,-5300000.0
Change In Payable,-27000000.0,-60500000.0,85400000.0,-15200000.0
Change In Account Payable,-27000000.0,-60500000.0,85400000.0,-15200000.0
Change In Prepaid Assets,-24700000.0,21600000.0,-34600000.0,-6600000.0
Change In Inventory,158000000.0,-165200000.0,-136800000.0,16400000.0
Change In Receivables,15200000.0,-44800000.0,-193800000.0,92200000.0
Changes In Account Receivables,1500000.0,-25900000.0,-206900000.0,78900000.0
Other Non Cash Items,57500000.0,74100000.0,41800000.0,50000000.0
Stock Based Compensation,41500000.0,31200000.0,19400000.0,29900000.0
Deferred Tax,-71700000.0,-33300000.0,-5400000.0,-27000000.0
Deferred Income Tax,-71700000.0,-33300000.0,-5400000.0,-27000000.0
Depreciation Amortization Depletion,204700000.0,251300000.0,226200000.0,224200000.0
Depreciation And Amortization,204700000.0,251300000.0,226200000.0,224200000.0
Amortization Cash Flow,120400000.0,154600000.0,134100000.0,126800000.0
Amortization Of Intangibles,120400000.0,154600000.0,134100000.0,126800000.0
Depreciation,84300000.0,96700000.0,92100000.0,97400000.0
Operating Gains Losses,82500000.0,-7000000.0,8000000.0,8800000.0
Gain Loss On Sale Of Business,82500000.0,-7000000.0,8000000.0,0.0
Net Income From Continuing Operations,767400000.0,924000000.0,421700000.0,320100000.0
