,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,160369635.0,160335126.0,158887622.0,157310716.0,
Share Issued,160369635.0,160335126.0,158887622.0,157310716.0,
Net Debt,941000000.0,800500000.0,800500000.0,880000000.0,
Total Debt,941000000.0,800500000.0,800500000.0,880000000.0,
Tangible Book Value,2815285387.0,2150002675.0,2156657599.0,2928463243.0,
Invested Capital,3756285387.0,2950502675.0,2957157599.0,3808463243.0,
Net Tangible Assets,2815285387.0,2150002675.0,2156657599.0,2928463243.0,
Common Stock Equity,2815285387.0,2150002675.0,2156657599.0,2928463243.0,
Total Capitalization,3756285387.0,2950502675.0,2957157599.0,3808463243.0,
Total Equity Gross Minority Interest,2815285387.0,2150002675.0,2156657599.0,2928463243.0,
Stockholders Equity,2815285387.0,2150002675.0,2156657599.0,2928463243.0,
Retained Earnings,925795244.0,260186049.0,286480030.0,1082187192.0,
Capital Stock,1889490143.0,1889816626.0,1870177569.0,1846276051.0,
Common Stock,1889490143.0,1889816626.0,1870177569.0,1846276051.0,
Total Liabilities Net Minority Interest,1352322903.0,1144027471.0,1133873911.0,1221683545.0,
Preferred Securities Outside Stock Equity,321430576.0,322167338.0,321679581.0,302424899.0,
Derivative Product Liabilities,159863.0,,,565590.0,720720.0
Long Term Debt And Capital Lease Obligation,941000000.0,800500000.0,800500000.0,880000000.0,
Payables,89457052.0,21157746.0,11495341.0,38436505.0,
Other Payable,7910600.0,7209026.0,4598603.0,4194589.0,
Accounts Payable,81546452.0,13948720.0,6896738.0,34241916.0,
Total Assets,4167608290.0,3294030146.0,3290531510.0,4150146788.0,
Investments And Advances,3985572163.0,3206918798.0,3123874224.0,3954985056.0,
Investmentin Financial Assets,3985572163.0,3206918798.0,3123874224.0,3954985056.0,
Available For Sale Securities,,,,3937221001.0,24076541.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3979707638.0,3205392485.0,3118186525.0,3937221001.0,
Prepaid Assets,1205207.0,1034029.0,1037331.0,986751.0,
Receivables,25869634.0,11153711.0,12717216.0,29268461.0,
Cash And Cash Equivalents,,,,164649969.0,94030.0
Cash Financial,,,,164649969.0,94030.0
Cash Cash Equivalents And Federal Funds Sold,154685874.0,74721221.0,152703749.0,164649969.0,
