,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,,2339512.0,2339512.0,2339512.0,2339512.0
Ordinary Shares Number,45050759.0,36076425.0,24958520.0,21005324.0,
Share Issued,45050759.0,38415937.0,27298032.0,23344836.0,
Net Debt,738580000.0,616059000.0,517157000.0,349691000.0,
Total Debt,770853000.0,637644000.0,528588000.0,381304000.0,
Tangible Book Value,755676000.0,590408000.0,420867000.0,336251000.0,
Invested Capital,1526529000.0,1228052000.0,949455000.0,717555000.0,
Net Tangible Assets,755676000.0,590408000.0,420867000.0,336251000.0,
Common Stock Equity,755676000.0,590408000.0,420867000.0,336251000.0,
Total Capitalization,1526529000.0,1228052000.0,949455000.0,717555000.0,
Total Equity Gross Minority Interest,755676000.0,590408000.0,420867000.0,336251000.0,
Stockholders Equity,755676000.0,590408000.0,420867000.0,336251000.0,
Treasury Stock,0.0,23937000.0,23937000.0,23937000.0,
Retained Earnings,-52532000.0,-41845000.0,-10256000.0,-2095000.0,
Additional Paid In Capital,796945000.0,646586000.0,448235000.0,356447000.0,
Capital Stock,11263000.0,9604000.0,6825000.0,5836000.0,
Common Stock,11263000.0,9604000.0,6825000.0,5836000.0,
Total Liabilities Net Minority Interest,801082000.0,667276000.0,553090000.0,399333000.0,
Long Term Debt And Capital Lease Obligation,770853000.0,637644000.0,528588000.0,381304000.0,
Payables,281000.0,156000.0,1240000.0,50000.0,
Total Tax Payable,281000.0,156000.0,1240000.0,50000.0,
Total Assets,1556758000.0,1257684000.0,973957000.0,735584000.0,
Investments And Advances,1476561000.0,1206388000.0,936614000.0,688432000.0,
Investmentin Financial Assets,1476561000.0,1206388000.0,936614000.0,688432000.0,
Available For Sale Securities,,,,,39760000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1476561000.0,1206388000.0,936614000.0,688432000.0,
Receivables,30204000.0,19077000.0,14344000.0,10704000.0,
Taxes Receivable,336000.0,368000.0,158000.0,155000.0,
Cash And Cash Equivalents,32273000.0,21585000.0,11431000.0,31613000.0,
Cash Cash Equivalents And Federal Funds Sold,32289000.0,21948000.0,12775000.0,32763000.0,
