,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.014338,0.174038,0.085931,0.084196
Net Income From Continuing Operation Net Minority Interest,83389000.0,33093000.0,42815000.0,50883000.0
Reconciled Depreciation,4304000.0,2750000.0,2230000.0,1967000.0
Net Interest Income,117658000.0,76209000.0,48545000.0,38351000.0
Interest Expense,43088000.0,28873000.0,19924000.0,17941000.0
Interest Income,160746000.0,105082000.0,68469000.0,56292000.0
Normalized Income,83389000.0,33093000.0,42815000.0,50883000.0
Net Income From Continuing And Discontinued Operation,83389000.0,33093000.0,42815000.0,50883000.0
Diluted Average Shares,40727133.0,30015533.0,22839835.0,19060131.0
Basic Average Shares,40727133.0,30015533.0,22839835.0,19060131.0
Diluted EPS,2.05,1.1,1.87,2.669604
Basic EPS,2.05,1.1,1.87,2.67
Diluted NI Availto Com Stockholders,83389000.0,33093000.0,42815000.0,50883000.0
Net Income Common Stockholders,83389000.0,33093000.0,42815000.0,50883000.0
Net Income,83389000.0,33093000.0,42815000.0,50883000.0
Net Income Including Noncontrolling Interests,83389000.0,33093000.0,42815000.0,50883000.0
Net Income Continuous Operations,83389000.0,33093000.0,42815000.0,50883000.0
Tax Provision,1213000.0,6973000.0,4025000.0,4678000.0
Pretax Income,84602000.0,40066000.0,46840000.0,55561000.0
Gain On Sale Of Security,-39609000.0,-16899000.0,7276000.0,-8536000.0
Operating Expense,24459000.0,21387000.0,36162000.0,17015000.0
Other Operating Expenses,361000.0,,17173000.0,1007000.0
Selling General And Administration,8949000.0,7812000.0,6566000.0,5308000.0
General And Administrative Expense,8949000.0,7812000.0,6566000.0,5308000.0
Total Revenue,109061000.0,61453000.0,83002000.0,72576000.0
Operating Revenue,109061000.0,61453000.0,83002000.0,72576000.0
