,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,17999840.0,17918280.0,17843081.0,17810401.0
Share Issued,17999840.0,17918280.0,17843081.0,17810401.0
Total Debt,80968000.0,75824000.0,71221000.0,72208000.0
Tangible Book Value,629053000.0,554089000.0,625938000.0,585307000.0
Invested Capital,766783000.0,686243000.0,756418000.0,713101000.0
Net Tangible Assets,629053000.0,554089000.0,625938000.0,585307000.0
Capital Lease Obligations,16393000.0,17628000.0,13005000.0,13972000.0
Common Stock Equity,702208000.0,628047000.0,698202000.0,654865000.0
Total Capitalization,766783000.0,686243000.0,756418000.0,713101000.0
Total Equity Gross Minority Interest,702208000.0,628047000.0,698202000.0,654865000.0
Stockholders Equity,702208000.0,628047000.0,698202000.0,654865000.0
Gains Losses Not Affecting Retained Earnings,-103321000.0,-129152000.0,-4848000.0,13568000.0
Other Equity Adjustments,-103321000.0,-129152000.0,-4848000.0,13568000.0
Retained Earnings,484400000.0,438596000.0,386750000.0,326738000.0
Additional Paid In Capital,231130000.0,229012000.0,227085000.0,225507000.0
Capital Stock,89999000.0,89591000.0,89215000.0,89052000.0
Common Stock,89999000.0,89591000.0,89215000.0,89052000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,5067488000.0,4752269000.0,4720055000.0,4484276000.0
Non Current Deferred Liabilities,,,546000.0,4687000.0
Non Current Deferred Taxes Liabilities,,,546000.0,4687000.0
Long Term Debt And Capital Lease Obligation,80968000.0,75824000.0,71221000.0,72208000.0
Long Term Capital Lease Obligation,16393000.0,17628000.0,13005000.0,13972000.0
Long Term Debt,64575000.0,58196000.0,58216000.0,58236000.0
Payables And Accrued Expenses,7389000.0,2237000.0,1016000.0,1243000.0
Payables,7389000.0,2237000.0,1016000.0,1243000.0
Accounts Payable,7389000.0,2237000.0,1016000.0,1243000.0
Total Assets,5769696000.0,5380316000.0,5418257000.0,5139141000.0
Investments And Advances,1166882000.0,1258392000.0,1457682000.0,999732000.0
Held To Maturity Securities,,,,0.0
Available For Sale Securities,3158000.0,2166000.0,2253000.0,2471000.0
Goodwill And Other Intangible Assets,73155000.0,73958000.0,72264000.0,69558000.0
Other Intangible Assets,7665000.0,8468000.0,6774000.0,4068000.0
Goodwill,65490000.0,65490000.0,65490000.0,65490000.0
Net PPE,61014000.0,59704000.0,52627000.0,55216000.0
Accumulated Depreciation,-84961000.0,-87629000.0,-86675000.0,-84876000.0
Gross PPE,145975000.0,147333000.0,139302000.0,140092000.0
Leases,4858000.0,4797000.0,4829000.0,4805000.0
Construction In Progress,2790000.0,589000.0,1475000.0,498000.0
Other Properties,15703000.0,17071000.0,12148000.0,13215000.0
Machinery Furniture Equipment,39695000.0,43531000.0,40835000.0,40615000.0
Land And Improvements,82929000.0,81345000.0,80015000.0,80959000.0
Receivables,23575000.0,19592000.0,15415000.0,15818000.0
Accounts Receivable,23575000.0,19592000.0,15415000.0,15818000.0
Other Short Term Investments,1163724000.0,1256226000.0,1455429000.0,997261000.0
Cash And Cash Equivalents,271645000.0,128931000.0,312001000.0,338480000.0
Cash Financial,58833000.0,51306000.0,46558000.0,54250000.0
Cash Cash Equivalents And Federal Funds Sold,271645000.0,128931000.0,312001000.0,338480000.0
